Trajectory file for run 'run1'; etymon number :408:
#kˌɑːn̪ˈuːt̪ɑm# >>> #ʃən̪y# ( Correct : #ʃən̪y#) :
k ˌɑː n̪ ˈuː t̪ ɑ m 
#kˌɑːn̪ˈut̪ɑm# | Rule 55 : [+syl,-lo,+long] > [-long,+tense,-splng,-cons,-lat,+cont,.delrel] 
#kˌɑn̪ˈut̪ɑm# | Rule 56 : [+syl,+long] > [-long,-splng] 
#kˌɑn̪ˈut̪ɑ# | Rule 70 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#kˌɑn̪ˈuːt̪ɑ# | Rule 112 : [+prim] > [+long] / __ [+cons] [-cons]
#kˌan̪ˈuːt̪a# | Rule 201 : [+lo,+syl] > [+front,-back] 
#kˌan̪ˈʉːt̪a# | Rule 220 : [+hi,+tense,+round,+syl,-nas] > [-front,-back] 
#kʲˌan̪ˈʉːt̪a# | Rule 239 : [+hi,+back,+cons] > [+front] / __ [+front,+syl]
#kʲˌɛn̪ˈʉːt̪a# | Rule 245 : ˌa > ˌɛ / [+cons,+front] __ [+nas] [+syl,+long]
#cˌɛn̪ˈʉːt̪a# | Rule 252 : [+back,+front] > [-back] 
#t͡ʃˌɛn̪ˈʉːt̪a# | Rule 261 : [+hi,+front,-cont,-ant] > [+delrel,+cor,-hi,+strid,+distr,-son] 
#t͡ʃˌɛn̪ˈʉːd̪a# | Rule 360 : [-voi] > [+voi] / [-cons] __ [-cons]
#t͡ʃˌɛn̪ˈʉːða# | Rule 385 : [-delrel,+voi] > [+cont,.delrel] / [-cons] __ [-cons]
#t͡ʃˌen̪ˈʉːða# | Rule 427 : ˌɛ > ˌe / __ [+cor,+cont] [-cor]
#t͡ʃˌen̪ˈʉːðə# | Rule 444 : a > ə / [+syl] ( [-syl] )* __ 
#t͡ʃˌen̪ˈyːðə# | Rule 504 : [+hi,+round,-back] > [+front] 
#t͡ʃˌən̪ˈyːðə# | Rule 507 : ˌe > ˌə / t͡ʃ __ ( [+cons] ) [+syl]
#t͡ʃˌən̪ˈyːə# | Rule 608 : {θ;ð} > {∅;∅} 
#t͡ʃˌə̃n̪ˈyːə# | Rule 626 : [+syl,-front] > [+nas,+son,.delrel] / __ [+nas,-syl]
#ʃˌə̃n̪ˈyːə# | Rule 647 : [+delrel] > [+cont,.delrel] 
#ʃˌən̪ˈyːə# | Rule 652 : {ə̃;ˌə̃} > {ə;ˌə} 
#ʃˌən̪ˈyː# | Rule 694 : ə > ∅ / [+syl] __ 
#ʃən̪yː# | Rule 749 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#ʃən̪y# | Rule 750 : [+syl,+long] > [-long,-splng] 
