Trajectory file for run 'run1'; etymon number :1180:
#t̪ˈɑrd̪um# >>> #t̪aʁ# ( Correct : #t̪aʁ#) :
t̪ ˈɑ r d̪ u m 
#t̪ˈɑrd̪ʊm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#t̪ˈɑrd̪om# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#t̪ˈɑrd̪o# | Rule 70 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#t̪ˈard̪o# | Rule 201 : [+lo,+syl] > [+front,-back] 
#t̪ˈard̪ə# | Rule 271 : [-stres,-lo,+syl] > ə / __ #
#t̪ˈard̪ə̯# | Rule 273 : ə > ə̯ 
#t̪ˈard̪# | Rule 308 : ə̯ > ∅ 
#t̪ˈart̪# | Rule 447 : [-son] > [-voi] / __ #
#t̪ˈaɹt̪# | Rule 728 : r > ɹ / [-cons] __ [+cons]
#t̪ˈaɹ# | Rule 733 : [-son] > ∅ / __ #
#t̪ˈar# | Rule 746 : ɹ > r 
#t̪ˈaʀ# | Rule 748 : r > ʀ 
#t̪aʀ# | Rule 749 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#t̪aʁ# | Rule 756 : ʀ > ʁ 
