Trajectory file for run 'run1'; etymon number :1187:
#t̪ˌen̪ˈɑkulɑ# >>> #t̪ən̪ɑj# ( Correct : #t̪ən̪ɑj#) :
t̪ ˌe n̪ ˈɑ k u l ɑ 
#t̪ˌɛn̪ˈɑkʊlɑ# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#t̪ˌɛn̪ˈɑklɑ# | Rule 33 : {ʊ;o} > {∅;∅} / [+prim] ( [-syl] )* [-cont] __ [+lat] [+syl] ( [-syl] ) #
#t̪ˌɛn̪ˈɑːklɑ# | Rule 113 : [+prim] > [+long] / __ [-cont] [+cons,+son,-nas]
#t̪ˌɛn̪ˈɑːxlɑ# | Rule 118 : [+hi,+back,-cont] > [+cont,.delrel] / [-cons] __ [+cor,+cons]
#t̪ˌɛn̪ˈaːxla# | Rule 201 : [+lo,+syl] > [+front,-back] 
#t̪ˌɛn̪ˈaːçla# | Rule 209 : [+back,+hi,+cont,-son] > [-back,+front] / __ [+cor]
#t̪ˌɛn̪ˈaːçʎa# | Rule 218 : [+lat] > ʎ / [+hi,+front,+cons] __ 
#t̪ˌɛn̪ˈaːʎa# | Rule 250 : [+hi,+front,-lat,-syl] > ∅ / __ ʎ
#t̪ˌɛn̪ˈaʎa# | Rule 410 : [+prim,-hi] > [-long,-splng] / __ ʎ
#t̪ˌen̪ˈaʎa# | Rule 427 : ˌɛ > ˌe / __ [+cor,+cont] [-cor]
#t̪ˌen̪ˈaʎə# | Rule 444 : a > ə / [+syl] ( [-syl] )* __ 
#t̪ˌən̪ˈaʎə# | Rule 510 : ˌe > ˌə / __ ( [+cons] ) [+lo,+prim]
#t̪ˌə̃n̪ˈaʎə# | Rule 626 : [+syl,-front] > [+nas,+son,.delrel] / __ [+nas,-syl]
#t̪ˌən̪ˈaʎə# | Rule 652 : {ə̃;ˌə̃} > {ə;ˌə} 
#t̪ˌən̪ˈaːʎə# | Rule 704 : [+lo,+syl] > [+long] / __ ʎ ə #
#t̪ˌən̪ˈaːʎə̯# | Rule 706 : ə > ə̯ / __ #
#t̪ˌən̪ˈɑːʎə̯# | Rule 716 : [+lo,+long,+syl] > [+back,-front] 
#t̪ˌən̪ˈɑːʎ# | Rule 735 : ə̯ > ∅ 
#t̪ən̪ɑːʎ# | Rule 749 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#t̪ən̪ɑʎ# | Rule 750 : [+syl,+long] > [-long,-splng] 
#t̪ən̪ɑj# | Rule 757 : ʎ > j 
