Trajectory file for run 'run1'; etymon number :405:
#kˈɑn̪em# >>> #ʃjɛ̃# ( Correct : #ʃjɛ̃#) :
k ˈɑ n̪ e m 
#kˈɑn̪ɛm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#kˈɑn̪ɛ# | Rule 70 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#kˈɑːn̪ɛ# | Rule 112 : [+prim] > [+long] / __ [+cons] [-cons]
#kˈaːn̪ɛ# | Rule 201 : [+lo,+syl] > [+front,-back] 
#kʲˈaːn̪ɛ# | Rule 239 : [+hi,+back,+cons] > [+front] / __ [+front,+syl]
#kʲˈɛːn̪ɛ# | Rule 246 : ˈaː > ˈɛː / # [+cons,+front] __ 
#kʲˈie̯n̪ɛ# | Rule 249 : {ˈɛː;ˈɔː} > {ˈi e̯;ˈu o̯} 
#cˈie̯n̪ɛ# | Rule 252 : [+back,+front] > [-back] 
#t͡ʃˈie̯n̪ɛ# | Rule 261 : [+hi,+front,-cont,-ant] > [+delrel,+cor,-hi,+strid,+distr,-son] 
#t͡ʃˈie̯n̪ə# | Rule 271 : [-stres,-lo,+syl] > ə / __ #
#t͡ʃˈie̯n̪ə̯# | Rule 273 : ə > ə̯ 
#t͡ʃˈie̯n̪# | Rule 308 : ə̯ > ∅ 
#t͡ʃjˈen̪# | Rule 596 : {ˈi e̯;ˌɛ a̯;ˈɛ a̯;ˈy ø̯} > {j ˈe;e̯ ˌa;e̯ ˈa;ɥ ˈø} 
#t͡ʃj?n̪# | Rule 613 : ˈe > ? / __ @
#t͡ʃjˈɛn̪# | Rule 616 : ? > ˈɛ 
#t͡ʃjˈɛ̃n̪# | Rule 627 : [+syl,-hi] > [+nas,+son,.delrel] / __ [+nas,-syl]
#ʃjˈɛ̃n̪# | Rule 647 : [+delrel] > [+cont,.delrel] 
#ʃjˈɛ̃ː# | Rule 667 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ #
#ʃjɛ̃ː# | Rule 749 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#ʃjɛ̃# | Rule 750 : [+syl,+long] > [-long,-splng] 
