Trajectory file for run 'run1'; etymon number :631:
#mˌɑmˈillɑm# >>> #mamɛl# ( Correct : #mamɛl#) :
m ˌɑ m ˈi l l ɑ m 
#mˌɑmˈɪllɑm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#mˌɑmˈellɑm# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#mˌɑmˈellɑ# | Rule 70 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#mˌamˈella# | Rule 201 : [+lo,+syl] > [+front,-back] 
#mˌamˈellə# | Rule 444 : a > ə / [+syl] ( [-syl] )* __ 
#mˌamˈelə# | Rule 493 : {p p;b b;f f;m m;t̪ t̪;t̪ t͡s;t̪ t͡sʲ;t̪ t͡ʃ;d̪ d̪;d̪ d͡ʒ;n̪ n̪;s s;z z;l l;k k;ɡ ɡ;n̪ n̪} > {p;b;f;m;t̪;t͡s;t͡sʲ;t͡ʃ;d̪;d͡ʒ;n̪;s;z;l;k;ɡ;n̪} 
#mˌãmˈelə# | Rule 506 : [+lo,+syl] > [+nas,+son,.delrel] / __ [+nas,-syl]
#mˌãm?lə# | Rule 613 : ˈe > ? / __ @
#mˌãmˈɛlə# | Rule 616 : ? > ˈɛ 
#mˌãmˈɛlə̯# | Rule 706 : ə > ə̯ / __ #
#mˌãmˈɛl# | Rule 735 : ə̯ > ∅ 
#mˌamˈɛl# | Rule 739 : [+front,-round,+syl,+nas] > [-nas] / __ [+cons,+nas] [-cons]
#mamɛl# | Rule 749 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
