Trajectory file for run 'run1'; etymon number :941:
#prˈɑe̯st̪um# >>> #pʁɛ# ( Correct : #pʁɛ#) :
p r ˈɑ e̯ s t̪ u m 
#prˈae̯st̪um# | Rule 4 : [+lo,+syl] > [+front,-back] / __ e̯
#prˈae̯st̪ʊm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#prˈɛːst̪ʊm# | Rule 57 : {a e̯;ˌa e̯;ˈa e̯} > {ɛː;ˌɛː;ˈɛː} 
#prˈɛːst̪om# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#prˈɛːst̪o# | Rule 70 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#prˈɛst̪o# | Rule 151 : [+syl] > [-long,-splng] / __ [-syl] [+cons,-son]
#prˈɛst̪ə# | Rule 271 : [-stres,-lo,+syl] > ə / __ #
#prˈɛst̪ə̯# | Rule 273 : ə > ə̯ 
#prˈɛst̪# | Rule 308 : ə̯ > ∅ 
#prˈɛxt̪# | Rule 595 : s > x / [-cons] __ [+cons]
#prˈɛːt̪# | Rule 656 : [+syl] x > [+long] ∅/ __ [+cons]
#prˈɛː# | Rule 733 : [-son] > ∅ / __ #
#pʀˈɛː# | Rule 748 : r > ʀ 
#pʀɛː# | Rule 749 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#pʀɛ# | Rule 750 : [+syl,+long] > [-long,-splng] 
#pʁɛ# | Rule 756 : ʀ > ʁ 
