Trajectory file for run 'run1'; etymon number :503:
#krˈɑssum# >>> #ɡʁɑ# ( Correct : #ɡʁɑ#) :
k r ˈɑ s s u m 
#krˈɑssʊm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#krˈɑssom# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#krˈɑsso# | Rule 70 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#krˈasso# | Rule 201 : [+lo,+syl] > [+front,-back] 
#krˈassə# | Rule 271 : [-stres,-lo,+syl] > ə / __ #
#krˈassə̯# | Rule 273 : ə > ə̯ 
#krˈass# | Rule 308 : ə̯ > ∅ 
#krˈas# | Rule 493 : {p p;b b;f f;m m;t̪ t̪;t̪ t͡s;t̪ t͡sʲ;t̪ t͡ʃ;d̪ d̪;d̪ d͡ʒ;n̪ n̪;s s;z z;l l;k k;ɡ ɡ;n̪ n̪} > {p;b;f;m;t̪;t͡s;t͡sʲ;t͡ʃ;d̪;d͡ʒ;n̪;s;z;l;k;ɡ;n̪} 
#ɡrˈas# | Rule 552 : k > ɡ / # __ [+cor,+son] [+lo]
#ɡrˈaːs# | Rule 645 : [+prim,+lo] > [+long] / __ s #
#ɡrˈɑːs# | Rule 716 : [+lo,+long,+syl] > [+back,-front] 
#ɡrˈɑː# | Rule 733 : [-son] > ∅ / __ #
#ɡʀˈɑː# | Rule 748 : r > ʀ 
#ɡʀɑː# | Rule 749 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#ɡʀɑ# | Rule 750 : [+syl,+long] > [-long,-splng] 
#ɡʁɑ# | Rule 756 : ʀ > ʁ 
