Trajectory file for run 'run1'; etymon number :666:
#mˌed̪ˈɑːliɑ# >>> #mɑj# ( Correct : #mɑj#) :
m ˌe d̪ ˈɑː l i ɑ 
#mˌɛd̪ˈɑːlɪɑ# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#mˌɛd̪ˈɑːljɑ# | Rule 25 : [+syl,-long,-stres,-lo] > [+hi,-syl,+tense,.stres,.prim,-cons,-lat,+cont,.delrel] / __ [+syl]
#mˌɛd̪ˈɑːlʝɑ# | Rule 28 : j > ʝ / __ [+syl]
#mˌɛd̪ˈɑlʝɑ# | Rule 56 : [+syl,+long] > [-long,-splng] 
#mˌɛd̪ˈɑʎɑ# | Rule 91 : l ʝ > ʎ 
#mˌɛðˈɑʎɑ# | Rule 105 : [-cont,-delrel,+voi] > [+cont,.delrel] / [+syl] __ [+son,-lat,-nas]
#mˌɛðˈɑːʎɑ# | Rule 112 : [+prim] > [+long] / __ [+cons] [-cons]
#mˌɛðˈaːʎa# | Rule 201 : [+lo,+syl] > [+front,-back] 
#mˌɛðˈaʎa# | Rule 410 : [+prim,-hi] > [-long,-splng] / __ ʎ
#mˌeðˈaʎa# | Rule 427 : ˌɛ > ˌe / __ [+cor,+cont] [-cor]
#mˌeðˈaʎə# | Rule 444 : a > ə / [+syl] ( [-syl] )* __ 
#mˌəðˈaʎə# | Rule 509 : ˌe > ˌə / # [+son] __ ( [+cons] ) [+syl]
#mˌəˈaʎə# | Rule 608 : {θ;ð} > {∅;∅} 
#mˌaˈaʎə# | Rule 688 : ˌə > ˌa / __ [+lo,+stres]
#mˈaːʎə# | Rule 695 : [+lo,+syl] [+lo,+syl] > ∅ [+long]
#mˈaːʎə̯# | Rule 706 : ə > ə̯ / __ #
#mˈɑːʎə̯# | Rule 716 : [+lo,+long,+syl] > [+back,-front] 
#mˈɑːʎ# | Rule 735 : ə̯ > ∅ 
#mɑːʎ# | Rule 749 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#mɑʎ# | Rule 750 : [+syl,+long] > [-long,-splng] 
#mɑj# | Rule 757 : ʎ > j 
