Trajectory file for run 'run1'; etymon number :1040:
#sˌɑlt̪ˈɑːre# >>> #sot̪e# ( Correct : #sot̪e#) :
s ˌɑ l t̪ ˈɑː r e 
#sˌɑlt̪ˈɑːrɛ# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#sˌɑlt̪ˈɑrɛ# | Rule 56 : [+syl,+long] > [-long,-splng] 
#sˌɑl̥t̪ˈɑrɛ# | Rule 103 : [+ant,+cons] > [-voi] / __ t̪
#sˌɑl̥t̪ˈɑːrɛ# | Rule 112 : [+prim] > [+long] / __ [+cons] [-cons]
#sˌal̥t̪ˈaːrɛ# | Rule 201 : [+lo,+syl] > [+front,-back] 
#sˌal̥t̪ˈaːrə# | Rule 271 : [-stres,-lo,+syl] > ə / __ #
#sˌal̥t̪ˈaːrə̯# | Rule 273 : ə > ə̯ 
#sˌal̥t̪ˈaːr# | Rule 308 : ə̯ > ∅ 
#sˌal̥t̪ˈae̯r# | Rule 416 : {ˈaː;ˈeː;ˈoː;ˈɛː} > {ˈa e̯;ˈe j;ˈo w;ˈi e̯} 
#sˌa?t̪ˈae̯r# | Rule 502 : [+lat] > [+back] / __ [+cons]
#sˌa?t̪ˈeːr# | Rule 551 : {a e̯;ˌa e̯;ˈa e̯} > {eː;ˌeː;ˈeː} 
#sˌawt̪ˈeːr# | Rule 582 : [+lat,+back] > w 
#sˌoːt̪ˈeːr# | Rule 664 : {ˌa w;ˈa w} > {ˌoː;ˈoː} 
#sˌoːt̪ˈeːɹ# | Rule 727 : r > ɹ / [-cons] __ #
#sˌoːt̪ˈeː# | Rule 744 : ɹ > ∅ / [+syl] ( [-syl] )* [-hi,+front,+tense,-lo] __ #
#soːt̪eː# | Rule 749 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#sot̪e# | Rule 750 : [+syl,+long] > [-long,-splng] 
