Trajectory file for run 'run1'; etymon number :106:
#bˌɑst̪ˈoːn̪em# >>> #bɑt̪ɔ̃# ( Correct : #bɑt̪ɔ̃#) :
b ˌɑ s t̪ ˈoː n̪ e m 
#bˌɑst̪ˈoːn̪ɛm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#bˌɑst̪ˈon̪ɛm# | Rule 55 : [+syl,-lo,+long] > [-long,+tense,-splng,-cons,-lat,+cont,.delrel] 
#bˌɑst̪ˈon̪ɛ# | Rule 70 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#bˌɑst̪ˈoːn̪ɛ# | Rule 112 : [+prim] > [+long] / __ [+cons] [-cons]
#bˌɑst̪ˈũːn̪ɛ# | Rule 168 : [+round,-hi] > [+tense,+hi,+nas,-cons,+son,-lat,+cont,.delrel] / __ [+nas,+cons]
#bˌast̪ˈũːn̪ɛ# | Rule 201 : [+lo,+syl] > [+front,-back] 
#bˌast̪ˈũːn̪ə# | Rule 271 : [-stres,-lo,+syl] > ə / __ #
#bˌast̪ˈũːn̪ə̯# | Rule 273 : ə > ə̯ 
#bˌast̪ˈũːn̪# | Rule 308 : ə̯ > ∅ 
#bˌaxt̪ˈũːn̪# | Rule 595 : s > x / [-cons] __ [+cons]
#bˌaːt̪ˈũːn̪# | Rule 656 : [+syl] x > [+long] ∅/ __ [+cons]
#bˌaːt̪ˈũː# | Rule 667 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ #
#bˌɑːt̪ˈũː# | Rule 716 : [+lo,+long,+syl] > [+back,-front] 
#bɑːt̪ũː# | Rule 749 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#bɑt̪ũ# | Rule 750 : [+syl,+long] > [-long,-splng] 
#bɑt̪ɔ̃# | Rule 751 : [+back,-lo,+nas,+syl] > ɔ̃ 
