Trajectory file for run 'run1'; etymon number :860:
#pˌersˈoːn̪ɑm# >>> #pɛʁsɔn̪# ( Correct : #pɛʁsɔn̪#) :
p ˌe r s ˈoː n̪ ɑ m 
#pˌɛrsˈoːn̪ɑm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#pˌɛrsˈon̪ɑm# | Rule 55 : [+syl,-lo,+long] > [-long,+tense,-splng,-cons,-lat,+cont,.delrel] 
#pˌɛrsˈon̪ɑ# | Rule 70 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#pˌɛrsˈoːn̪ɑ# | Rule 112 : [+prim] > [+long] / __ [+cons] [-cons]
#pˌɛrsˈũːn̪ɑ# | Rule 168 : [+round,-hi] > [+tense,+hi,+nas,-cons,+son,-lat,+cont,.delrel] / __ [+nas,+cons]
#pˌɛrsˈũːn̪a# | Rule 201 : [+lo,+syl] > [+front,-back] 
#pˌɨrsˈũːn̪a# | Rule 423 : {ˌɛ r;ˌɛ ɫ;t͡sʲ ˌɛ;ˌɔ ɫ} > {ˌɨ r;ˌɨ ɫ;t͡sʲ ˌɨ;ˌɯ ɫ} / __ [+cons]
#pˌɛrsˈũːn̪a# | Rule 432 : {ˌɨ;ˌɯ} > {ˌɛ;ˌɔ} 
#pˌɛrsˈũːn̪ə# | Rule 444 : a > ə / [+syl] ( [-syl] )* __ 
#pˌɛrsˈũːn̪ə̯# | Rule 706 : ə > ə̯ / __ #
#pˌɛɹsˈũːn̪ə̯# | Rule 728 : r > ɹ / [-cons] __ [+cons]
#pˌɛɹsˈũːn̪# | Rule 735 : ə̯ > ∅ 
#pˌɛrsˈũːn̪# | Rule 746 : ɹ > r 
#pˌɛʀsˈũːn̪# | Rule 748 : r > ʀ 
#pɛʀsũːn̪# | Rule 749 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#pɛʀsũn̪# | Rule 750 : [+syl,+long] > [-long,-splng] 
#pɛʀsɔ̃n̪# | Rule 751 : [+back,-lo,+nas,+syl] > ɔ̃ 
#pɛʀsɔn̪# | Rule 753 : [+syl,+nas] > [-nas] / __ [+nas,+cons]
#pɛʁsɔn̪# | Rule 756 : ʀ > ʁ 
