Trajectory file for run 'run1'; etymon number :678:
#mˌeːn̪sˈuːrɑm# >>> #məzyʁ# ( Correct : #məzyʁ#) :
m ˌeː n̪ s ˈuː r ɑ m 
#mˌeːsˈuːrɑm# | Rule 10 : n̪ > ∅ / [+syl,+long] __ s
#mˌesˈurɑm# | Rule 55 : [+syl,-lo,+long] > [-long,+tense,-splng,-cons,-lat,+cont,.delrel] 
#mˌesˈurɑ# | Rule 70 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#mˌesˈuːrɑ# | Rule 112 : [+prim] > [+long] / __ [+cons] [-cons]
#mˌezˈuːrɑ# | Rule 137 : [+cont,-son] > [+voi] / [-cons] __ [+syl]
#mˌezˈuːra# | Rule 201 : [+lo,+syl] > [+front,-back] 
#mˌezˈʉːra# | Rule 220 : [+hi,+tense,+round,+syl,-nas] > [-front,-back] 
#mˌezˈʉːrə# | Rule 444 : a > ə / [+syl] ( [-syl] )* __ 
#mˌezˈyːrə# | Rule 504 : [+hi,+round,-back] > [+front] 
#mˌəzˈyːrə# | Rule 509 : ˌe > ˌə / # [+son] __ ( [+cons] ) [+syl]
#mˌəzˈyːrə̯# | Rule 706 : ə > ə̯ / __ #
#m?zˈyːrə̯# | Rule 720 : [+syl] > [+long] / __ z [+syl]
#m?zˈyːr# | Rule 735 : ə̯ > ∅ 
#m?zˈyːʀ# | Rule 748 : r > ʀ 
#m?zyːʀ# | Rule 749 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#məzyʀ# | Rule 750 : [+syl,+long] > [-long,-splng] 
#məzyʁ# | Rule 756 : ʀ > ʁ 
