Trajectory file for run 'run1'; etymon number :612:
#lˈon̪ɡum# >>> #lɔ̃# ( Correct : #lɔ̃#) :
l ˈo n̪ ɡ u m 
#lˈoŋɡum# | Rule 0 : n̪ > ŋ / __ [+hi,+back,-cont]
#lˈɔŋɡʊm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#lˈɔŋɡom# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#lˈɔŋɡo# | Rule 70 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#lˈũŋɡo# | Rule 168 : [+round,-hi] > [+tense,+hi,+nas,-cons,+son,-lat,+cont,.delrel] / __ [+nas,+cons]
#lˈũŋɡə# | Rule 271 : [-stres,-lo,+syl] > ə / __ #
#lˈũŋɡə̯# | Rule 273 : ə > ə̯ 
#lˈũŋɡ# | Rule 308 : ə̯ > ∅ 
#lˈũŋk# | Rule 447 : [-son] > [-voi] / __ #
#lˈũːk# | Rule 666 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ [+cons]
#lˈũː# | Rule 733 : [-son] > ∅ / __ #
#lũː# | Rule 749 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#lũ# | Rule 750 : [+syl,+long] > [-long,-splng] 
#lɔ̃# | Rule 751 : [+back,-lo,+nas,+syl] > ɔ̃ 
