Trajectory file for run 'run1'; etymon number :447:
#kˈeːreum# >>> #siʁ# ( Correct : #sjɛʁʒ#) :
k ˈeː r e u m 
#kˈeːrɛʊm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#kˈeːrjʊm# | Rule 25 : [+syl,-long,-stres,-lo] > [+hi,-syl,+tense,.stres,.prim,-cons,-lat,+cont,.delrel] / __ [+syl]
#kˈeːrʝʊm# | Rule 28 : j > ʝ / __ [+syl]
#kˈerʝʊm# | Rule 55 : [+syl,-lo,+long] > [-long,+tense,-splng,-cons,-lat,+cont,.delrel] 
#kˈerʝom# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#kˈerʝo# | Rule 70 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#kʲˈerʝo# | Rule 76 : [+hi,+back,-cont] > [+front] / __ [+cont,-lo,+front]
#cˈerʝo# | Rule 77 : [+back,+front] > [-back] 
#cˈeːrʝo# | Rule 163 : ˈe > ˈeː / [+hi,+front,+cons] __ [+cor] ʝ
#cˈiːrʝo# | Rule 165 : ˈeː > ˈiː / [+cons,+hi,+front] __ 
#cˈiːrʲo# | Rule 178 : r ʝ > rʲ 
#t͡sʲˈiːrʲo# | Rule 184 : {c;ɟ} > {t͡sʲ;d͡ʒ} 
#t͡sʲˈiːrʲə# | Rule 271 : [-stres,-lo,+syl] > ə / __ #
#t͡sʲˈiːrʲə̯# | Rule 273 : ə > ə̯ 
#t͡sʲˈiːrʲ# | Rule 308 : ə̯ > ∅ 
#t͡sʲˈiːjrʲ# | Rule 356 : ∅ > j / [-cons] __ rʲ
#t͡sʲˈiːjr# | Rule 392 : rʲ > r 
#t͡sʲˈijr# | Rule 398 : [+syl] > [-long,-splng] / __ [-syl] [-syl] ( [-syl] )* #
#t͡sʲˈir# | Rule 468 : j > ∅ / [+hi,+front,+tense,-cons] __ 
#t͡sˈir# | Rule 546 : t͡sʲ > t͡s / # __ 
#sˈir# | Rule 647 : [+delrel] > [+cont,.delrel] 
#sˈiɹ# | Rule 727 : r > ɹ / [-cons] __ #
#sˈir# | Rule 746 : ɹ > r 
#sˈiʀ# | Rule 748 : r > ʀ 
#siʀ# | Rule 749 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#siʁ# | Rule 756 : ʀ > ʁ 
