Trajectory file for run 'run1'; etymon number :785:
#ˈoːrd̪in̪em# >>> #ɔʁd̪ʁ# ( Correct : #ɔʁd̪ʁ#) :
ˈoː r d̪ i n̪ e m 
#ˈoːrd̪ɪn̪ɛm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#ˈord̪ɪn̪ɛm# | Rule 55 : [+syl,-lo,+long] > [-long,+tense,-splng,-cons,-lat,+cont,.delrel] 
#ˈord̪en̪ɛm# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#ˈord̪en̪ɛ# | Rule 70 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#ˈord̪n̪ɛ# | Rule 94 : e > ∅ / __ [+cor,+distr,+ant] [+syl] ( [-syl] ) #
#ˈord̪rɛ# | Rule 98 : n̪ > r / d̪ __ 
#ˈord̪rə# | Rule 271 : [-stres,-lo,+syl] > ə / __ #
#ˈord̪rə̯# | Rule 273 : ə > ə̯ 
#ˈord̪ɾə# | Rule 296 : {n̪ ə̯;ə̯ n̪;r ə̯;ə̯ r} > {ɾ ə;ɾ ə;ɾ ə;ɾ ə} / [+cons] [-cont] __ #
#ˈord̪rə# | Rule 302 : ɾ > r 
#ˈɔrd̪rə# | Rule 563 : ˈo > ˈɔ / __ r [-cont,+voi] r
#ˈɔrd̪rə̯# | Rule 706 : ə > ə̯ / __ #
#ˈɔɹd̪rə̯# | Rule 728 : r > ɹ / [-cons] __ [+cons]
#ˈɔɹd̪r# | Rule 735 : ə̯ > ∅ 
#ˈɔrd̪r# | Rule 746 : ɹ > r 
#ˈɔʀd̪ʀ# | Rule 748 : r > ʀ 
#ɔʀd̪ʀ# | Rule 749 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#ɔʁd̪ʁ# | Rule 756 : ʀ > ʁ 
