Trajectory file for run 'run1'; etymon number :839:
#pˈejor# >>> #piʁ# ( Correct : #piʁ#) :
p ˈe j o r 
#pˈeʝor# | Rule 5 : {j;w} > {ʝ;ɣʷ} / __ [+syl]
#pˈɛʝɔr# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#pˈɛːʝɔr# | Rule 112 : [+prim] > [+long] / __ [+cons] [-cons]
#pˈie̯ʝɔr# | Rule 169 : {ˈɛː;ˈɔː} > {ˈi e̯;ˈu o̯} 
#pˈie̯ʝər# | Rule 270 : [-stres,-lo,+syl] > ə / __ [-syl]
#pˈie̯ʝə̯r# | Rule 273 : ə > ə̯ 
#pˈie̯ʝrə# | Rule 290 : ə̯ r > r ə / __ #
#pˈie̯ʝrʲə# | Rule 330 : [+cor,+ant,-lat] > [+hi,+front] / [+hi,+front,+cons] __ 
#pˈie̯jrʲə# | Rule 389 : ʝ > j 
#pˈie̯jrə# | Rule 392 : rʲ > r 
#pˈijrə# | Rule 556 : e̯ > ∅ / [+hi,+front,+tense,+prim] __ [-syl,-cons,+hi,-round]
#pˈirə# | Rule 557 : [-syl,-cons,+hi,-round] > ∅ / ˈi __ 
#pˈirə̯# | Rule 706 : ə > ə̯ / __ #
#pˈir# | Rule 735 : ə̯ > ∅ 
#pˈiʀ# | Rule 748 : r > ʀ 
#piʀ# | Rule 749 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#piʁ# | Rule 756 : ʀ > ʁ 
