SYMB,syl,son,cons,cont,delrel,lat,nas,strid,voi,sg,cg,ant,cor,distr,lab,hi,lo,back,front,round,tense,rtr,long,splng,stres,prim
ˌøː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,-,-,-,+,+,+,-,+,-,+,-
ˈøː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,-,-,-,+,+,+,-,+,-,+,+
ø̃ː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,-,-,-,+,+,+,-,+,-,-,-
ˌø̃ː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,-,-,-,+,+,+,-,+,-,+,-
ˈø̃ː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,-,-,-,+,+,+,-,+,-,+,+
ɛ̯,-,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,-,-,+,-,-,-,-,-,0,0
ɛ̯̃,-,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,-,-,+,-,-,-,-,-,0,0
ɛ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,-,-,+,-,-,-,-,-,-,-
ˌɛ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,-,-,+,-,-,-,-,-,+,-
ˈɛ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,-,-,+,-,-,-,-,-,+,+
ɛ̃,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,-,-,+,-,-,-,-,-,-,-
ˌɛ̃,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,-,-,+,-,-,-,-,-,+,-
ˈɛ̃,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,-,-,+,-,-,-,-,-,+,+
ɛː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,-,-,+,-,-,-,+,-,-,-
ˌɛː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,-,-,+,-,-,-,+,-,+,-
ˈɛː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,-,-,+,-,-,-,+,-,+,+
ɛ̃ː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,-,-,+,-,-,-,+,-,-,-
ˌɛ̃ː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,-,-,+,-,-,-,+,-,+,-
ˈɛ̃ː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,-,-,+,-,-,-,+,-,+,+
œ̯,-,+,-,+,0,-,-,-,+,-,-,-,-,0,+,-,-,-,+,+,-,-,-,-,0,0
œ̯̃,-,+,-,+,0,-,+,-,+,-,-,-,-,0,+,-,-,-,+,+,-,-,-,-,0,0
œ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,-,-,-,+,+,-,-,-,-,-,-
ˌœ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,-,-,-,+,+,-,-,-,-,+,-
ˈœ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,-,-,-,+,+,-,-,-,-,+,+
œ̃,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,-,-,-,+,+,-,-,-,-,-,-
ˌœ̃,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,-,-,-,+,+,-,-,-,-,+,-
ˈœ̃,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,-,-,-,+,+,-,-,-,-,+,+
œː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,-,-,-,+,+,-,-,+,-,-,-
ˌœː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,-,-,-,+,+,-,-,+,-,+,-
ˈœː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,-,-,-,+,+,-,-,+,-,+,+
œ̃ː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,-,-,-,+,+,-,-,+,-,-,-
ˌœ̃ː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,-,-,-,+,+,-,-,+,-,+,-
ˈœ̃ː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,-,-,-,+,+,-,-,+,-,+,+
æ̯,-,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,+,-,+,-,-,-,-,-,0,0
æ̯̃,-,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,+,-,+,-,-,-,-,-,0,0
æ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,+,-,+,-,-,-,-,-,-,-
ˌæ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,+,-,+,-,-,-,-,-,+,-
ˈæ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,+,-,+,-,-,-,-,-,+,+
æ̃,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,+,-,+,-,-,-,-,-,-,-
ˌæ̃,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,+,-,+,-,-,-,-,-,+,-
ˈæ̃,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,+,-,+,-,-,-,-,-,+,+
æː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,+,-,+,-,-,-,+,-,-,-
ˌæː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,+,-,+,-,-,-,+,-,+,-
ˈæː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,+,-,+,-,-,-,+,-,+,+
æ̃ː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,+,-,+,-,-,-,+,-,-,-
ˌæ̃ː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,+,-,+,-,-,-,+,-,+,-
ˈæ̃ː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,+,-,+,-,-,-,+,-,+,+
ᴂ̯,-,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,+,-,+,+,-,-,-,-,0,0
ᴂ̯̃,-,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,+,-,+,+,-,-,-,-,0,0
ᴂ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,+,-,+,+,-,-,-,-,-,-
ˌᴂ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,-,+,-,+,+,-,-,-,-,+,-
ˈᴂ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,-,+,-,+,+,-,-,-,-,+,+
ᴂ̃,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,-,+,-,+,+,-,-,-,-,-,-
ˌᴂ̃,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,-,+,-,+,+,-,-,-,-,+,-
ˈᴂ̃,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,-,+,-,+,+,-,-,-,-,+,+
ᴂː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,-,+,-,+,+,-,-,+,-,-,-
ˌᴂː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,-,+,-,+,+,-,-,+,-,+,-
ˈᴂː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,-,+,-,+,+,-,-,+,-,+,+
ᴂ̃ː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,-,+,-,+,+,-,-,+,-,-,-
ˌᴂ̃ː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,-,+,-,+,+,-,-,+,-,+,-
a̯,-,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,+,-,+,-,+,-,-,-,0,0
ã̯,-,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,+,-,+,-,+,-,-,-,0,0
a,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,+,-,+,-,+,-,-,-,-,-
ˌa,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,+,-,+,-,+,-,-,-,+,-
ˈa,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,+,-,+,-,+,-,-,-,+,+
ã,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,+,-,+,-,+,-,-,-,-,-
ˌã,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,+,-,+,-,+,-,-,-,+,-
ˈã,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,+,-,+,-,+,-,-,-,+,+
aː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,+,-,+,-,+,-,+,-,-,-
ˌaː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,+,-,+,-,+,-,+,-,+,-
ˈaː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,+,-,+,-,+,-,+,-,+,+
ãː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,+,-,+,-,+,-,+,-,-,-
ˌãː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,+,-,+,-,+,-,+,-,+,-
ˈãː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,+,-,+,-,+,-,+,-,+,+
ɶ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,-,+,-,+,+,+,-,-,-,-,-
ˌɶ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,-,+,-,+,+,+,-,-,-,+,-
ˈɶ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,-,+,-,+,+,+,-,-,-,+,+
ɶ̃,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,-,+,-,+,+,+,-,-,-,-,-
ˌɶ̃,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,-,+,-,+,+,+,-,-,-,+,-
ˈɶ̃,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,-,+,-,+,+,+,-,-,-,+,+
ɶː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,-,+,-,+,+,+,-,+,-,-,-
ˌɶː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,-,+,-,+,+,+,-,+,-,+,-
ˈɶː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,-,+,-,+,+,+,-,+,-,+,+
ɶ̃ː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,-,+,-,+,+,+,-,+,-,-,-
ˌɶ̃ː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,-,+,-,+,+,+,-,+,-,+,-
ˈɶ̃ː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,-,+,-,+,+,+,-,+,-,+,+
ɨ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,+,-,-,-,-,+,-,-,-,-,-
ˌɨ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,+,-,-,-,-,+,-,-,-,+,-
ˈɨ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,+,-,-,-,-,+,-,-,-,+,+
ɨ̃,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,+,-,-,-,-,+,-,-,-,-,-
ˌɨ̃,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,+,-,-,-,-,+,-,-,-,+,-
ˈɨ̃,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,+,-,-,-,-,+,-,-,-,+,+
ɨː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,+,-,-,-,-,+,-,+,-,-,-
ˌɨː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,+,-,-,-,-,+,-,+,-,+,-
ˈɨː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,+,-,-,-,-,+,-,+,-,+,+
ɨ̃ː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,+,-,-,-,-,+,-,+,-,-,-
ˌɨ̃ː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,+,-,-,-,-,+,-,+,-,+,-
ˈɨ̃ː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,+,-,-,-,-,+,-,+,-,+,+
ʉ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,+,-,-,-,+,+,-,-,-,-,-
ˌʉ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,+,-,-,-,+,+,-,-,-,+,-
ˈʉ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,+,-,-,-,+,+,-,-,-,+,+
ʉ̃,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,+,-,-,-,+,+,-,-,-,-,-
ˌʉ̃,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,+,-,-,-,+,+,-,-,-,+,-
ˈʉ̃,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,+,-,-,-,+,+,-,-,-,+,+
ʉː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,+,-,-,-,+,+,-,+,-,-,-
ˌʉː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,+,-,-,-,+,+,-,+,-,+,-
ˈʉː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,+,-,-,-,+,+,-,+,-,+,+
ʉ̃ː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,+,-,-,-,+,+,-,+,-,-,-
ˌʉ̃ː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,+,-,-,-,+,+,-,+,-,+,-
ˈʉ̃ː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,+,-,-,-,+,+,-,+,-,+,+
ə̯,-,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,-,-,-,-,0,-,-,-,0,0
ə̯̃,-,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,-,-,-,-,0,-,-,-,0,0
ə,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,-,-,-,-,0,-,-,-,-,-
ˌə,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,-,-,-,-,0,-,-,-,+,-
ˈə,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,-,-,-,-,0,-,-,-,+,+
əː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,-,-,-,-,0,-,+,-,-,-
ˌəː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,-,-,-,-,0,-,+,-,+,-
ˈəː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,-,-,-,-,0,-,+,-,+,+
ə̃,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,-,-,-,-,0,-,-,-,-,-
ˌə̃,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,-,-,-,-,0,-,-,-,+,-
ˈə̃,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,-,-,-,-,0,-,-,-,+,+
ə̃ː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,-,-,-,-,0,-,+,-,-,-
ˌə̃ː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,-,-,-,-,0,-,+,-,+,-
ˈəː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,-,-,-,-,0,-,+,-,+,+
ɘ̯,-,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,-,-,-,-,+,-,-,-,0,0
ɘ̯̃,-,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,-,-,-,-,+,-,-,-,0,0
ɘ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,-,-,-,-,+,-,-,-,-,-
ˌɘ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,-,-,-,-,+,-,-,-,+,-
ˈɘ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,-,-,-,-,+,-,-,-,+,+
ɘː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,-,-,-,-,+,-,+,-,-,-
ˌɘː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,-,-,-,-,+,-,+,-,+,-
ˈɘː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,-,-,-,-,+,-,+,-,+,+
ɘ̃,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,-,-,-,-,+,-,-,-,-,-
ˌɘ̃,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,-,-,-,-,+,-,-,-,+,-
ˈɘ̃,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,-,-,-,-,+,-,-,-,+,+
ɘ̃ː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,-,-,-,-,+,-,+,-,-,-
ˌɘ̃ː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,-,-,-,-,+,-,+,-,+,-
ˈɘː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,-,-,-,-,+,-,+,-,+,+
ɵ̯,-,+,-,+,0,-,-,-,+,-,-,-,-,0,+,-,-,-,-,+,+,-,-,-,0,0
ɵ̯̃,-,+,-,+,0,-,+,-,+,-,-,-,-,0,+,-,-,-,-,+,+,-,-,-,0,0
ɵ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,-,-,-,-,+,+,-,-,-,-,-
ˌɵ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,-,-,-,-,+,+,-,-,-,+,-
ˈɵ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,-,-,-,-,+,+,-,-,-,+,+
ɵː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,-,-,-,-,+,+,-,+,-,-,-
ˌɵː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,-,-,-,-,+,+,-,+,-,+,-
ˈɵː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,-,-,-,-,+,+,-,+,-,+,+
ɵ̃,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,-,-,-,-,+,+,-,-,-,-,-
ˌɵ̃,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,-,-,-,-,+,+,-,-,-,+,-
ˈɵ̃,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,-,-,-,-,+,+,-,-,-,+,+
ɵ̃ː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,-,-,-,-,+,+,-,+,-,-,-
ˌɵ̃ː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,-,-,-,-,+,+,-,+,-,+,-
ˈɵː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,-,-,-,-,+,+,-,+,-,+,+
ɜ̯,-,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,0
ɜ̯̃,-,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,0
ɜ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-
ˌɜ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,+,-
ˈɜ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,+,+
ɜː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,-,-,-,-,-,-,+,-,-,-
ˌɜː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,-,-,-,-,-,-,+,-,+,-
ˈɜː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,-,-,-,-,-,-,+,-,+,+
ɜ̃,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-
ˌɜ̃,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,+,-
ˈɜ̃,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,+,+
ɜ̃ː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,-,-,-,-,-,-,+,-,-,-
ˌɜ̃ː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,-,-,-,-,-,-,+,-,+,-
ˈɜː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,-,-,-,-,-,-,+,-,+,+
ɞ̯,-,+,-,+,0,-,-,-,+,-,-,-,-,0,+,-,-,-,-,+,-,-,-,-,0,0
ɞ̯̃,-,+,-,+,0,-,+,-,+,-,-,-,-,0,+,-,-,-,-,+,-,-,-,-,0,0
ɞ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,-,-,-,-,+,-,-,-,-,-,-
ˌɞ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,-,-,-,-,+,-,-,-,-,+,-
ˈɞ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,-,-,-,-,+,-,-,-,-,+,+
ɞː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,-,-,-,-,+,-,-,+,-,-,-
ˌɞː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,-,-,-,-,+,-,-,+,-,+,-
ˈɞː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,-,-,-,-,+,-,-,+,-,+,+
ɞ̃,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,-,-,-,-,+,-,-,-,-,-,-
ˌɞ̃,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,-,-,-,-,+,-,-,-,-,+,-
ˈɞ̃,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,-,-,-,-,+,-,-,-,-,+,+
ɞ̃ː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,-,-,-,-,+,-,-,+,-,-,-
ˌɞ̃ː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,-,-,-,-,+,-,-,+,-,+,-
ˈɞː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,-,-,-,-,+,-,-,+,-,+,+
ᴀ̯,-,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,+,-,-,-,0,-,-,-,0,0
ᴀ̯̃,-,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,+,-,-,-,0,-,-,-,0,0
ᴀ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,+,-,-,-,0,-,-,-,-,-
ˌᴀ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,+,-,-,-,0,-,-,-,+,-
ˈᴀ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,+,-,-,-,0,-,-,-,+,+
ᴀ̃,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,+,-,-,-,0,-,-,-,-,-
ˌᴀ̃,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,+,-,-,-,0,-,-,-,+,-
ˈᴀ̃,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,+,-,-,-,0,-,-,-,+,+
ᴀː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,+,-,-,-,0,-,+,-,-,-
ˌᴀː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,+,-,-,-,0,-,+,-,+,-
ˈᴀː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,+,-,-,-,0,-,+,-,+,+
ᴀ̃ː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,+,-,-,-,0,-,+,-,-,-
ˌᴀ̃ː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,+,-,-,-,0,-,+,-,+,-
ˈᴀ̃ː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,+,-,-,-,0,-,+,-,+,+
ɰ,-,+,-,+,0,-,-,-,+,-,-,-,-,0,-,+,-,+,-,-,+,-,-,-,0,0
ɯ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,+,-,+,-,-,+,-,-,-,-,-
ˌɯ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,+,-,+,-,-,+,-,-,-,+,-
ˈɯ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,+,-,+,-,-,+,-,-,-,+,+
ɯː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,+,-,+,-,-,+,-,+,-,-,-
ˌɯː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,+,-,+,-,-,+,-,+,-,+,-
ˈɯː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,+,-,+,-,-,+,-,+,-,+,+
w,-,+,-,+,0,-,-,-,+,-,-,-,-,0,+,+,-,+,-,+,+,-,-,-,0,0
w̃,-,+,-,+,0,-,+,-,+,-,-,-,-,0,+,+,-,+,-,+,+,-,-,-,0,0
u,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,+,-,+,-,+,+,-,-,-,-,-
ˌu,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,+,-,+,-,+,+,-,-,-,+,-
ˈu,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,+,-,+,-,+,+,-,-,-,+,+
ũ,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,+,-,+,-,+,+,-,-,-,-,-
ˌũ,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,+,-,+,-,+,+,-,-,-,+,-
ˈũ,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,+,-,+,-,+,+,-,-,-,+,+
uː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,+,-,+,-,+,+,-,+,-,-,-
ˌuː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,+,-,+,-,+,+,-,+,-,+,-
ˈuː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,+,-,+,-,+,+,-,+,-,+,+
ũː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,+,-,+,-,+,+,-,+,-,-,-
ˌũː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,+,-,+,-,+,+,-,+,-,+,-
ˈũː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,+,-,+,-,+,+,-,+,-,+,+
ω̯,-,+,-,+,0,-,-,-,+,-,-,-,-,0,-,+,-,+,-,-,-,-,-,-,0,0
ω̯̃,-,+,-,+,0,-,+,-,+,-,-,-,-,0,-,+,-,+,-,-,-,-,-,-,0,0
ω,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,+,-,+,-,-,-,-,-,-,-,-
ˌω,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,+,-,+,-,-,-,-,-,-,+,-
ˈω,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,+,-,+,-,-,-,-,-,-,+,+
ω̃,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,+,-,+,-,-,-,-,-,-,-,-
ˌω̃,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,+,-,+,-,-,-,-,-,-,+,-
ˈω̃,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,+,-,+,-,-,-,-,-,-,+,+
ʊ̯,-,+,-,+,0,-,-,-,+,-,-,-,-,0,+,+,-,+,-,+,-,-,-,-,0,0
ʊ̯̃,-,+,-,+,0,-,+,-,+,-,-,-,-,0,+,+,-,+,-,+,-,-,-,-,0,0
ʊ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,+,-,+,-,+,-,-,-,-,-,-
ˌʊ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,+,-,+,-,+,-,-,-,-,+,-
ˈʊ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,+,-,+,-,+,-,-,-,-,+,+
ʊ̃,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,+,-,+,-,+,-,-,-,-,-,-
ˌʊ̃,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,+,-,+,-,+,-,-,-,-,+,-
ˈʊ̃,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,+,-,+,-,+,-,-,-,-,+,+
ɤ̯,-,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,-,+,-,-,+,-,-,-,0,0
ɤ̯̃,-,+,-,+,0,-,+,-,+,-,-,-,-,0,-,-,-,+,-,-,+,-,-,-,0,0
ɤ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,-,+,-,-,+,-,-,-,-,-
ˌɤ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,-,+,-,-,+,-,-,-,+,-
