SYMB,syl,son,cons,cont,delrel,lat,nas,strid,voi,sg,cg,ant,cor,distr,lab,hi,lo,back,front,round,tense,rtr,long,splng,stres,prim
ð,-,-,+,+,0,-,-,-,+,-,-,+,+,+,-,-,-,-,-,-,0,-,-,-,0,0
ðʲ,-,-,+,+,0,-,-,-,+,-,-,+,+,+,-,+,-,-,+,-,0,-,-,-,0,0
ðʷ,-,-,+,+,0,-,-,-,+,-,-,+,+,+,-,+,-,+,-,+,0,-,-,-,0,0
ð̞,-,+,-,+,0,-,-,-,+,-,-,+,+,+,-,-,-,-,-,-,0,-,-,-,0,0
ð̞ʲ,-,+,-,+,0,-,-,-,+,-,-,+,+,+,-,+,-,-,+,-,0,-,-,-,0,0
ð̞ʷ,-,+,-,+,0,-,-,-,+,-,-,+,+,+,-,+,-,+,-,+,0,-,-,-,0,0
l̪,-,+,+,+,0,+,-,-,+,-,-,+,+,+,-,-,-,-,-,-,0,-,-,-,0,0
l̪ʲ,-,+,+,+,0,+,-,-,+,-,-,+,+,+,-,+,-,-,+,-,0,-,-,-,0,0
ɫ̪,-,+,+,+,0,+,-,-,+,-,-,+,+,+,-,-,-,+,-,-,0,-,-,-,0,0
ɫ̪ʷ,-,+,+,+,0,+,-,-,+,-,-,+,+,+,-,+,-,+,-,+,0,-,-,-,0,
n̥,-,+,+,+,0,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,0,-,-,-,0,0
n̥ʲ,-,+,+,+,0,-,+,-,-,-,-,+,+,-,-,+,-,-,+,-,0,-,-,-,0,0
n,-,+,+,+,0,-,+,-,+,-,-,+,+,-,-,-,-,-,-,-,0,-,-,-,0,0
nʲ,-,+,+,+,0,-,+,-,+,-,-,+,+,-,-,+,-,-,+,-,0,-,-,-,0,0
nʷ,-,+,+,+,0,-,+,-,+,-,-,+,+,-,-,+,-,+,-,+,0,-,-,-,0,0
t,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,0,-,-,-,0,0
tʰ,-,-,+,-,-,-,-,-,-,+,-,+,+,-,-,-,-,-,-,-,0,-,-,-,0,0
tʲ,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,+,-,-,+,-,0,-,-,-,0,0
tʷ,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,+,-,+,-,+,0,-,-,-,0,0
d,-,-,+,-,-,-,-,-,+,-,-,+,+,-,-,-,-,-,-,-,0,-,-,-,0,0
dʰ,-,-,+,-,-,-,-,-,+,+,-,+,+,-,-,-,-,-,-,-,0,-,-,-,0,0
dʲ,-,-,+,-,-,-,-,-,+,-,-,+,+,-,-,+,-,-,+,-,0,-,-,-,0,0
dʷ,-,-,+,-,-,-,-,-,+,-,-,+,+,-,-,+,-,+,-,+,0,-,-,-,0,0
t͡s,-,-,+,-,+,-,-,+,-,-,-,+,+,-,-,-,-,-,-,-,0,-,-,-,0,0
t͡sʲ,-,-,+,-,+,-,-,+,-,-,-,+,+,-,-,+,-,-,+,-,0,-,-,-,0,0
t͡sʰ,-,-,+,-,+,-,-,+,-,+,-,+,+,-,-,+,-,-,+,-,0,-,-,-,0,0
d͡z,-,-,+,-,+,-,-,+,+,-,-,+,+,-,-,-,-,-,-,-,0,-,-,-,0,0
d͡zʲ,-,-,+,-,+,-,-,+,+,-,-,+,+,-,-,+,-,-,+,-,0,-,-,-,0,0
s,-,-,+,+,0,-,-,+,-,-,-,+,+,-,-,-,-,-,-,-,0,-,-,-,0,0
sʷ,-,-,+,+,0,-,-,+,-,-,-,+,+,-,-,+,-,+,-,+,0,-,-,-,0,0
s̹,-,-,+,+,0,-,-,+,-,-,-,+,+,-,-,-,-,-,-,+,0,-,-,-,0,0
sʲ,-,-,+,+,0,-,-,+,-,-,-,+,+,-,-,+,-,-,+,-,0,-,-,-,0,0
z,-,-,+,+,0,-,-,+,+,-,-,+,+,-,-,-,-,-,-,-,0,-,-,-,0,0
zʲ,-,-,+,+,0,-,-,+,+,-,-,+,+,-,-,+,-,-,+,-,0,-,-,-,0,0
zʷ,-,-,+,+,0,-,-,+,+,-,-,+,+,-,-,+,-,+,-,+,0,-,-,-,0,0
ɾ̥,-,+,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,0,-,-,-,0,0
ɾ,-,+,+,-,-,-,-,-,+,-,-,+,+,-,-,-,-,-,-,-,0,-,-,-,0,0
ɾ̃,-,+,+,-,-,-,+,-,+,-,-,+,+,-,-,-,-,-,-,-,0,-,-,-,0,0
ɾʲ,-,+,+,-,-,-,-,-,+,-,-,+,+,-,-,+,-,-,+,-,0,-,-,-,0,0
ɾʷ,-,+,+,-,-,-,-,-,+,-,-,+,+,-,-,+,-,+,-,+,0,-,-,-,0,0
r̥,-,+,+,+,0,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,0,-,-,-,0,0
r,-,+,+,+,0,-,-,-,+,-,-,+,+,-,-,-,-,-,-,-,0,-,-,-,0,0
rʲ,-,+,+,+,0,-,-,-,+,-,-,+,+,-,-,+,-,-,+,-,0,-,-,-,0,0
rʷ,-,+,+,+,0,-,-,-,+,-,-,+,+,-,-,+,-,+,-,+,0,-,-,-,0,0
ə˞,+,+,-,+,0,-,-,-,+,-,-,+,+,-,-,-,-,-,-,-,0,-,-,-,-,-
ˌɜ˞,+,+,-,+,0,-,-,-,+,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,+,-
ˈɜ˞,+,+,-,+,0,-,-,-,+,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,+,+
ɹ,-,+,-,+,0,-,-,-,+,-,-,+,+,-,-,-,-,-,-,-,0,-,-,-,0,0
ɹʲ,-,+,-,+,0,-,-,-,+,-,-,+,+,-,-,+,-,-,+,-,0,-,-,-,0,0
ɹʷ,-,+,-,+,0,-,-,-,+,-,-,+,+,-,-,+,-,+,-,+,0,-,-,-,0,0
ɬ,-,-,+,+,0,+,-,-,-,-,-,+,+,-,-,-,-,-,-,-,0,-,-,-,0,0
ɮ,-,-,+,+,0,+,-,-,+,-,-,+,+,-,-,-,-,-,-,-,0,-,-,-,0,0
l̥,-,+,+,+,0,+,-,-,-,-,-,+,+,-,-,-,-,-,-,-,0,-,-,-,0,0
l,-,+,+,+,0,+,-,-,+,-,-,+,+,-,-,-,-,-,-,-,0,-,-,-,0,0
lʲ,-,+,+,+,0,+,-,-,+,-,-,+,+,-,-,+,-,-,+,-,0,-,-,-,0,0
ɫ,-,+,+,+,0,+,-,-,+,-,-,+,+,-,-,-,-,+,-,-,0,-,-,-,0,0
ɫʷ,-,+,+,+,0,+,-,-,+,-,-,+,+,-,-,+,-,+,-,+,0,-,-,-,0,0
ɺ,-,+,+,-,-,+,-,-,+,-,-,+,+,+,-,-,-,-,-,-,0,-,-,-,0,0
t͡ʃ,-,-,+,-,+,-,-,+,-,-,-,-,+,+,-,-,-,-,+,-,0,-,-,-,0,0
t͡ʃʰ,-,-,+,-,+,-,-,+,-,+,-,-,+,+,-,-,-,-,+,-,0,-,-,-,0,0
d͡ʒ,-,-,+,-,+,-,-,+,+,-,-,-,+,+,-,-,-,-,+,-,0,-,-,-,0,0
ʃ,-,-,+,+,0,-,-,+,-,-,-,-,+,+,-,-,-,-,+,-,0,-,-,-,0,0
ʃʷ,-,-,+,+,0,-,-,+,-,-,-,-,+,+,+,-,-,-,+,+,0,-,-,-,0,0
ʒ,-,-,+,+,0,-,-,+,+,-,-,-,+,+,-,-,-,-,+,-,0,-,-,-,0,0
ʒʷ,-,-,+,+,0,-,-,+,+,-,-,-,+,+,+,-,-,-,+,+,0,-,-,-,0,0
ɹ̠,-,+,-,+,0,-,-,-,+,-,-,-,+,+,-,-,-,-,-,-,0,-,-,-,0,0
ɲ,-,+,+,+,0,-,+,-,+,-,-,-,-,0,-,+,-,-,+,-,0,-,-,-,0,0
c,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,+,-,-,+,-,0,-,-,-,0,0
cʰ,-,-,+,-,-,-,-,-,-,+,-,-,-,0,-,+,-,-,+,-,0,-,-,-,0,0
ɟ,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,+,-,-,+,-,0,-,-,-,0,0
ɟʰ,-,-,+,-,-,-,-,-,+,+,-,-,-,0,-,+,-,-,+,-,0,-,-,-,0,0
c͡ɕ,-,-,+,-,+,-,-,+,-,-,-,-,-,0,-,+,-,-,+,-,0,-,-,-,0,0
ɟ͡ʑ,-,-,+,-,+,-,-,+,+,-,-,-,-,0,-,+,-,-,+,-,0,-,-,-,0,0
c͡ç,-,-,+,-,+,-,-,-,-,-,-,-,-,0,-,+,-,-,+,-,0,-,-,-,0,0
ɟ͡ʝ,-,-,+,-,+,-,-,-,+,-,-,-,-,0,-,+,-,-,+,-,0,-,-,-,0,0
ɕ,-,-,+,+,0,-,-,+,-,-,-,-,-,0,-,+,-,-,+,-,0,-,-,-,0,0
