Trajectory file for run 'run1'; etymon number :1145:
#sˌuːd̪ˈɑːrium# >>> #sɥjeʁ# ( Correct : #sɥɛʁ#) :
s ˌuː d̪ ˈɑː r i u m 
#sˌuːd̪ˈɑːrɪʊm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#sˌuːd̪ˈɑːrjʊm# | Rule 25 : [+syl,-long,-stres,-lo] > [+hi,-syl,+tense,.stres,.prim,-cons,-lat,+cont,.delrel] / __ [+syl]
#sˌuːd̪ˈɑːrʝʊm# | Rule 28 : j > ʝ / __ [+syl]
#sˌud̪ˈɑːrʝʊm# | Rule 55 : [+syl,-lo,+long] > [-long,+tense,-splng,-cons,-lat,+cont,.delrel] 
#sˌud̪ˈɑrʝʊm# | Rule 56 : [+syl,+long] > [-long,-splng] 
#sˌud̪ˈɑrʝom# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#sˌud̪ˈɑrʝo# | Rule 70 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#sˌuðˈɑrʝo# | Rule 105 : [-cont,-delrel,+voi] > [+cont,.delrel] / [+syl] __ [+son,-lat,-nas]
#sˌuðˈɑrʲo# | Rule 178 : r ʝ > rʲ 
#sˌuðˈarʲo# | Rule 201 : [+lo,+syl] > [+front,-back] 
#sˌʉðˈarʲo# | Rule 220 : [+hi,+tense,+round,+syl,-nas] > [-front,-back] 
#sˌʉðˈaːrʲo# | Rule 230 : [+prim] > [+long] / __ [+cons] [+syl]
#sˌʉðˈaːrʲə# | Rule 271 : [-stres,-lo,+syl] > ə / __ #
#sˌʉðˈaːrʲə̯# | Rule 273 : ə > ə̯ 
#sˌʉðˈaːrʲ# | Rule 308 : ə̯ > ∅ 
#sˌʉðˈaːjrʲ# | Rule 356 : ∅ > j / [-cons] __ rʲ
#sˌʉðjˈaːrʲ# | Rule 357 : ˈaː j > j ˈaː / [+syl] ( [-syl] )* __ rʲ
#sˌʉðjˈɛːrʲ# | Rule 380 : [+lo,+syl,+prim] > [-lo,+front,-tense,-cons,-lat,+cont,.delrel] / [+front,-syl] __ rʲ #
#sˌʉðjˈie̯rʲ# | Rule 382 : {ˈɛː;ˈɔː} > {ˈi e̯;ˈu o̯} 
#sˌʉðˈie̯rʲ# | Rule 383 : j > ∅ / [+syl] [-syl] ( [-syl] )* __ ˈi e̯ rʲ
#sˌʉðˈie̯r# | Rule 392 : rʲ > r 
#sˌyðˈie̯r# | Rule 504 : [+hi,+round,-back] > [+front] 
#sˌyðjˈer# | Rule 596 : {ˈi e̯;ˌɛ a̯;ˈɛ a̯;ˈy ø̯} > {j ˈe;e̯ ˌa;e̯ ˈa;ɥ ˈø} 
#sˌyjˈer# | Rule 608 : {θ;ð} > {∅;∅} 
#sˌyj?r# | Rule 613 : ˈe > ? / __ @
#sˌyjˈer# | Rule 614 : ? > ˈe / [+hi,+front,+syl] j __ r #
#sɥˌiˈer# | Rule 633 : {y j;ˌy j;ˈy j} > {ɥ i;ɥ ˌi;ɥ ˈi} 
#sɥjˈer# | Rule 719 : [+hi,+syl,+stres,-prim] [-hi,-lo,+syl] > [-syl,.stres,.prim] [+stres,+syl,+son,.delrel]
#sɥjˈeɹ# | Rule 727 : r > ɹ / [-cons] __ #
#sɥjˈer# | Rule 746 : ɹ > r 
#sɥjˈeʀ# | Rule 748 : r > ʀ 
#sɥjeʀ# | Rule 749 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#sɥjeʁ# | Rule 756 : ʀ > ʁ 
