Trajectory file for run 'run1'; etymon number :1219:
#t̪ˌort̪ˈuːrɑm# >>> #t̪ɔʁt̪yʁ# ( Correct : #t̪ɔʁt̪yʁ#) :
t̪ ˌo r t̪ ˈuː r ɑ m 
#t̪ˌɔrt̪ˈuːrɑm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#t̪ˌɔrt̪ˈurɑm# | Rule 55 : [+syl,-lo,+long] > [-long,+tense,-splng,-cons,-lat,+cont,.delrel] 
#t̪ˌɔrt̪ˈurɑ# | Rule 70 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#t̪ˌɔr̥t̪ˈurɑ# | Rule 103 : [+ant,+cons] > [-voi] / __ t̪
#t̪ˌɔrt̪ˈurɑ# | Rule 104 : r̥ > r 
#t̪ˌɔrt̪ˈuːrɑ# | Rule 112 : [+prim] > [+long] / __ [+cons] [-cons]
#t̪ˌɔrt̪ˈuːra# | Rule 201 : [+lo,+syl] > [+front,-back] 
#t̪ˌɔrt̪ˈʉːra# | Rule 220 : [+hi,+tense,+round,+syl,-nas] > [-front,-back] 
#t̪ˌort̪ˈʉːra# | Rule 431 : ˌɔ > ˌo 
#t̪ˌort̪ˈʉːrə# | Rule 444 : a > ə / [+syl] ( [-syl] )* __ 
#t̪ˌort̪ˈyːrə# | Rule 504 : [+hi,+round,-back] > [+front] 
#t̪ˌɔrt̪ˈyːrə# | Rule 549 : ˌo > ˌɔ / __ r [+ant,-lab,-cont]
#t̪ˌɔrt̪ˈyːrə̯# | Rule 706 : ə > ə̯ / __ #
#t̪ˌɔɹt̪ˈyːrə̯# | Rule 728 : r > ɹ / [-cons] __ [+cons]
#t̪ˌɔɹt̪ˈyːr# | Rule 735 : ə̯ > ∅ 
#t̪ˌɔrt̪ˈyːr# | Rule 746 : ɹ > r 
#t̪ˌɔʀt̪ˈyːʀ# | Rule 748 : r > ʀ 
#t̪ɔʀt̪yːʀ# | Rule 749 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#t̪ɔʀt̪yʀ# | Rule 750 : [+syl,+long] > [-long,-splng] 
#t̪ɔʁt̪yʁ# | Rule 756 : ʀ > ʁ 
