Trajectory file for run 'run1'; etymon number :532:
#kwˈɑn̪d̪oː# >>> #kɑ̃# ( Correct : #kɑ̃#) :
k w ˈɑ n̪ d̪ oː 
#kɣʷˈɑn̪d̪oː# | Rule 5 : {j;w} > {ʝ;ɣʷ} / __ [+syl]
#kwˈɑn̪d̪oː# | Rule 6 : ɣʷ > w / [+back,+hi,+cons] __ 
#kwˈɑn̪d̪o# | Rule 55 : [+syl,-lo,+long] > [-long,+tense,-splng,-cons,-lat,+cont,.delrel] 
#kwˈan̪d̪o# | Rule 201 : [+lo,+syl] > [+front,-back] 
#kwˈan̪d̪ə# | Rule 271 : [-stres,-lo,+syl] > ə / __ #
#kwˈan̪d̪ə̯# | Rule 273 : ə > ə̯ 
#kwˈan̪d̪# | Rule 308 : ə̯ > ∅ 
#kwˈan̪t̪# | Rule 447 : [-son] > [-voi] / __ #
#kwˈãn̪t̪# | Rule 506 : [+lo,+syl] > [+nas,+son,.delrel] / __ [+nas,-syl]
#kˈãn̪t̪# | Rule 622 : [-syl,+round,+cont] > ∅ / [+back,-cont] __ 
#kˈãːt̪# | Rule 666 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ [+cons]
#kˈɑ̃ːt̪# | Rule 716 : [+lo,+long,+syl] > [+back,-front] 
#kˈɑ̃ː# | Rule 733 : [-son] > ∅ / __ #
#kɑ̃ː# | Rule 749 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#kɑ̃# | Rule 750 : [+syl,+long] > [-long,-splng] 
