Trajectory file for run 'run1'; etymon number :1253:
#t̪ˈurt̪ɑm# >>> #t̪uʁt̪# ( Correct : #t̪uʁt̪#) :
t̪ ˈu r t̪ ɑ m 
#t̪ˈʊrt̪ɑm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#t̪ˈort̪ɑm# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#t̪ˈort̪ɑ# | Rule 70 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#t̪ˈor̥t̪ɑ# | Rule 103 : [+ant,+cons] > [-voi] / __ t̪
#t̪ˈort̪ɑ# | Rule 104 : r̥ > r 
#t̪ˈort̪a# | Rule 201 : [+lo,+syl] > [+front,-back] 
#t̪ˈort̪ə# | Rule 444 : a > ə / [+syl] ( [-syl] )* __ 
#t̪ˈurt̪ə# | Rule 564 : [+round,+tense,+back] > [+hi] 
#t̪ˈurt̪ə̯# | Rule 706 : ə > ə̯ / __ #
#t̪ˈuɹt̪ə̯# | Rule 728 : r > ɹ / [-cons] __ [+cons]
#t̪ˈuɹt̪# | Rule 735 : ə̯ > ∅ 
#t̪ˈurt̪# | Rule 746 : ɹ > r 
#t̪ˈuʀt̪# | Rule 748 : r > ʀ 
#t̪uʀt̪# | Rule 749 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#t̪uʁt̪# | Rule 756 : ʀ > ʁ 
