f `i n̪ d̪ e r e , f `e n̪ d̪ ɛ r ɛ ,  f `ẽ n̪ d̪ r ə , f `ã n̪ d̪ r ə , f `ãː d̪ ʁ ə , f ɑ̃ d̪ ʁ $fendre. Verb. 
p r 'e h `e n̪ d̪ e r e , p r `e n̪ d̪ ɛ r ɛ , p r `ẽ n̪ d̪ r ə , p r `ã n̪ d̪ r ə , p r `ãː d̪ r ə , p ʁ ɑ̃ d̪ ʁ $prendre. Verb.
f `eː m i n̪ ɑ m , f `e m e n̪ ɑ , f `ẽ m ə , f `ã m ə , f `aː m ə , f a m $femme. 
`i l l oː s , `e l l o s , `e w s , `ø s , `ø s , ø $eux. 
f `i d̪ e m , f `e d̪ e , f `e j θ , f w `ɛ , f w `ɛ , f w ɑ $foi. 
k r `eː t̪ ɑ m , k r `e t̪ ɑ , k r e j ð ə , k r w `ɛ ə , k r `ɛː , k ʁ ɛ $craie. 
p l `eː n̪ u m , p l `e n̪ o , p l `ẽ j̃ n̪ , p l `ɛ̃ j̃ n̪ , p l `ɛ̃ n̪ , p l ɛ̃ $plein. 
p l `eː n̪ ɑ m , p l `e n̪ ɑ , p l `ẽ j̃ n̪ ə , p l `ɛ̃ j̃ n̪ ə , p l `ɛ̃ n̪ ə , p l ɛ n̪ $pleine. 
k `eː r ɑ m , c `e r ɑ , t͡s `i r ə , s `i r ə , s `i r ə , s i ʁ $cire.
r 'ɑ k `eː m u m , r 'ɑ c `e m o , r 'a i̯ d͡z `i n̪ , r 'ɛ z `ĩ n̪ , r 'ɛ z `ɛ̃ n̪ , ʁ ɛ z ɛ̃ $raisin.
p 'ɑ r `i k u l u m , p 'ɑ r `e k l o , p 'a r `e ʎ , p 'a r `e ʎ , p 'a r `ɛ ʎ , p 'a ʁ ɛ j $pareil
p 'ɑ r `i k u l oː s , p 'ɑ r `e k l oː s , p 'a r `e w t͡s , p 'a r `ø s , p 'a r `ø s , ... $pareux
