Trajectory file for run 'run1'; etymon number :125:
#blˈɑn̪kum# >>> #blɑ̃# ( Correct : #blɑ̃#) :
b l ˈɑ n̪ k u m 
#blˈɑŋkum# | Rule 0 : n̪ > ŋ / __ [+hi,+back,-cont]
#blˈɑŋkʊm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#blˈɑŋkom# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#blˈɑŋko# | Rule 70 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#blˈaŋko# | Rule 201 : [+lo,+syl] > [+front,-back] 
#blˈaŋkə# | Rule 271 : [-stres,-lo,+syl] > ə / __ #
#blˈaŋkə̯# | Rule 273 : ə > ə̯ 
#blˈaŋk# | Rule 308 : ə̯ > ∅ 
#blˈãŋk# | Rule 506 : [+lo,+syl] > [+nas,+son,.delrel] / __ [+nas,-syl]
#blˈãːk# | Rule 666 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ [+cons]
#blˈɑ̃ːk# | Rule 716 : [+lo,+long,+syl] > [+back,-front] 
#blˈɑ̃ː# | Rule 733 : [-son] > ∅ / __ #
#blɑ̃ː# | Rule 749 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#blɑ̃# | Rule 750 : [+syl,+long] > [-long,-splng] 
