Trajectory file for run 'run1'; etymon number :1311:
#wˈet̪ulɑːs# >>> #vjɛj# ( Correct : #vjɛj#) :
w ˈe t̪ u l ɑː s 
#ɣʷˈet̪ulɑːs# | Rule 5 : {j;w} > {ʝ;ɣʷ} / __ [+syl]
#ɣʷˈɛt̪ʊlɑːs# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#ɣʷˈɛt̪lɑːs# | Rule 33 : {ʊ;o} > {∅;∅} / [+prim] ( [-syl] )* [-cont] __ [+lat] [+syl] ( [-syl] ) #
#βʷˈɛt̪lɑːs# | Rule 50 : ɣʷ > βʷ 
#βʷˈɛt̪lɑs# | Rule 56 : [+syl,+long] > [-long,-splng] 
#βʷˈɛklɑs# | Rule 69 : t̪ > k / __ [+lat]
#βʷˈɛːklɑs# | Rule 113 : [+prim] > [+long] / __ [-cont] [+cons,+son,-nas]
#βʷˈɛːxlɑs# | Rule 118 : [+hi,+back,-cont] > [+cont,.delrel] / [-cons] __ [+cor,+cons]
#βˈɛːxlɑs# | Rule 161 : {βʷ;ɸʷ} > {β;ɸ} 
#βˈie̯xlɑs# | Rule 169 : {ˈɛː;ˈɔː} > {ˈi e̯;ˈu o̯} 
#βˈie̯xlas# | Rule 201 : [+lo,+syl] > [+front,-back] 
#βˈie̯çlas# | Rule 209 : [+back,+hi,+cont,-son] > [-back,+front] / __ [+cor]
#βˈie̯çʎas# | Rule 218 : [+lat] > ʎ / [+hi,+front,+cons] __ 
#βˈie̯ʎas# | Rule 250 : [+hi,+front,-lat,-syl] > ∅ / __ ʎ
#vˈie̯ʎas# | Rule 438 : β > v 
#vˈie̯ʎəs# | Rule 444 : a > ə / [+syl] ( [-syl] )* __ 
#vjˈeʎəs# | Rule 596 : {ˈi e̯;ˌɛ a̯;ˈɛ a̯;ˈy ø̯} > {j ˈe;e̯ ˌa;e̯ ˈa;ɥ ˈø} 
#vj?ʎəs# | Rule 613 : ˈe > ? / __ @
#vjˈɛʎəs# | Rule 616 : ? > ˈɛ 
#vjˈɛʎə# | Rule 733 : [-son] > ∅ / __ #
#vjɛʎə# | Rule 749 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#vjɛjə# | Rule 757 : ʎ > j 
#vjɛj# | Rule 759 : ə > ∅ / [+syl] ( [-syl] )* __ #
