Trajectory file for run 'run1'; etymon number :867:
#pˈet̪rum# >>> #pjɛʁ# ( Correct : #pjɛʁ#) :
p ˈe t̪ r u m 
#pˈɛt̪rʊm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#pˈɛt̪rom# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#pˈɛt̪ro# | Rule 70 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#pˈɛːt̪ro# | Rule 113 : [+prim] > [+long] / __ [-cont] [+cons,+son,-nas]
#pˈie̯t̪ro# | Rule 169 : {ˈɛː;ˈɔː} > {ˈi e̯;ˈu o̯} 
#pˈie̯t̪rə# | Rule 271 : [-stres,-lo,+syl] > ə / __ #
#pˈie̯t̪rə̯# | Rule 273 : ə > ə̯ 
#pˈie̯t̪r# | Rule 308 : ə̯ > ∅ 
#pˈie̯t̪rə# | Rule 321 : ∅ > ə / [+cons,-son] [+son,-syl] __ #
#pˈie̯d̪rə# | Rule 361 : [-voi,-delrel,+ant] > [+voi] / [-cons] __ [+cor,+son,-nas]
#pˈie̯ðrə# | Rule 386 : [-delrel,+voi] > [+cont,.delrel] / [-cons] __ r
#pjˈeðrə# | Rule 596 : {ˈi e̯;ˌɛ a̯;ˈɛ a̯;ˈy ø̯} > {j ˈe;e̯ ˌa;e̯ ˈa;ɥ ˈø} 
#pjˈerə# | Rule 608 : {θ;ð} > {∅;∅} 
#pj?rə# | Rule 613 : ˈe > ? / __ @
#pjˈɛrə# | Rule 616 : ? > ˈɛ 
#pjˈɛrə̯# | Rule 706 : ə > ə̯ / __ #
#pjˈɛr# | Rule 735 : ə̯ > ∅ 
#pjˈɛʀ# | Rule 748 : r > ʀ 
#pjɛʀ# | Rule 749 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#pjɛʁ# | Rule 756 : ʀ > ʁ 
