Trajectory file for run 'run1'; etymon number :1275:
#wˈɑkkɑm# >>> #vaʃ# ( Correct : #vaʃ#) :
w ˈɑ k k ɑ m 
#ɣʷˈɑkkɑm# | Rule 5 : {j;w} > {ʝ;ɣʷ} / __ [+syl]
#βʷˈɑkkɑm# | Rule 50 : ɣʷ > βʷ 
#βʷˈɑkkɑ# | Rule 70 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#βˈɑkkɑ# | Rule 161 : {βʷ;ɸʷ} > {β;ɸ} 
#βˈakka# | Rule 201 : [+lo,+syl] > [+front,-back] 
#βˈakkʲa# | Rule 239 : [+hi,+back,+cons] > [+front] / __ [+front,+syl]
#βˈakca# | Rule 252 : [+back,+front] > [-back] 
#βˈakt͡ʃa# | Rule 261 : [+hi,+front,-cont,-ant] > [+delrel,+cor,-hi,+strid,+distr,-son] 
#βˈat̪t͡ʃa# | Rule 262 : {k t͡ʃ;ɡ d͡ʒ} > {t̪ t͡ʃ;d̪ d͡ʒ} 
#vˈat̪t͡ʃa# | Rule 438 : β > v 
#vˈat̪t͡ʃə# | Rule 444 : a > ə / [+syl] ( [-syl] )* __ 
#vˈat͡ʃə# | Rule 490 : [+cor,-cont,-delrel] > ∅ / __ [+cor,-cont]
#vˈaʃə# | Rule 647 : [+delrel] > [+cont,.delrel] 
#vˈaʃə̯# | Rule 706 : ə > ə̯ / __ #
#vˈaʃ# | Rule 735 : ə̯ > ∅ 
#vaʃ# | Rule 749 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
