Trajectory file for run 'run1'; etymon number :332:
#hˈeri# >>> #jɛʁ# ( Correct : #jɛʁ#) :
h ˈe r i 
#hˈɛrɪ# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#hˈɛre# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#ˈɛre# | Rule 107 : h > ∅ 
#ˈɛːre# | Rule 112 : [+prim] > [+long] / __ [+cons] [-cons]
#ˈie̯re# | Rule 169 : {ˈɛː;ˈɔː} > {ˈi e̯;ˈu o̯} 
#ˈie̯rə# | Rule 271 : [-stres,-lo,+syl] > ə / __ #
#ˈie̯rə̯# | Rule 273 : ə > ə̯ 
#ˈie̯r# | Rule 308 : ə̯ > ∅ 
#jˈer# | Rule 596 : {ˈi e̯;ˌɛ a̯;ˈɛ a̯;ˈy ø̯} > {j ˈe;e̯ ˌa;e̯ ˈa;ɥ ˈø} 
#j?r# | Rule 613 : ˈe > ? / __ @
#jˈɛr# | Rule 616 : ? > ˈɛ 
#jˈɛɹ# | Rule 727 : r > ɹ / [-cons] __ #
#jˈɛr# | Rule 746 : ɹ > r 
#jˈɛʀ# | Rule 748 : r > ʀ 
#jɛʀ# | Rule 749 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#jɛʁ# | Rule 756 : ʀ > ʁ 
