Trajectory file for run 'run1'; etymon number :851:
#pˈerd̪it̪ɑm# >>> #pɛʁt̪# ( Correct : #pɛʁt̪#) :
p ˈe r d̪ i t̪ ɑ m 
#pˈɛrd̪ɪt̪ɑm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#pˈɛrd̪et̪ɑm# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#pˈɛrd̪et̪ɑ# | Rule 70 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#pˈɛrd̪ə̯t̪ɑ# | Rule 93 : e > ə̯ / [+cont,+cons] [-delrel] __ t̪ [+syl] #
#pˈɛrd̪ə̯t̪a# | Rule 201 : [+lo,+syl] > [+front,-back] 
#pˈɛrd̪t̪a# | Rule 308 : ə̯ > ∅ 
#pˈɛrd̪t̪ə# | Rule 444 : a > ə / [+syl] ( [-syl] )* __ 
#pˈɛrt̪ə# | Rule 474 : [+cons] > ∅ / [+cons] __ [-son]
#pˈɛrt̪ə̯# | Rule 706 : ə > ə̯ / __ #
#pˈɛɹt̪ə̯# | Rule 728 : r > ɹ / [-cons] __ [+cons]
#pˈɛɹt̪# | Rule 735 : ə̯ > ∅ 
#pˈɛrt̪# | Rule 746 : ɹ > r 
#pˈɛʀt̪# | Rule 748 : r > ʀ 
#pɛʀt̪# | Rule 749 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#pɛʁt̪# | Rule 756 : ʀ > ʁ 
