Trajectory file for run 'run1'; etymon number :675:
#mˈembrum# >>> #mɑ̃bʁ# ( Correct : #mɑ̃bʁ#) :
m ˈe m b r u m 
#mˈɛmbrʊm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#mˈɛmbrom# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#mˈɛmbro# | Rule 70 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#mˈɛmbrə# | Rule 271 : [-stres,-lo,+syl] > ə / __ #
#mˈɛmbrə̯# | Rule 273 : ə > ə̯ 
#mˈɛmbɾə# | Rule 296 : {n̪ ə̯;ə̯ n̪;r ə̯;ə̯ r} > {ɾ ə;ɾ ə;ɾ ə;ɾ ə} / [+cons] [-cont] __ #
#mˈɛmbrə# | Rule 302 : ɾ > r 
#mˈɛ̃mbrə# | Rule 519 : [+front,-hi,+syl] > [+nas,+son,.delrel] / __ [+nas,-syl]
#mˈãmbrə# | Rule 578 : [+nas,-hi,+syl] > [+lo,+tense,-cons,-lat,+cont,.delrel] / __ [+cons]
#mˈãːbrə# | Rule 666 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ [+cons]
#mˈãːbrə̯# | Rule 706 : ə > ə̯ / __ #
#mˈɑ̃ːbrə̯# | Rule 716 : [+lo,+long,+syl] > [+back,-front] 
#mˈɑ̃ːbr# | Rule 735 : ə̯ > ∅ 
#mˈɑ̃ːbʀ# | Rule 748 : r > ʀ 
#mɑ̃ːbʀ# | Rule 749 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#mɑ̃bʀ# | Rule 750 : [+syl,+long] > [-long,-splng] 
#mɑ̃bʁ# | Rule 756 : ʀ > ʁ 
