Trajectory file for run 'run1'; etymon number :166:
#d̪ˌeːsˈuːrsum# >>> #d̪ezy# ( Correct : #d̪əsy#) :
d̪ ˌeː s ˈuː r s u m 
#d̪ˌeːsˈuːsum# | Rule 11 : [+cor,+son,-nas,-lat] > ∅ / [+syl,+long] __ s
#d̪ˌeːsˈuːsʊm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#d̪ˌesˈusʊm# | Rule 55 : [+syl,-lo,+long] > [-long,+tense,-splng,-cons,-lat,+cont,.delrel] 
#d̪ˌesˈusom# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#d̪ˌesˈuso# | Rule 70 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#d̪ˌesˈuːso# | Rule 112 : [+prim] > [+long] / __ [+cons] [-cons]
#d̪ˌezˈuːzo# | Rule 137 : [+cont,-son] > [+voi] / [-cons] __ [+syl]
#d̪ˌezˈʉːzo# | Rule 220 : [+hi,+tense,+round,+syl,-nas] > [-front,-back] 
#d̪ˌezˈʉːzə# | Rule 271 : [-stres,-lo,+syl] > ə / __ #
#d̪ˌezˈʉːzə̯# | Rule 273 : ə > ə̯ 
#d̪ˌezˈʉːz# | Rule 308 : ə̯ > ∅ 
#d̪ˌezˈʉːs# | Rule 447 : [-son] > [-voi] / __ #
#d̪ˌezˈyːs# | Rule 504 : [+hi,+round,-back] > [+front] 
#d̪ˌɛzˈyːs# | Rule 593 : ˌe > ˌɛ / __ [+cont,-lat,-nas,+voi] [+syl]
#d̪ˌezˈyːs# | Rule 609 : ˌɛ > ˌe / __ [+cont,-lat,-nas,+voi] [+syl]
#d̪ˌeːzˈyːs# | Rule 720 : [+syl] > [+long] / __ z [+syl]
#d̪ˌeːzˈyː# | Rule 733 : [-son] > ∅ / __ #
#d̪eːzyː# | Rule 749 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#d̪ezy# | Rule 750 : [+syl,+long] > [-long,-splng] 
