Trajectory file for run 'run1'; etymon number :391:
#kˈɑlid̪ɑm# >>> #ʃod̪# ( Correct : #ʃod̪#) :
k ˈɑ l i d̪ ɑ m 
#kˈɑlɪd̪ɑm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#kˈɑled̪ɑm# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#kˈɑled̪ɑ# | Rule 70 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#kˈɑld̪ɑ# | Rule 94 : e > ∅ / __ [+cor,+distr,+ant] [+syl] ( [-syl] ) #
#kˈɑɫd̪ɑ# | Rule 140 : l > ɫ / __ [+cons,-lat]
#kˈaɫd̪a# | Rule 201 : [+lo,+syl] > [+front,-back] 
#kʲˈaɫd̪a# | Rule 239 : [+hi,+back,+cons] > [+front] / __ [+front,+syl]
#cˈaɫd̪a# | Rule 252 : [+back,+front] > [-back] 
#t͡ʃˈaɫd̪a# | Rule 261 : [+hi,+front,-cont,-ant] > [+delrel,+cor,-hi,+strid,+distr,-son] 
#t͡ʃˈaɫd̪ə# | Rule 444 : a > ə / [+syl] ( [-syl] )* __ 
#t͡ʃˈawd̪ə# | Rule 582 : [+lat,+back] > w 
#ʃˈawd̪ə# | Rule 647 : [+delrel] > [+cont,.delrel] 
#ʃˈoːd̪ə# | Rule 664 : {ˌa w;ˈa w} > {ˌoː;ˈoː} 
#ʃˈoːd̪ə̯# | Rule 706 : ə > ə̯ / __ #
#ʃˈoːd̪# | Rule 735 : ə̯ > ∅ 
#ʃoːd̪# | Rule 749 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#ʃod̪# | Rule 750 : [+syl,+long] > [-long,-splng] 
