Trajectory file for run 'run1'; etymon number :38:
#ˌɑmˈɑːrum# >>> #ame# ( Correct : #amɛʁ#) :
ˌɑ m ˈɑː r u m 
#ˌɑmˈɑːrʊm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#ˌɑmˈɑrʊm# | Rule 56 : [+syl,+long] > [-long,-splng] 
#ˌɑmˈɑrom# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#ˌɑmˈɑro# | Rule 70 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#ˌɑmˈɑːro# | Rule 112 : [+prim] > [+long] / __ [+cons] [-cons]
#ˌamˈaːro# | Rule 201 : [+lo,+syl] > [+front,-back] 
#ˌamˈaːrə# | Rule 271 : [-stres,-lo,+syl] > ə / __ #
#ˌamˈaːrə̯# | Rule 273 : ə > ə̯ 
#ˌamˈaːr# | Rule 308 : ə̯ > ∅ 
#ˌamˈae̯r# | Rule 416 : {ˈaː;ˈeː;ˈoː;ˈɛː} > {ˈa e̯;ˈe j;ˈo w;ˈi e̯} 
#ˌãmˈae̯r# | Rule 506 : [+lo,+syl] > [+nas,+son,.delrel] / __ [+nas,-syl]
#ˌãmˈeːr# | Rule 551 : {a e̯;ˌa e̯;ˈa e̯} > {eː;ˌeː;ˈeː} 
#ˌãmˈeːɹ# | Rule 727 : r > ɹ / [-cons] __ #
#ˌamˈeːɹ# | Rule 739 : [+front,-round,+syl,+nas] > [-nas] / __ [+cons,+nas] [-cons]
#ˌamˈeː# | Rule 744 : ɹ > ∅ / [+syl] ( [-syl] )* [-hi,+front,+tense,-lo] __ #
#ameː# | Rule 749 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#ame# | Rule 750 : [+syl,+long] > [-long,-splng] 
