Trajectory file for run 'run1'; etymon number :949:
#prˈet̪ium# >>> #pʁi# ( Correct : #pʁi#) :
p r ˈe t̪ i u m 
#prˈɛt̪ɪʊm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#prˈɛt̪jʊm# | Rule 25 : [+syl,-long,-stres,-lo] > [+hi,-syl,+tense,.stres,.prim,-cons,-lat,+cont,.delrel] / __ [+syl]
#prˈɛt̪ʝʊm# | Rule 28 : j > ʝ / __ [+syl]
#prˈɛt̪ʝom# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#prˈɛt̪ʝo# | Rule 70 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#prˈɛt͡sʲʝo# | Rule 74 : {t̪;d̪} > {t͡sʲ;ɟ} / __ [+hi,+front,-syl,+cont]
#prˈɛt͡sʲo# | Rule 86 : ʝ > ∅ / [-cont,+hi,+front] __ 
#prˈɛːt͡sʲo# | Rule 112 : [+prim] > [+long] / __ [+cons] [-cons]
#prˈie̯t͡sʲo# | Rule 169 : {ˈɛː;ˈɔː} > {ˈi e̯;ˈu o̯} 
#prˈie̯t͡sʲə# | Rule 271 : [-stres,-lo,+syl] > ə / __ #
#prˈie̯t͡sʲə̯# | Rule 273 : ə > ə̯ 
#prˈie̯t͡sʲ# | Rule 308 : ə̯ > ∅ 
#prˈie̯jt͡sʲ# | Rule 417 : ∅ > j / e̯ __ t͡sʲ
#prˈie̯jt͡s# | Rule 545 : t͡sʲ > t͡s / [-nas] __ 
#prˈijt͡s# | Rule 556 : e̯ > ∅ / [+hi,+front,+tense,+prim] __ [-syl,-cons,+hi,-round]
#prˈit͡s# | Rule 557 : [-syl,-cons,+hi,-round] > ∅ / ˈi __ 
#prˈis# | Rule 647 : [+delrel] > [+cont,.delrel] 
#prˈi# | Rule 733 : [-son] > ∅ / __ #
#pʀˈi# | Rule 748 : r > ʀ 
#pʀi# | Rule 749 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#pʁi# | Rule 756 : ʀ > ʁ 
