Trajectory file for run 'run1'; etymon number :1100:
#sˈikkum# >>> #sɛk# ( Correct : #sɛk#) :
s ˈi k k u m 
#sˈɪkkʊm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#sˈekkom# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#sˈekko# | Rule 70 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#sˈekkə# | Rule 271 : [-stres,-lo,+syl] > ə / __ #
#sˈekkə̯# | Rule 273 : ə > ə̯ 
#sˈekk# | Rule 308 : ə̯ > ∅ 
#sˈek# | Rule 493 : {p p;b b;f f;m m;t̪ t̪;t̪ t͡s;t̪ t͡sʲ;t̪ t͡ʃ;d̪ d̪;d̪ d͡ʒ;n̪ n̪;s s;z z;l l;k k;ɡ ɡ;n̪ n̪} > {p;b;f;m;t̪;t͡s;t͡sʲ;t͡ʃ;d̪;d͡ʒ;n̪;s;z;l;k;ɡ;n̪} 
#s?k# | Rule 613 : ˈe > ? / __ @
#sˈɛk# | Rule 616 : ? > ˈɛ 
#sˈɛkə̯# | Rule 731 : ∅ > ə̯ / # [-syl] [+syl,-nas] k __ #
#sˈɛk# | Rule 735 : ə̯ > ∅ 
#sɛk# | Rule 749 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
