Trajectory file for run 'run1'; etymon number :443:
#kˈen̪t̪um# >>> #sɑ̃# ( Correct : #sɑ̃#) :
k ˈe n̪ t̪ u m 
#kˈɛn̪t̪ʊm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#kˈɛn̪t̪om# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#kˈɛn̪t̪o# | Rule 70 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#kʲˈɛn̪t̪o# | Rule 76 : [+hi,+back,-cont] > [+front] / __ [+cont,-lo,+front]
#cˈɛn̪t̪o# | Rule 77 : [+back,+front] > [-back] 
#cˈɛ?t̪o# | Rule 103 : [+ant,+cons] > [-voi] / __ t̪
#t͡sʲˈɛ?t̪o# | Rule 184 : {c;ɟ} > {t͡sʲ;d͡ʒ} 
#t͡sʲˈɛ?t̪ə# | Rule 271 : [-stres,-lo,+syl] > ə / __ #
#t͡sʲˈɛ?t̪ə̯# | Rule 273 : ə > ə̯ 
#t͡sʲˈɛ?t̪# | Rule 308 : ə̯ > ∅ 
#t͡sʲˈɛ̃?t̪# | Rule 519 : [+front,-hi,+syl] > [+nas,+son,.delrel] / __ [+nas,-syl]
#t͡sˈɛ̃?t̪# | Rule 546 : t͡sʲ > t͡s / # __ 
#t͡sˈã?t̪# | Rule 578 : [+nas,-hi,+syl] > [+lo,+tense,-cons,-lat,+cont,.delrel] / __ [+cons]
#sˈã?t̪# | Rule 647 : [+delrel] > [+cont,.delrel] 
#sˈãːt̪# | Rule 666 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ [+cons]
#sˈɑ̃ːt̪# | Rule 716 : [+lo,+long,+syl] > [+back,-front] 
#sˈɑ̃ː# | Rule 733 : [-son] > ∅ / __ #
#sɑ̃ː# | Rule 749 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#sɑ̃# | Rule 750 : [+syl,+long] > [-long,-splng] 
