Trajectory file for run 'run1'; etymon number :467:
#kˌohˈort̪em# >>> #kuʁ# ( Correct : #kuʁ#) :
k ˌo h ˈo r t̪ e m 
#kˌɔhˈɔrt̪ɛm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#kˌɔˈɔrt̪ɛm# | Rule 16 : h > ∅ / @ __ 
#kˌɔˈɔrt̪ɛ# | Rule 70 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#kˌɔˈɔr̥t̪ɛ# | Rule 103 : [+ant,+cons] > [-voi] / __ t̪
#kˌɔˈɔrt̪ɛ# | Rule 104 : r̥ > r 
#kˌɔˈɔrt̪ə# | Rule 271 : [-stres,-lo,+syl] > ə / __ #
#kˌɔˈɔrt̪ə̯# | Rule 273 : ə > ə̯ 
#kˌɔˈɔrt̪# | Rule 308 : ə̯ > ∅ 
#kˌɯˈɔrt̪# | Rule 430 : ˌɔ > ˌɯ / __ ˈɔ
#kˌɔˈɔrt̪# | Rule 432 : {ˌɨ;ˌɯ} > {ˌɛ;ˌɔ} 
#kˈuːrt̪# | Rule 698 : [-hi,+back,+round,+syl] [-hi,+back,+round,+syl] > ˈuː
#kˈuːɹt̪# | Rule 728 : r > ɹ / [-cons] __ [+cons]
#kˈuːɹ# | Rule 733 : [-son] > ∅ / __ #
#kˈuːr# | Rule 746 : ɹ > r 
#kˈuːʀ# | Rule 748 : r > ʀ 
#kuːʀ# | Rule 749 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#kuʀ# | Rule 750 : [+syl,+long] > [-long,-splng] 
#kuʁ# | Rule 756 : ʀ > ʁ 
