Trajectory file for run 'run1'; etymon number :1118:
#sˈoror# >>> #sœʁ# ( Correct : #sœʁ#) :
s ˈo r o r 
#sˈɔrɔr# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#sˈɔːrɔr# | Rule 112 : [+prim] > [+long] / __ [+cons] [-cons]
#sˈuo̯rɔr# | Rule 169 : {ˈɛː;ˈɔː} > {ˈi e̯;ˈu o̯} 
#sˈʉo̯rɔr# | Rule 220 : [+hi,+tense,+round,+syl,-nas] > [-front,-back] 
#sˈʉo̯rər# | Rule 270 : [-stres,-lo,+syl] > ə / __ [-syl]
#sˈʉo̯rə̯r# | Rule 273 : ə > ə̯ 
#sˈʉo̯rrə# | Rule 290 : ə̯ r > r ə / __ #
#sˈyo̯rrə# | Rule 504 : [+hi,+round,-back] > [+front] 
#sˈye̯rrə# | Rule 533 : o̯ > e̯ 
#sˈøːrrə# | Rule 581 : [+hi,+round,+tense,+prim] e̯ > ˈøː
#sˈøːrə# | Rule 605 : r r > r 
#sˈøːrə̯# | Rule 706 : ə > ə̯ / __ #
#sˈøːr# | Rule 735 : ə̯ > ∅ 
#sˈœːr# | Rule 736 : [+front,+round,-hi,+syl] > [-tense,-cons,-lat,+cont,.delrel] / __ [+cons] ( [+cons] )* ( ə ) #
#sˈœːʀ# | Rule 748 : r > ʀ 
#sœːʀ# | Rule 749 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#sœʀ# | Rule 750 : [+syl,+long] > [-long,-splng] 
#sœʁ# | Rule 756 : ʀ > ʁ 
