Trajectory file for run 'run1'; etymon number :249:
#fˈikɑt̪um# >>> #fwa# ( Correct : #fwa#) :
f ˈi k ɑ t̪ u m 
#fˈɪkɑt̪ʊm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#fˈekɑt̪om# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#fˈekɑt̪o# | Rule 70 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#fˈeːkɑt̪o# | Rule 112 : [+prim] > [+long] / __ [+cons] [-cons]
#fˈeːɡɑt̪o# | Rule 133 : k > ɡ / [-cons] __ [+syl]
#fˈeːɣɑt̪o# | Rule 135 : ɡ > ɣ / [-cons] __ [-cons]
#fˈeːɣat̪o# | Rule 201 : [+lo,+syl] > [+front,-back] 
#fˈeːɣʲat̪o# | Rule 239 : [+hi,+back,+cons] > [+front] / __ [+front,+syl]
#fˈeːʝat̪o# | Rule 252 : [+back,+front] > [-back] 
#fˈeːʝət̪o# | Rule 266 : a > ə / __ [-syl] ( [-syl] )* [+syl] ( [-syl] )* #
#fˈeːʝat̪o# | Rule 267 : ə > a / __ [+cor,+ant,+distr] [+syl]
#fˈeːʝat̪ə# | Rule 271 : [-stres,-lo,+syl] > ə / __ #
#fˈeːʝat̪ə̯# | Rule 273 : ə > ə̯ 
#fˈeːʝat̪# | Rule 308 : ə̯ > ∅ 
#fˈeːjat̪# | Rule 389 : ʝ > j 
#fˈejat̪# | Rule 415 : {ˈeː j;ˈeː ʝ} > {ˈe j;ˈe j} 
#fˈejaθ# | Rule 441 : [-cont,-delrel] > [+cont,.delrel] / [-cons] __ #
#fˈejəθ# | Rule 444 : a > ə / [+syl] ( [-syl] )* __ 
#fˈojəθ# | Rule 542 : [+front,+tense,-hi,-lo,+syl] > [+back,-front,+round,+lab] / __ j
#fˈujəθ# | Rule 564 : [+round,+tense,+back] > [+hi] 
#fˈujə# | Rule 608 : {θ;ð} > {∅;∅} 
#fˈuɛ̯ə# | Rule 631 : j > ɛ̯ / [+syl,+back,+round] __ 
#fwˈɛə# | Rule 632 : {u ɛ̯;ˌu ɛ̯;ˈu ɛ̯;ɔ ɛ̯;ˌɔ ɛ̯;ˈɔ ɛ̯} > {w ɛ;w ˌɛ;w ˈɛ;w ɛ;w ˌɛ;w ˈɛ} 
#fwˈɛːə# | Rule 693 : [+stres] > [+long] / __ ə
#fwˈɛː# | Rule 694 : ə > ∅ / [+syl] __ 
#fwɛː# | Rule 749 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#fwɛ# | Rule 750 : [+syl,+long] > [-long,-splng] 
#fwa# | Rule 755 : ɛ > a / w __ 
