Trajectory file for run 'run1'; etymon number :70:
#ˌɑrkˈellum# >>> #aʁso# ( Correct : #aʁso#) :
ˌɑ r k ˈe l l u m 
#ˌɑrkˈɛllʊm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#ˌɑrkˈɛllom# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#ˌɑrkˈɛllo# | Rule 70 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#ˌɑrkʲˈɛllo# | Rule 76 : [+hi,+back,-cont] > [+front] / __ [+cont,-lo,+front]
#ˌɑrcˈɛllo# | Rule 77 : [+back,+front] > [-back] 
#ˌɑrt͡sʲˈɛllo# | Rule 184 : {c;ɟ} > {t͡sʲ;d͡ʒ} 
#ˌart͡sʲˈɛllo# | Rule 201 : [+lo,+syl] > [+front,-back] 
#ˌart͡sʲˈɛllə# | Rule 271 : [-stres,-lo,+syl] > ə / __ #
#ˌart͡sʲˈɛllə̯# | Rule 273 : ə > ə̯ 
#ˌart͡sʲˈɛll# | Rule 308 : ə̯ > ∅ 
#ˌart͡sʲˈɛl# | Rule 493 : {p p;b b;f f;m m;t̪ t̪;t̪ t͡s;t̪ t͡sʲ;t̪ t͡ʃ;d̪ d̪;d̪ d͡ʒ;n̪ n̪;s s;z z;l l;k k;ɡ ɡ;n̪ n̪} > {p;b;f;m;t̪;t͡s;t͡sʲ;t͡ʃ;d̪;d͡ʒ;n̪;s;z;l;k;ɡ;n̪} 
#ˌart͡sˈɛl# | Rule 545 : t͡sʲ > t͡s / [-nas] __ 
#ˌart͡sˈɛɫ# | Rule 580 : l > ɫ / [+syl,-hi,-lo,-long] __ #
#ˌart͡sˈɛw# | Rule 582 : [+lat,+back] > w 
#ˌart͡sˈɛa̯w# | Rule 585 : ∅ > a̯ / [-hi,-lo,+front,-tense,+stres] __ w
#ˌart͡se̯ˈaw# | Rule 596 : {ˈi e̯;ˌɛ a̯;ˈɛ a̯;ˈy ø̯} > {j ˈe;e̯ ˌa;e̯ ˈa;ɥ ˈø} 
#ˌarse̯ˈaw# | Rule 647 : [+delrel] > [+cont,.delrel] 
#ˌarse̯ˈoː# | Rule 664 : {ˌa w;ˈa w} > {ˌoː;ˈoː} 
#ˌarsə̯ˈoː# | Rule 665 : e̯ > ə̯ / __ [+round,+back,-hi]
#ˌaɹsə̯ˈoː# | Rule 728 : r > ɹ / [-cons] __ [+cons]
#ˌaɹsˈoː# | Rule 735 : ə̯ > ∅ 
#ˌarsˈoː# | Rule 746 : ɹ > r 
#ˌaʀsˈoː# | Rule 748 : r > ʀ 
#aʀsoː# | Rule 749 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#aʀso# | Rule 750 : [+syl,+long] > [-long,-splng] 
#aʁso# | Rule 756 : ʀ > ʁ 
