Trajectory file for run 'run1'; etymon number :99:
#bˈɑlsɑmum# >>> #bom# ( Correct : #bom#) :
b ˈɑ l s ɑ m u m 
#bˈɑlsɑmʊm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#bˈɑlsɑmom# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#bˈɑlsɑmo# | Rule 70 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#bˈɑɫsɑmo# | Rule 140 : l > ɫ / __ [+cons,-lat]
#bˈaɫsamo# | Rule 201 : [+lo,+syl] > [+front,-back] 
#bˈaɫsəmo# | Rule 266 : a > ə / __ [-syl] ( [-syl] )* [+syl] ( [-syl] )* #
#bˈaɫsəmə# | Rule 271 : [-stres,-lo,+syl] > ə / __ #
#bˈaɫsə̯mə̯# | Rule 273 : ə > ə̯ 
#bˈaɫsə̯mə# | Rule 303 : ə̯ > ə / ə̯ ( [-syl] )* __ #
#bˈaɫsmə# | Rule 308 : ə̯ > ∅ 
#bˈaɫmə# | Rule 475 : [+cons] > ∅ / [+cons] __ [+nas,+cons]
#bˈawmə# | Rule 582 : [+lat,+back] > w 
#bˈoːmə# | Rule 664 : {ˌa w;ˈa w} > {ˌoː;ˈoː} 
#bˈoːmə̯# | Rule 706 : ə > ə̯ / __ #
#bˈoːm# | Rule 735 : ə̯ > ∅ 
#boːm# | Rule 749 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#bom# | Rule 750 : [+syl,+long] > [-long,-splng] 
