Trajectory file for run 'run1'; etymon number :295:
#fˈulɡerem# >>> #fud̪ʁ# ( Correct : #fud̪ʁ#) :
f ˈu l ɡ e r e m 
#fˈʊlɡɛrɛm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#fˈolɡɛrɛm# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#fˈolɡɛrɛ# | Rule 70 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#fˈolɡʲɛrɛ# | Rule 76 : [+hi,+back,-cont] > [+front] / __ [+cont,-lo,+front]
#fˈolɟɛrɛ# | Rule 77 : [+back,+front] > [-back] 
#fˈoɫɟɛrɛ# | Rule 140 : l > ɫ / __ [+cons,-lat]
#fˈolʲɟɛrɛ# | Rule 141 : {ŋ;ɫ;s} > {ɲ;lʲ;sʲ} / __ [-cont,+hi,+front] [-stres,+syl,+front] [+cor,+cons,-lat] ( [-syl] )* [+syl] ( [-syl] )* #
#fˈolʲɟrɛ# | Rule 142 : ɛ > ∅ / __ [+cor,+son,-nas] ( [-syl] )* [+syl] ( [-syl] )* #
#fˈolʲd̪rɛ# | Rule 150 : [-cont,+hi,+front] > [-hi,-front,+cor,+ant,+distr] / __ [+cons,-front]
#fˈolʲd̪ʲrɛ# | Rule 219 : [+cor,+ant,-lat] > [+hi,+front] / [+hi,+front,+cons] __ 
#fˈolʲd̪ʲrə# | Rule 271 : [-stres,-lo,+syl] > ə / __ #
#fˈolʲd̪ʲrə̯# | Rule 273 : ə > ə̯ 
#fˈolʲd̪ʲɾə# | Rule 296 : {n̪ ə̯;ə̯ n̪;r ə̯;ə̯ r} > {ɾ ə;ɾ ə;ɾ ə;ɾ ə} / [+cons] [-cont] __ #
#fˈolʲd̪ʲrə# | Rule 302 : ɾ > r 
#fˈolʲd̪ʲrʲə# | Rule 330 : [+cor,+ant,-lat] > [+hi,+front] / [+hi,+front,+cons] __ 
#fˈolʲd̪ʲrə# | Rule 392 : rʲ > r 
#fˈolʲd̪rə# | Rule 393 : {t̪ʲ;d̪ʲ;sʲ;zʲ;n̪ʲ;d͡zʲ} > {t̪;d̪;s;z;n̪;d͡z} / [+hi,+front,-syl] __ 
#fˈo?d̪rə# | Rule 502 : [+lat] > [+back] / __ [+cons]
#fˈu?d̪rə# | Rule 564 : [+round,+tense,+back] > [+hi] 
#fˈuwd̪rə# | Rule 582 : [+lat,+back] > w 
#fˈud̪rə# | Rule 583 : w > ∅ / [+syl,+hi,+round] __ 
#fˈud̪rə̯# | Rule 706 : ə > ə̯ / __ #
#fˈud̪r# | Rule 735 : ə̯ > ∅ 
#fˈud̪ʀ# | Rule 748 : r > ʀ 
#fud̪ʀ# | Rule 749 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#fud̪ʁ# | Rule 756 : ʀ > ʁ 
