Trajectory file for run 'run0'; etymon number :378:
#iˌuwen̪kˈellɑm# >>> #ʒəwŋsoːw# ( Correct : #ʒuvɑ̃sɛl#) :
i ˌu w e n̪ k ˈe l l ɑ m 
#iˌuweŋkˈellɑm# | Rule 0 : n̪ > ŋ / __ [+hi,+back,-cont]
#iˌuweŋkˈeɫɫɑm# | Rule 4 : l > ɫ / @ __ 
#iˌuɣʷeŋkˈeɫɫɑm# | Rule 7 : {j;w} > {ʝ;ɣʷ} / __ [+syl]
#ɪˌʊɣʷɛŋkˈɛɫɫɑm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#jˌʊɣʷɛŋkˈɛɫɫɑm# | Rule 24 : [+syl,-long,-stres,-lo] > [+hi,-syl,+tense,.stres,.prim,-cons,-lat,+cont,.delrel] / __ [+syl]
#ʝˌʊɣʷɛŋkˈɛɫɫɑm# | Rule 27 : j > ʝ / __ [+syl]
#ʝˌʊβɛŋkˈɛɫɫɑm# | Rule 40 : ɣʷ > β 
#ʝˌoβɛŋkˈɛɫɫɑm# | Rule 54 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#ʝˌoβɛŋkˈɛɫɫɑ# | Rule 59 : m > ∅ / [+syl] ( [-syl] )* [+syl] __ #
#ʝˌɔβɛŋkˈɛɫɫɑ# | Rule 60 : [+round,-hi,+syl] > [-tense,-cons,-lat,+cont,.delrel] / __ [+lab,-son]
#ʝˌɔβɛŋkʲˈɛɫɫɑ# | Rule 64 : [+hi,+back,-cont] > [+front] / __ [+cont,-lo,+front]
#ʝˌɔβɛŋcˈɛɫɫɑ# | Rule 65 : [+back,+front] > [-back] 
#ʝˌɔβɛŋt͡sʲˈɛɫɫɑ# | Rule 139 : {c;ɟ} > {t͡sʲ;d͡ʒ} 
#ʝˌɔβɛŋt͡sʲˈɛɫɫa# | Rule 146 : [+lo,+syl] > [+front,-back] 
#ɟˌɔβɛŋt͡sʲˈɛɫɫa# | Rule 206 : [+hi,-syl,+cont] > [-cont,-son,-delrel,+cons,.tense] / # __ [+syl]
#d͡ʒˌɔβɛŋt͡sʲˈɛɫɫa# | Rule 209 : [+hi,+front,-cont,-ant] > [+delrel,+cor,-hi,+strid,+distr,-son] 
#d͡ʒˌɔβəŋt͡sʲˈɛɫɫa# | Rule 213 : [-stres,-lo,+syl] > ə 
#d͡ʒˌɔβə̯ŋt͡sʲˈɛɫɫa# | Rule 214 : ə > ə̯ 
#d͡ʒˌɔβəŋt͡sʲˈɛɫɫa# | Rule 218 : ə̯ > ə / __ [-syl] [+front,-cont]
#d͡ʒˌoβəŋt͡sʲˈɛɫɫa# | Rule 293 : {ˌɛ;ˌɔ;ˌɨ;ˌɯ} > {ˌe;ˌo;ˌɛ;ˌɔ} 
#d͡ʒˌowəŋt͡sʲˈɛɫɫa# | Rule 294 : {β;ɣʷ} > {w;w} / __ ( ə ) [+cons]
#d͡ʒˌowŋt͡sʲˈɛɫɫa# | Rule 300 : ə > ∅ 
#d͡ʒˌowŋt͡sʲˈɛɫɫə# | Rule 304 : a > ə / [+syl] ( [-syl] )* __ 
#d͡ʒˌowŋt͡sˈɛɫɫə# | Rule 358 : t͡sʲ > t͡s 
#d͡ʒˌewŋt͡sˈɛɫɫə# | Rule 376 : [+round,+back,+tense,-hi,+stres] > [-back,+front,-round,-lab] / __ w
#d͡ʒˌewŋt͡sˈɛwwə# | Rule 403 : [+lat,+back] > w 
#d͡ʒˌewŋt͡sˈɛa̯wwə# | Rule 405 : ∅ > a̯ / [-hi,-lo,+stres,-tense,+front] __ w
#d͡ʒˌəwŋt͡sˈɛa̯wwə# | Rule 414 : ˌe > ˌə / __ ( [+cons] ) [-cons]
#d͡ʒˌəwŋt͡se̯ˈawwə# | Rule 415 : {ˈi e̯;ˌɛ a̯;ˈɛ a̯;ˈy ø̯} > {j ˈe;e̯ ˌa;e̯ ˈa;ɥ ˈø} 
#ʒˌəwŋse̯ˈawwə# | Rule 450 : [+delrel] > [+cont,.delrel] 
#ʒˌəwŋse̯ˈoːwə# | Rule 464 : {ˌa w;ˈa w} > {ˌoː;ˈoː} 
#ʒˌəwŋsə̯ˈoːwə# | Rule 465 : e̯ > ə̯ / __ [+round,+back,-hi]
#ʒˌəwŋsə̯ˈoːwə̯# | Rule 510 : ə > ə̯ / __ #
#ʒˌəwŋsˈoːw# | Rule 541 : ə̯ > ∅ 
#ʒəwŋsoːw# | Rule 552 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
