Trajectory file for run 'run0'; etymon number :485:
#kˌompˈɑːn̪iˈoːn̪em# >>> #kœ̃ːpjɛɲœ̃ː# ( Correct : #kɔ̃paɲɔ̃#) :
k ˌo m p ˈɑː n̪ i ˈoː n̪ e m 
#kˌɔmpˈɑːn̪ɪˈoːn̪ɛm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#kˌɔmpˈɑːn̪jˈoːn̪ɛm# | Rule 24 : [+syl,-long,-stres,-lo] > [+hi,-syl,+tense,.stres,.prim,-cons,-lat,+cont,.delrel] / __ [+syl]
#kˌɔmpˈɑːn̪ʝˈoːn̪ɛm# | Rule 27 : j > ʝ / __ [+syl]
#kˌɔmpˈɑːn̪ʝˈon̪ɛm# | Rule 44 : [+syl,-lo,+long] > [-long,+tense,-splng,-cons,-lat,+cont,.delrel] 
#kˌɔmpˈɑn̪ʝˈon̪ɛm# | Rule 45 : [+syl,+long] > [-long,-splng] 
#kˌɔmpˈɑn̪ʝˈon̪ɛ# | Rule 59 : m > ∅ / [+syl] ( [-syl] )* [+syl] __ #
#kˌɔmpˈɑɲˈon̪ɛ# | Rule 68 : [+nas,+cor] [+hi,+front,-syl,+voi,+cont] > ɲ
#kˌɔmpˈɑːɲˈoːn̪ɛ# | Rule 78 : [+prim] > [+long] / __ [+cons] [-cons]
#kˌɔmpˈɑːɲˈũːn̪ɛ# | Rule 126 : [+round,+tense,-hi,+stres] > [+hi,+nas,+son,.delrel] / __ [+nas,+cons]
#kˌũmpˈɑːɲˈũːn̪ɛ# | Rule 127 : {ˌɔ;ˈɔ} > {ˌũ;ˈũ} / __ [+nas,+cons]
#kˌũmpˈaːɲˈũːn̪ɛ# | Rule 146 : [+lo,+syl] > [+front,-back] 
#kˌũmpˈɛːɲˈũːn̪ɛ# | Rule 196 : ˈaː > ˈɛː 
#kˌũmpˈie̯ɲˈũːn̪ɛ# | Rule 197 : {ˈɛː;ˈɔː} > {ˈi e̯;ˈu o̯} 
#kˌʉ̃mpˈie̯ɲˈʉ̃ːn̪ɛ# | Rule 198 : [+hi,+tense,+round,+syl] > [-front,-back] 
#kˌʉ̃mpˈie̯ɲˈʉ̃ːn̪ə# | Rule 213 : [-stres,-lo,+syl] > ə 
#kˌʉ̃mpˈie̯ɲˈʉ̃ːn̪ə̯# | Rule 214 : ə > ə̯ 
#kˌʉ̃mpˈie̯ɲˈʉ̃ːn̪# | Rule 226 : ə̯ > ∅ 
#kˌʉ̃mpˈie̯ɲˈʉ̃n̪# | Rule 239 : [+syl] > [-long,-splng] / __ [+cons] #
#kˌʉ̃mpˈiːe̯ɲˈʉ̃n̪# | Rule 244 : [+prim] > [+long] / __ [-cons]
#kˌʉ̃mpˈie̯ɲˈʉ̃n̪# | Rule 248 : [+syl] > [-long,-splng] / __ e̯
#kˌʉ̃mpˈiːe̯ɲˈʉ̃n̪# | Rule 278 : [+prim] > [+long] / __ [-cons]
#kˌʉ̃mpˈie̯ɲˈʉ̃n̪# | Rule 282 : [+syl] > [-long,-splng] / __ e̯
#kˌỹmpˈie̯ɲˈỹn̪# | Rule 363 : [+hi,+round,-back] > [+front] 
#kˌỹmpjˈeɲˈỹn̪# | Rule 415 : {ˈi e̯;ˌɛ a̯;ˈɛ a̯;ˈy ø̯} > {j ˈe;e̯ ˌa;e̯ ˈa;ɥ ˈø} 
#kˌỹmpjˈɛɲˈỹn̪# | Rule 417 : ˈe > ˈɛ / __ @
#kˌỹmpjˈɛ̃ɲˈỹn̪# | Rule 426 : [+syl,-hi] > [+nas,+son,.delrel] / __ [+nas]
#kˌỹːpjˈɛ̃ɲˈỹn̪# | Rule 466 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ [+cons]
#kˌỹːpjˈɛ̃ɲˈỹː# | Rule 467 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ #
#kˌỹːpjˈɛɲˈỹː# | Rule 505 : [+front,-lo,-round,+nas,+syl] > [-nas] / j __ [+nas,+cons] [-cons]
#kˌœ̃ːpjˈɛɲˈœ̃ː# | Rule 532 : [+front,+round,+nas,+syl] > [-tense,-hi,-cons,-lat,+cont,.delrel] 
#kœ̃ːpjɛɲœ̃ː# | Rule 552 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
