Trajectory file for run 'run0'; etymon number :1154:
#sˌuperkˈilium# >>> #suve̯ʀsɛj# ( Correct : #suʁsi#) :
s ˌu p e r k ˈi l i u m 
#sˌuperkˈilʲium# | Rule 3 : l > lʲ / __ [+hi,+front]
#sˌʊpɛrkˈɪlʲɪʊm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#sˌʊpɛrkˈɪlʲjʊm# | Rule 24 : [+syl,-long,-stres,-lo] > [+hi,-syl,+tense,.stres,.prim,-cons,-lat,+cont,.delrel] / __ [+syl]
#sˌʊpɛrkˈɪlʲʝʊm# | Rule 27 : j > ʝ / __ [+syl]
#sˌopɛrkˈelʲʝom# | Rule 54 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#sˌopɛrkˈelʲʝo# | Rule 59 : m > ∅ / [+syl] ( [-syl] )* [+syl] __ #
#sˌɔpɛrkˈelʲʝo# | Rule 60 : [+round,-hi,+syl] > [-tense,-cons,-lat,+cont,.delrel] / __ [+lab,-son]
#sˌɔpɛrkʲˈelʲʝo# | Rule 64 : [+hi,+back,-cont] > [+front] / __ [+cont,-lo,+front]
#sˌɔpɛrcˈelʲʝo# | Rule 65 : [+back,+front] > [-back] 
#sˌɔpɛrcˈeʎʝo# | Rule 131 : [+lat] > ʎ / __ [+cons,+hi,+front]
#sˌɔpɛrcˈeʎo# | Rule 132 : [-lat,-nas,-syl,+hi,+front] > ∅ / [+hi,+front,+son,+cons] __ 
#sˌɔpɛrt͡sʲˈeʎo# | Rule 139 : {c;ɟ} > {t͡sʲ;d͡ʒ} 
#sˌɔpɛrt͡sʲˈeːʎo# | Rule 169 : [+prim] > [+long] / __ [+cons] [+syl]
#sˌɔpie̯rt͡sʲˈeːʎo# | Rule 180 : {ɛ;ˌɛ;ˈɛ;ˈɛː;ɔ;ˌɔ;ˈɔ;ˈɔː} > {i e̯;ˌi e̯;ˈi e̯;ˈi e̯;u o̯;ˌu o̯;ˈu o̯;ˈu o̯} / __ [+cons,+cor] [+cons,+hi,+front]
#sˌɔpəe̯rt͡sʲˈeːʎə# | Rule 213 : [-stres,-lo,+syl] > ə 
#sˌɔpə̯e̯rt͡sʲˈeːʎə̯# | Rule 214 : ə > ə̯ 
#sˌɔpəe̯rt͡sʲˈeːʎə̯# | Rule 219 : ə̯ > ə / __ [-syl] [-syl] [-syl]
#sˌɔpəe̯rt͡sʲˈeːʎ# | Rule 226 : ə̯ > ∅ 
#sˌɔpəe̯rt͡sʲˈeʎ# | Rule 239 : [+syl] > [-long,-splng] / __ [+cons] #
#sˌɔbəe̯rt͡sʲˈeʎ# | Rule 260 : [-voi] > [+voi] / [+syl] __ [+syl]
#sˌɔβəe̯rt͡sʲˈeʎ# | Rule 264 : [-delrel,+voi] > [+cont,.delrel] / [-cons] __ [-cons]
#sˌoβəe̯rt͡sʲˈeʎ# | Rule 293 : {ˌɛ;ˌɔ;ˌɨ;ˌɯ} > {ˌe;ˌo;ˌɛ;ˌɔ} 
#sˌovəe̯rt͡sʲˈeʎ# | Rule 295 : β > v 
#sˌove̯rt͡sʲˈeʎ# | Rule 300 : ə > ∅ 
#sˌove̯rt͡sˈeʎ# | Rule 358 : t͡sʲ > t͡s 
#sˌuve̯rt͡sˈeʎ# | Rule 385 : [+round,+tense,+back] > [+hi] 
#sˌuve̯rt͡sˈɛʎ# | Rule 417 : ˈe > ˈɛ / __ @
#sˌuve̯rsˈɛʎ# | Rule 450 : [+delrel] > [+cont,.delrel] 
#sˌuve̯ɹsˈɛʎ# | Rule 536 : r > ɹ / [-cons] __ [+cons]
#sˌuve̯rsˈɛʎ# | Rule 549 : ɹ > r 
#sˌuve̯ʀsˈɛʎ# | Rule 551 : r > ʀ 
#suve̯ʀsɛʎ# | Rule 552 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#suve̯ʀsɛj# | Rule 557 : ʎ > j 
