Trajectory file for run 'run0'; etymon number :1133:
#st̪rˌɑn̪ɡulˈɑːre# >>> #?ʀɑ̃ːɡjaʀ# ( Correct : #et̪ʁɑ̃ɡle#) :
s t̪ r ˌɑ n̪ ɡ u l ˈɑː r e 
#st̪rˌɑŋɡulˈɑːre# | Rule 0 : n̪ > ŋ / __ [+hi,+back,-cont]
#st̪rˌɑŋɡuɫˈɑːre# | Rule 4 : l > ɫ / @ __ 
#st̪rˌɑŋɡʊɫˈɑːrɛ# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#ˌɪst̪rˌɑŋɡʊɫˈɑːrɛ# | Rule 17 : ∅ > ˌɪ / # __ s [+cons]
#ˌɪst̪rˌɑŋɡʊɫˈɑrɛ# | Rule 45 : [+syl,+long] > [-long,-splng] 
#ˌest̪rˌɑŋɡoɫˈɑrɛ# | Rule 54 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#ˌest̪rˌɑŋɡoɫˈɑːrɛ# | Rule 78 : [+prim] > [+long] / __ [+cons] [-cons]
#ˌest̪rˌaŋɡoɫˈaːrɛ# | Rule 146 : [+lo,+syl] > [+front,-back] 
#ˌest̪rˌaŋɡoɫˈɛːrɛ# | Rule 196 : ˈaː > ˈɛː 
#ˌest̪rˌaŋɡoɫˈie̯rɛ# | Rule 197 : {ˈɛː;ˈɔː} > {ˈi e̯;ˈu o̯} 
#ˌest̪rˌaŋɡəɫˈie̯rə# | Rule 213 : [-stres,-lo,+syl] > ə 
#ˌest̪rˌaŋɡə̯ɫˈie̯rə̯# | Rule 214 : ə > ə̯ 
#ˌest̪rˌaŋɡɫˈie̯r# | Rule 226 : ə̯ > ∅ 
#ˌest̪rˌaŋɡɫˈiːe̯r# | Rule 244 : [+prim] > [+long] / __ [-cons]
#ˌest̪rˌaŋɡɫˈie̯r# | Rule 248 : [+syl] > [-long,-splng] / __ e̯
#ˌest̪rˌaŋɡɫˈiːe̯r# | Rule 278 : [+prim] > [+long] / __ [-cons]
#ˌest̪rˌaŋɡɫˈie̯r# | Rule 282 : [+syl] > [-long,-splng] / __ e̯
#ˌesðrˌaŋɡɫˈie̯r# | Rule 337 : [-cont,-delrel,+cor] > ð / __ [+son,+cor]
#ˌesðrˌãŋɡɫˈie̯r# | Rule 365 : [+lo,+syl] > [+nas,+son,.delrel] / __ [+nas,-syl]
#ˌəsðrˌãŋɡɫˈie̯r# | Rule 370 : ˌe > ˌə / __ ( [+cons] ) [-syl]
#ˌəsðrˌãŋɡwˈie̯r# | Rule 403 : [+lat,+back] > w 
#ˌəsrˌãŋɡwˈie̯r# | Rule 409 : {θ;ð} > {∅;∅} 
#ˌəsrˌãŋɡwjˈer# | Rule 415 : {ˈi e̯;ˌɛ a̯;ˈɛ a̯;ˈy ø̯} > {j ˈe;e̯ ˌa;e̯ ˈa;ɥ ˈø} 
#ˌəsrˌãŋɡwjˈɛr# | Rule 417 : ˈe > ˈɛ / __ @
#ˌəsrˌãŋɡjˈɛr# | Rule 423 : [-syl,+round,+cont] > ∅ / [+back,-cont] __ 
#?rˌãŋɡjˈɛr# | Rule 446 : [+syl] s > [+long] ∅/ __ [+cons]
#?rˌãŋɡjˈar# | Rule 463 : {ɛ;ˌɛ;ˈɛ} > {a;ˌa;ˈa} / __ r
#?rˌãːɡjˈar# | Rule 466 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ [+cons]
#?rˌɑ̃ːɡjˈar# | Rule 524 : [+lo,+long,+syl] > [+back,-front] 
#?rˌɑ̃ːɡjˈaɹ# | Rule 535 : r > ɹ / [-cons] __ #
#?rˌɑ̃ːɡjˈar# | Rule 549 : ɹ > r 
#?ʀˌɑ̃ːɡjˈaʀ# | Rule 551 : r > ʀ 
#?ʀɑ̃ːɡjaʀ# | Rule 552 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
