Trajectory file for run 'run0'; etymon number :386:
#kˌae̯refˈolium# >>> #saʀvye̯j# ( Correct : #sɛʁfœj#) :
k ˌa e̯ r e f ˈo l i u m 
#kˌae̯refˈolʲium# | Rule 3 : l > lʲ / __ [+hi,+front]
#kˌɑe̯refˈolʲium# | Rule 5 : [+lo,+syl] > [-front,+back] 
#kˌae̯refˈolʲium# | Rule 6 : [+lo,+syl] > [+front,-back] / __ e̯
#kˌae̯rɛfˈɔlʲɪʊm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#kˌae̯rɛfˈɔlʲjʊm# | Rule 24 : [+syl,-long,-stres,-lo] > [+hi,-syl,+tense,.stres,.prim,-cons,-lat,+cont,.delrel] / __ [+syl]
#kˌae̯rɛfˈɔlʲʝʊm# | Rule 27 : j > ʝ / __ [+syl]
#kˌɛːrɛfˈɔlʲʝʊm# | Rule 46 : {a e̯;ˌa e̯;ˈa e̯} > {ɛː;ˌɛː;ˈɛː} 
#kˌɛːrɛfˈɔlʲʝom# | Rule 54 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#kˌɛːrɛfˈɔlʲʝo# | Rule 59 : m > ∅ / [+syl] ( [-syl] )* [+syl] __ #
#kʲˌɛːrɛfˈɔlʲʝo# | Rule 64 : [+hi,+back,-cont] > [+front] / __ [+cont,-lo,+front]
#cˌɛːrɛfˈɔlʲʝo# | Rule 65 : [+back,+front] > [-back] 
#cˌɛːrɛvˈɔlʲʝo# | Rule 102 : [+cont,-son] > [+voi] / [-cons] __ [-cons]
#cˌɛːrɛvˈɔʎʝo# | Rule 131 : [+lat] > ʎ / __ [+cons,+hi,+front]
#cˌɛːrɛvˈɔʎo# | Rule 132 : [-lat,-nas,-syl,+hi,+front] > ∅ / [+hi,+front,+son,+cons] __ 
#t͡sʲˌɛːrɛvˈɔʎo# | Rule 139 : {c;ɟ} > {t͡sʲ;d͡ʒ} 
#t͡sʲˌɛrɛvˈɔʎo# | Rule 166 : [-prim] > [-long,-splng] 
#t͡sʲˌɛrɛvˈɔːʎo# | Rule 169 : [+prim] > [+long] / __ [+cons] [+syl]
#t͡sʲˌɛrɛvˈuo̯ʎo# | Rule 178 : {ˈɛː;ˈɔː} > {ˈi e̯;ˈu o̯} 
#t͡sʲˌɛrɛvˈʉo̯ʎo# | Rule 198 : [+hi,+tense,+round,+syl] > [-front,-back] 
#t͡sʲˌɛrəvˈʉo̯ʎə# | Rule 213 : [-stres,-lo,+syl] > ə 
#t͡sʲˌɛrə̯vˈʉo̯ʎə̯# | Rule 214 : ə > ə̯ 
#t͡sʲˌɛrvˈʉo̯ʎ# | Rule 226 : ə̯ > ∅ 
#t͡sʲˌɛrvˈʉːo̯ʎ# | Rule 244 : [+prim] > [+long] / __ [-cons]
#t͡sʲˌɛrvˈʉo̯ʎ# | Rule 250 : [+syl] > [-long,-splng] / __ o̯
#t͡sʲˌɛrvˈʉːo̯ʎ# | Rule 278 : [+prim] > [+long] / __ [-cons]
#t͡sʲˌɛrvˈʉo̯ʎ# | Rule 284 : [+syl] > [-long,-splng] / __ o̯
#t͡sʲˌɨrvˈʉo̯ʎ# | Rule 292 : {ˌɛ r;ˌɛ ɫ;ˌɔ ɫ} > {ˌɨ r;ˌɨ ɫ;ˌɯ ɫ} / __ [+cons]
#t͡sʲˌɛrvˈʉo̯ʎ# | Rule 293 : {ˌɛ;ˌɔ;ˌɨ;ˌɯ} > {ˌe;ˌo;ˌɛ;ˌɔ} 
#t͡sˌɛrvˈʉo̯ʎ# | Rule 358 : t͡sʲ > t͡s 
#t͡sˌɛrvˈyo̯ʎ# | Rule 363 : [+hi,+round,-back] > [+front] 
#t͡sˌɛrvˈye̯ʎ# | Rule 371 : o̯ > e̯ 
#sˌɛrvˈye̯ʎ# | Rule 450 : [+delrel] > [+cont,.delrel] 
#sˌarvˈye̯ʎ# | Rule 463 : {ɛ;ˌɛ;ˈɛ} > {a;ˌa;ˈa} / __ r
#sˌaɹvˈye̯ʎ# | Rule 536 : r > ɹ / [-cons] __ [+cons]
#sˌarvˈye̯ʎ# | Rule 549 : ɹ > r 
#sˌaʀvˈye̯ʎ# | Rule 551 : r > ʀ 
#saʀvye̯ʎ# | Rule 552 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#saʀvye̯j# | Rule 557 : ʎ > j 
