Trajectory file for run 'run0'; etymon number :1308:
#wˌest̪iːmˈen̪t̪um# >>> #v?mɑ̃ː# ( Correct : #vɛt̪mɑ̃#) :
w ˌe s t̪ iː m ˈe n̪ t̪ u m 
#ɣʷˌest̪iːmˈen̪t̪um# | Rule 7 : {j;w} > {ʝ;ɣʷ} / __ [+syl]
#ɣʷˌɛst̪iːmˈɛn̪t̪ʊm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#ɣʷˌɛst̪iːmˈɛ?t̪ʊm# | Rule 36 : [+ant,+cons] > [-voi] / __ t̪
#βˌɛst̪iːmˈɛ?t̪ʊm# | Rule 40 : ɣʷ > β 
#βˌɛst̪imˈɛ?t̪ʊm# | Rule 44 : [+syl,-lo,+long] > [-long,+tense,-splng,-cons,-lat,+cont,.delrel] 
#βˌɛst̪imˈɛ?t̪om# | Rule 54 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#βˌɛst̪imˈɛ?t̪o# | Rule 59 : m > ∅ / [+syl] ( [-syl] )* [+syl] __ #
#βˌɛst̪əmˈɛ?t̪ə# | Rule 213 : [-stres,-lo,+syl] > ə 
#βˌɛst̪ə̯mˈɛ?t̪ə̯# | Rule 214 : ə > ə̯ 
#βˌɛst̪mˈɛ?t̪# | Rule 226 : ə̯ > ∅ 
#βˌɛsd̪mˈɛ?t̪# | Rule 262 : t̪ > d̪ / __ [+nas,+cons]
#βˌesd̪mˈɛ?t̪# | Rule 293 : {ˌɛ;ˌɔ;ˌɨ;ˌɯ} > {ˌe;ˌo;ˌɛ;ˌɔ} 
#vˌesd̪mˈɛ?t̪# | Rule 295 : β > v 
#vˌesmˈɛ?t̪# | Rule 333 : [+cons] > ∅ / [+cons] __ [+nas,+cons]
#vˌezmˈɛ?t̪# | Rule 336 : s > z / __ [+voi,+cons]
#vˌezmˈɛ̃?t̪# | Rule 367 : [+front,-hi,+syl] > [+nas,+son,.delrel] / __ [+nas,-syl]
#vˌeːzmˈɛ̃?t̪# | Rule 368 : [+syl] > [+long] / __ z [+cons]
#vˌeːmˈɛ̃?t̪# | Rule 369 : z > ∅ / __ [+cons]
#vˌeːmˈã?t̪# | Rule 398 : [+nas,-hi,+syl] > [+lo,+tense,-cons,-lat,+cont,.delrel] 
#vˌẽːmˈã?t̪# | Rule 426 : [+syl,-hi] > [+nas,+son,.delrel] / __ [+nas]
#v?mˈã?t̪# | Rule 458 : [-back,-round,-hi,-lo] > [+front,+round,+tense,-cons,-lat,+cont,.delrel] / [+lab,+cons] __ [+lab,+cons]
#v?mˈãːt̪# | Rule 466 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ [+cons]
#v?mˈãːt̪# | Rule 483 : [+front,-lo,+nas,+syl] > [-nas] / [+cons] __ [+nas,+cons] [-cons]
#v?mˈãːt̪# | Rule 489 : [+front,+round,+tense,-prim] > [+hi] / __ [+lab,+cons]
#v?mˈɑ̃ːt̪# | Rule 524 : [+lo,+long,+syl] > [+back,-front] 
#v?mˈɑ̃ː# | Rule 540 : [-son] > ∅ / __ #
#v?mɑ̃ː# | Rule 552 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
