etID  | Input | Late Latin | Early Gallo-Roman | Middle Gallo-Roman | Later Gallo-Roman | Old French I | Old French II | Middle French | Output {GOLD}
10     | #d̪ˌeːbˌuˈist̪is# | *#d̪ˌeβˌoˈest̪es# | *#d̪ˌeβˌoˈest̪es# | *#d̪ˌeβˌoˈest̪es# | *#d̪ˌevˌoˈest͡s# | *#d̪ˌəvˌoˈet͡s# | *#d̪ˌəvˌuˈes# | *#d̪ˌəvˌuˈes# | *#d̪əvwe# {GOLD: #d̪yt̪#}
11     | #d̪ˌeːbˌuˈissem# | *#d̪ˌeβˌoˈessɛ# | *#d̪ˌeβˌoˈessɛ# | *#d̪ˌeβˌoˈessɛ# | *#d̪ˌevˌoˈess# | *#d̪ˌəvˌoˈes# | *#d̪ˌəvˌuˈɛːs# | *#d̪ˌəvˌuˈɛːs# | *#d̪əvwa# {GOLD: #d̪ys#}
12     | #d̪ˌeːbˌuˈisseːs# | *#d̪ˌeβˌoˈesses# | *#d̪ˌeβˌoˈesses# | *#d̪ˌeβˌoˈesses# | *#d̪ˌevˌoˈess# | *#d̪ˌəvˌoˈes# | *#d̪ˌəvˌuˈɛːs# | *#d̪ˌəvˌuˈɛːs# | *#d̪əvwa# {GOLD: #d̪ys#}
13     | #d̪ˌeːbˌuˈissen̪t̪# | *#d̪ˌeβˌoˈessɛn̪t̪# | *#d̪ˌeβˌoˈessɛn̪t̪# | *#d̪ˌeβˌoˈessə̃t̪# | *#d̪ˌevˌoˈessə̃θ# | *#d̪ˌəvˌoˈesə̃θ# | *#d̪ˌəvˌuˈɛːsə# | *#d̪ˌəvˌuˈɛːsə# | *#d̪əvwas# {GOLD: #d̪ys#}
14     | #d̪ˌeːbˌuˈisset̪# | *#d̪ˌeβˌoˈessɛt̪# | *#d̪ˌeβˌoˈessɛt̪# | *#d̪ˌeβˌoˈessɛt̪# | *#d̪ˌevˌoˈest̪# | *#d̪ˌəvˌoˈest̪# | *#d̪ˌəvˌuˈeːt̪# | *#d̪ˌəvˌuˈeːt̪# | *#d̪əvwe# {GOLD: #d̪ys#}
15     | #t̪rˈɑhun̪t̪# | *#t̪rˈɑon̪t̪# | *#t̪rˈɑːon̪t̪# | *#t̪rˈaːə̃t̪# | *#t̪rˈae̯ə̃θ# | *#t̪rˈeːə̃θ# | *#t̪rˈeə# | *#t̪rˈeː# | *#t̪ʁe# {GOLD: #t̪ʁɛ#}
16     | #skrˈiːbun̪t̪# | *#ˌeskrˈiβon̪t̪# | *#ˌeskrˈiːβon̪t̪# | *#ˌeskrˈiːβə̃t̪# | *#ˌeskrˈiːvə̃θ# | *#ˌeskrˈivə̃θ# | *#ˌekrˈivə# | *#ˌekrˈivə# | *#ekʁiv# {GOLD: #ekʁiv#}
17     | #sˈed̪en̪t̪# | *#sˈɛd̪ɛn̪t̪# | *#sˈɛːðɛn̪t̪# | *#sˈie̯ðə̃t̪# | *#sˈie̯ðə̃θ# | *#sˈie̯ðə̃θ# | *#sjˈeə# | *#sjˈeː# | *#sje# {GOLD: #sɔ̃#}
18     | #prˌɑjd̪ikˈeːmus# | *#prˌɑjd̪ecˈemos# | *#prˌɑjd̪ecˈeːmos# | *#prˌajd̪et͡sʲˈiːmos# | *#prˌajðʲt͡sʲˈims# | *#prˌajt͡sʲˈims# | *#prˌɛsʲˈĩn̪s# | *#prˌɛsˈẽːs# | *#pʁɛsɛ̃# {GOLD: #pʁɛʃjɔ̃#}
19     | #prˈɑjd̪ikem# | *#prˈɑjd̪ecɛ# | *#prˈɑjd̪ecɛ# | *#prˈajd̪et͡sʲɛ# | *#prˈajðʲt͡sʲə# | *#prˈajt͡sʲə# | *#prˈɛsʲə# | *#prˈɛsə# | *#pʁɛs# {GOLD: #pʁɛʃ#}
20     | #prˌɑjd̪ikˈeːt̪is# | *#prˌɑjd̪ecˈet̪es# | *#prˌɑjd̪ecˈeːt̪es# | *#prˌajd̪et͡sʲˈiːt̪es# | *#prˌajðʲt͡sʲˈiːt͡s# | *#prˌajt͡sʲˈit͡s# | *#prˌɛsʲˈis# | *#prˌɛsˈis# | *#pʁɛsi# {GOLD: #pɾɛʃje#}
21     | #prˈɑjd̪ikeːs# | *#prˈɑjd̪eces# | *#prˈɑjd̪eces# | *#prˈajd̪et͡sʲes# | *#prˈajðʲt͡sʲ# | *#prˈajt͡sʲ# | *#prˈɛsʲ# | *#prˈɛs# | *#pʁɛ# {GOLD: #pʁɛʃ#}
22     | #prˈɑjd̪iken̪t̪# | *#prˈɑjd̪ecɛn̪t̪# | *#prˈɑjd̪ecɛn̪t̪# | *#prˈajd̪et͡sʲə̃t̪# | *#prˈajðʲt͡sʲə̃θ# | *#prˈajt͡sʲə̃θ# | *#prˈɛsʲə# | *#prˈɛsə# | *#pʁɛs# {GOLD: #pʁɛʃ#}
23     | #prˈɑjd̪iket̪# | *#prˈɑjd̪ecɛt̪# | *#prˈɑjd̪ecɛt̪# | *#prˈajd̪et͡sʲɛt̪# | *#prˈajðʲt͡sʲt̪# | *#prˈajt̪# | *#prˈɛt̪# | *#prˈɛt̪# | *#pʁɛ# {GOLD: #pʁɛʃ#}
24     | #wˌiːd̪ˈist̪iː# | *#βʷˌid̪ˈest̪i# | *#βʷˌiðˈest̪i# | *#βˌiðˈist̪i# | *#vˌiðʲˈist̪# | *#vˌiðʲˈist̪# | *#vˌiˈiːt̪# | *#vˈiːt̪# | *#vi# {GOLD: #vi#}
