etID  | Late Latin | Old French I | Old French II | Middle French  | Output [REFERENCE]
14     | #ˌɑŋn̪ˈɛllos# | #ˌãɲˈɛɫs# | #ˌãɲe̯ˈaws# | #ˌãɲə̯ˈoːs# | #aɲo# {GOLD: #aɲo#}
15     | #ˌɑŋn̪ˈɛllo# | #ˌãɲˈɛl# | #ˌãɲe̯ˈaw# | #ˌãɲə̯ˈoː# | #aɲo# {GOLD: #aɲo#}
16     | #ˈɑɣro# | #ˈajrə# | #ˈɛrə# | #ˈɛrə# | #ɛʁ# {GOLD: #ɛʁ#}
17     | #ˈɑlɑ# | #ˈeːlə# | #ˈelə# | #ˈelə# | #ɛl# {GOLD: #ɛl#}
18     | #ˌɑlˈɑwd̪ɑ# | #ˌalˈɔwðə# | #ˌalˈuə# | #ˌalˈuː# | #alu# {GOLD: #alu#}
19     | #ˌɑlˈɑwsɑ# | #ˌalˈɔzə# | #ˌalˈɔzə# | #ˌalˈoːzə# | #aloz# {GOLD: #aloz#}
20     | #ˈɑɫbɑ# | #ˈaɫbə# | #ˈawbə# | #ˈoːbə# | #ob# {GOLD: #ob#}
21     | #ˌɑɫbin̪ʝˈɑko# | #ˌaɫbiɲˈi# | #ˌawbĩɲˈi# | #ˌoːbiɲˈi# | #obiɲi# {GOLD: #obiɲi#}
22     | #ˈɑled̪sˌik# | #ˈaɫt͡sˌi# | #ˈawsˌi# | #ˈoːsˌi# | #osi# {GOLD: #osi#}
23     | #ˌɑlˈisʝɑ# | #ˌalˈizə# | #ˌalˈizə# | #ˌalˈizə# | #aliz# {GOLD: #aliz#}
24     | #ˈɑllʝos# | #ˈaɫt͡sʲ# | #ˈawsʲ# | #ˈoːs# | #o# {GOLD: #o#}
25     | #ˈɑllʝo# | #ˈaʎ# | #ˈaʎ# | #ˈaʎ# | #aj# {GOLD: #aj#}
26     | #ˌɑɫkˈun̪ɑ# | #ˌaɫkˈyn̪ə# | #ˌawkˈỹn̪ə# | #ˌoːkˈyn̪ə# | #okyn̪# {GOLD: #okyn̪#}
27     | #ˌɑɫkˈun̪o# | #ˌaɫkˈyn̪# | #ˌawkˈỹn̪# | #ˌoːkˈỹː# | #okœ̃# {GOLD: #okœ̃#}
28     | #ˌɑɫt̪ˈɑn̪t̪o# | #ˌaɫt̪ˈãn̪t̪# | #ˌawt̪ˈãn̪t̪# | #ˌoːt̪ˈãːt̪# | #ot̪ɑ̃# {GOLD: #ot̪ɑ̃#}
29     | #ˈɑɫt̪ɛro# | #ˈaɫt̪rə# | #ˈawt̪rə# | #ˈoːt̪rə# | #ɔt̪ʁ# {GOLD: #ot̪ʁ#}
30     | #ˌɑccʝˈɑrʝo# | #ˌat͡sʲˈie̯r# | #ˌasʲjˈer# | #ˌasˈer# | #ase# {GOLD: #asje#}
31     | #ˈɑcen̪o# | #ˈãj̃n̪ə# | #ˈɛ̃j̃n̪ə# | #ˈɛ̃n̪ə# | #ɛn̪# {GOLD: #ɛn̪#}
32     | #ˈɑxsɛ# | #ˈajs# | #ˈɛs# | #ˈɛs# | #ɛ# {GOLD: #ɛ#}
33     | #ˌɑxsˈellɑ# | #ˌajsˈelə# | #ˌɛsˈɛlə# | #ˌɛsˈɛlə# | #ɛsɛl# {GOLD: #ɛsɛl#}
34     | #ˈɑkwɑ# | #ˈɛːwə# | #e̯ˈawə# | #ə̯ˈoː# | #o# {GOLD: #o#}
35     | #ˈɑkwɑs# | #ˈɛːwəs# | #e̯ˈawəs# | #ə̯ˈoː# | #o# {GOLD: #o#}
36     | #ˌɑkwˈɑrʝo# | #ˌajvˈie̯r# | #ˌɛvjˈer# | #ˌɛvjˈer# | #ɛvje# {GOLD: #evje#}
37     | #ˈɑkwelɑ# | #ˈaʎə# | #ˈaʎə# | #ˈaʎə# | #ɑj# {GOLD: #ɑj#}
38     | #ˈɑɫn̪o# | #ˈaɫn̪ə# | #ˈawn̪ə# | #ˈoːn̪ə# | #on̪# {GOLD: #on̪#}
39     | #ˌɑmˈɑrɑ# | #ˌãmˈeːrə# | #ˌãmˈerə# | #ˌãmˈerə# | #amɛʁ# {GOLD: #amɛʁ#}
40     | #ˌɑmˈɑro# | #ˌãmˈeːr# | #ˌãmˈer# | #ˌãmˈer# | #ame# {GOLD: #amɛʁ#}
41     | #ˈɑmɑt̪# | #ˈãj̃məθ# | #ˈɛ̃j̃mə# | #ˈɛ̃mə# | #ɛm# {GOLD: #ɛm#}
42     | #ˌɑmˈikɑ# | #ˌãmˈiə# | #ˌãmˈiə# | #ˌãmˈiː# | #ami# {GOLD: #ami#}
43     | #ˌɑmˈikɑs# | #ˌãmˈiəs# | #ˌãmˈiəs# | #ˌãmˈiː# | #ami# {GOLD: #ami#}
44     | #ˌɑmˈikos# | #ˌãmˈixs# | #ˌãmˈiːs# | #ˌãmˈiːs# | #ami# {GOLD: #ami#}
45     | #ˌɑmˈiko# | #ˌãmˈi# | #ˌãmˈi# | #ˌãmˈi# | #ami# {GOLD: #ami#}
46     | #ˌɑmˌicet̪ˈɑt̪ɛ# | #ˌãmˌit͡sʲt̪ˈie̯θ# | #ˌãmˌiːt̪jˈe# | #ˌãmˌiːt̪jˈe# | #amit̪je# {GOLD: #amit̪je#}
47     | #ˈɑmplo# | #ˈãmplə# | #ˈãn̪plə# | #ˈãːplə# | #ɑ̃pl# {GOLD: #ɑ̃pl#}
48     | #ˌɑmpˈollɑ# | #ˌãmpˈolə# | #ˌãn̪pˈulə# | #ˌãːpˈulə# | #ɑ̃pul# {GOLD: #ɑ̃pul#}
49     | #ˈɑn̪ɑt̪ɛ# | #ˈãj̃n̪əθ# | #ˈɛ̃j̃n̪ə# | #ˈɛ̃n̪ə# | #ɛn̪# {GOLD: #an̪#}
50     | #ˌɑn̪d̪ekˈɑn̪es# | #ˌãn̪d͡ʒˈãn̪s# | #ˌãn̪ʒˈãn̪s# | #ˌãːʒˈãːs# | #ɑ̃ʒɑ̃# {GOLD: #ɑ̃ʒɛʁ#}
51     | #ˌɑn̪d̪ekˈɑo# | #ˌãn̪d͡ʒˈɔw# | #ˌãn̪ʒˈu# | #ˌãːʒˈu# | #ɑ̃ʒu# {GOLD: #ɑ̃ʒu#}
52     | #ˌɑn̪ˈɛllo# | #ˌãn̪ˈɛl# | #ˌãn̪e̯ˈaw# | #ˌãn̪ə̯ˈoː# | #an̪o# {GOLD: #an̪o#}
53     | #ˈɑŋɡlo# | #ˈãŋɡlə# | #ˈãŋɡlə# | #ˈãːɡlə# | #ɑ̃ɡl# {GOLD: #ɑ̃ɡl#}
54     | #ˌɑŋɡˈost͡sʲʝɑ# | #ˌãŋɡˈojsə# | #ˌãŋɡwˈɛsə# | #ˌãːɡwˈɛsə# | #ɑ̃ɡwas# {GOLD: #ɑ̃ɡwas#}
55     | #ˌɑŋɡˌost͡sʲʝˈoso# | #ˌãŋɡˌojsˈows# | #ˌãŋɡwˌɛsˈøs# | #ˌãːɡwˌɛsˈøs# | #ɑ̃ɡwasø# {GOLD: #ɑ̃ɡwasø#}
56     | #ˌɑn̪emɑ# | #ˌaɫmə# | #ˌawmə# | #ˌoːmə# | #om# {GOLD: #om#}
57     | #ˌɑn̪emˈɑlʝɑ# | #ˌaɫmˈaʎə# | #ˌawmˈaʎə# | #ˌoːmˈaʎə# | #omɑj# {GOLD: #omɑj#}
58     | #ˈɑŋkɔrɑ# | #ˈãŋkrə# | #ˈãŋkrə# | #ˈãːkrə# | #ɑ̃kʁ# {GOLD: #ɑ̃kʁ#}
59     | #ˌɑn̪n̪ˈɑt̪ɑ# | #ˌãn̪ˈeːðə# | #ˌãn̪ˈeə# | #ˌãn̪ˈeː# | #an̪e# {GOLD: #an̪e#}
60     | #ˈɑn̪n̪o# | #ˈãn̪# | #ˈãn̪# | #ˈãː# | #ɑ̃# {GOLD: #ɑ̃#}
61     | #ˈɑn̪n̪os# | #ˈãn̪t͡s# | #ˈãn̪s# | #ˈãːs# | #ɑ̃# {GOLD: #ɑ̃#}
62     | #ˈɑpʝo# | #ˈat͡ʃə# | #ˈaʃə# | #ˈaʃə# | #aʃ# {GOLD: #aʃ#}
63     | #ˌɑprˈilɛ# | #ˌavrˈil# | #ˌavrˈil# | #ˌavrˈil# | #avʁil# {GOLD: #avʁil#}
64     | #ˈɑrbrɛ# | #ˈarbrə# | #ˈarbrə# | #ˈarbrə# | #aʁbʁ# {GOLD: #aʁbʁ#}
65     | #ˌɑrd̪ˈesʝɑ# | #ˌard̪ˈejzə# | #ˌard̪wˈɛzə# | #ˌard̪wˈɛzə# | #aʁd̪waz# {GOLD: #aʁd̪waz#}
66     | #ˈɑrʝɑ# | #ˈajrə# | #ˈɛrə# | #ˈɛrə# | #ɛʁ# {GOLD: #ɛʁ#}
67     | #ˌɑrɛβʷˈɛrn̪ʝɑ# | #ˌaɫvˈɛrɲə# | #ˌawvˈɛrɲə# | #ˌoːvˈɛrɲə# | #ovɛʁɲ# {GOLD: #ovɛʁɲ#}
68     | #ˌɑrɟˈɛn̪t̪o# | #ˌard͡ʒˈɛ̃n̪t̪# | #ˌarʒˈãn̪t̪# | #ˌarʒˈãːt̪# | #aʁʒɑ̃# {GOLD: #aʁʒɑ̃#}
69     | #ˌɑrkˈɑrʝɑ# | #ˌart͡ʃˈie̯rə# | #ˌarʃjˈerə# | #ˌarʃˈerə# | #aʁʃɛʁ# {GOLD: #aʁʃɛʁ#}
70     | #ˌɑrkˈɑrʝo# | #ˌart͡ʃˈie̯r# | #ˌarʃjˈer# | #ˌarʃˈer# | #aʁʃe# {GOLD: #aʁʃe#}
71     | #ˈɑrkɑ# | #ˈart͡ʃə# | #ˈarʃə# | #ˈarʃə# | #aʁʃ# {GOLD: #aʁʃ#}
72     | #ˌɑrcˈɛllo# | #ˌart͡sʲˈɛl# | #ˌarsʲe̯ˈaw# | #ˌarsə̯ˈoː# | #aʁso# {GOLD: #aʁso#}
73     | #ˌɑrcʝˈon̪ɛ# | #ˌart͡sʲˈũn̪# | #ˌarsʲˈũn̪# | #ˌarsˈũː# | #aʁsɔ̃# {GOLD: #aʁsɔ̃#}
74     | #ˈɑrku# | #ˈark# | #ˈark# | #ˈark# | #aʁk# {GOLD: #aʁk#}
75     | #ˌɑrmɑt̪ˈurɑ# | #ˌarməðˈyrə# | #ˌarməˈyrə# | #ˌarmə̯ˈyrə# | #aʁmyʁ# {GOLD: #aʁmyʁ#}
76     | #ɑrˈon̪ʝɑ# | #arˈũɲə# | #arˈũɲə# | #arˈũɲə# | #aʁɔɲ# {GOLD: #ʁɔɲ#}
77     | #ˈɑrt̪ɛ# | #ˈart̪# | #ˈart̪# | #ˈart̪# | #aʁ# {GOLD: #aʁ#}
78     | #ˌɑrt̪ˈeklo# | #ˌart̪ˈeʎ# | #ˌart̪ˈɛʎ# | #ˌart̪ˈɛʎ# | #aʁt̪ɛj# {GOLD: #ɔʁt̪ɛj#}
79     | #ˈɑsen̪o# | #ˈazn̪ə# | #ˈãn̪ə# | #ˈãn̪ə# | #an̪# {GOLD: #an̪#}
80     | #ɑt̪ˈɑʝɑ# | #aðˈajə# | #aˈajə# | #aˈɛː# | #aɛ# {GOLD: #t̪ɛ#}
81     | #ˌɑβʷˈen̪ɑ# | #ˌavˈojn̪ə# | #ˌavwˈĩn̪ə# | #ˌavwˈɛ̃n̪ə# | #avwan̪# {GOLD: #avwan̪#}
82     | #ˌɑwɣost̪ɔd̪ˈun̪o# | #ˌɔst̪ˈyn̪# | #ˌoːt̪ˈỹn̪# | #ˌoːt̪ˈỹː# | #ot̪œ̃# {GOLD: #ot̪œ̃#}
