etID  | Late Latin | Old French I | Old French II | Middle French  | Output [REFERENCE]
159    | #d̪ˌeβˈerɛ# | #d̪ˌəvˈojr# | #d̪ˌəvwˈɛr# | #d̪ˌəvwˈɛr# | #d̪əvwaʁ# {GOLD: #d̪əvwaʁ#}
160    | #d̪ˈeβɛn̪t̪# | #d̪ˈejvən̪t̪# | #d̪wˈɛvət̪# | #d̪wˈɛvə# | #d̪wav# {GOLD: #d̪wav#}
161    | #d̪ˈeβɛt̪# | #d̪ˈet̪# | #d̪ˈet̪# | #d̪ˈet̪# | #d̪e# {GOLD: #d̪wa#}
162    | #d̪ˈeβet̪ɑ# | #d̪ˈet̪ə# | #d̪ˈɛt̪ə# | #d̪ˈɛt̪ə# | #d̪ɛt̪# {GOLD: #d̪ɛt̪#}
163    | #d̪ˌɛˈen̪t̪os# | #d̪ˌəˈẽn̪t͡s# | #d̪ˌəˈãn̪s# | #d̪ˈãːs# | #d̪ɑ̃# {GOLD: #d̪ɑ̃#}
164    | #d̪ˌɛɫfˈin̪o# | #d̪ˌɛɫfˈin̪# | #d̪e̯ˌawfˈĩn̪# | #d̪ə̯ˌoːfˈẽː# | #d̪ofɛ̃# {GOLD: #d̪ofɛ̃#}
165    | #d̪ˌɛkˈɑn̪o# | #d̪ˌejˈie̯n̪# | #d̪wˌɛjˈẽn̪# | #d̪wˌɛjˈẽː# | #d̪wajɛ̃# {GOLD: #d̪wajɛ̃#}
166    | #d̪ˈɛcemo# | #d̪ˈit͡sʲmə# | #d̪ˈiːmə# | #d̪ˈiːmə# | #d̪im# {GOLD: #d̪im#}
167    | #d̪ˌɛmˈɑn̪ɛ# | #d̪ˌəmˈãj̃n̪# | #d̪ˌəmˈɛ̃j̃n̪# | #d̪ˌəmˈɛ̃ː# | #d̪əmɛ̃# {GOLD: #d̪əmɛ̃#}
168    | #d̪ˌɛn̪ɑrˈɑt̪ɑ# | #d̪ˌən̪ərˈeːðə# | #d̪ˌən̪ərˈeə# | #d̪ˌən̪rˈeː# | #d̪ən̪ʁe# {GOLD: #d̪ɑ̃ʁe#}
169    | #d̪ˈɛn̪t̪ɛ# | #d̪ˈɛ̃n̪t̪# | #d̪ˈãn̪t̪# | #d̪ˈãːt̪# | #d̪ɑ̃# {GOLD: #d̪ɑ̃#}
170    | #d̪ˈɛrbet̪ɑro# | #d̪ˈɛrd̪rə# | #d̪ˈɛrd̪rə# | #d̪ˈɛrd̪rə# | #d̪ɛʁd̪ʁ# {GOLD: #d̪aʁt̪ʁ#}
171    | #d̪ˌerˈɛt̪ro# | #d̪ˌerˈie̯ðrə# | #d̪ˌɛrjˈerə# | #d̪ˌɛrjˈerə# | #d̪ɛʁjɛʁ# {GOLD: #d̪ɛʁjɛʁ#}
172    | #d̪ˌesˈuso# | #d̪ˌəzˈys# | #d̪ˌəzˈys# | #d̪ˌəzˈys# | #d̪əzy# {GOLD: #d̪əsy#}
173    | #d̪ˈɛo# | #d̪ˈie̯w# | #d̪jˈø# | #d̪jˈø# | #d̪jø# {GOLD: #d̪jø#}
174    | #d̪eˈon̪d̪ɛ# | #d̪ˈũn̪t̪# | #d̪ˈũn̪t̪# | #d̪ˈũːt̪# | #d̪ɔ̃# {GOLD: #d̪ɔ̃#}
175    | #d̪ˌid̪ɔmˈen̪ekɑ# | #d̪ˌiðmˈẽn̪t͡ʃə# | #d̪ˌĩmˈãn̪ʃə# | #d̪ˌimˈãːʃə# | #d̪imɑ̃ʃ# {GOLD: #d̪imɑ̃ʃ#}
176    | #d̪ˈeʝet̪o# | #d̪ˈejθ# | #d̪wˈɛ# | #d̪wˈɛ# | #d̪wa# {GOLD: #d̪wa#}
177    | #d̪ˌemˈɛʝʝo# | #d̪ˌəmˈi# | #d̪ˌəmˈi# | #d̪ˌəmˈi# | #d̪əmi# {GOLD: #d̪əmi#}
178    | #d̪irˈɛxt̪ɑ# | #d̪rˈit̪ə# | #d̪rˈit̪ə# | #d̪rˈit̪ə# | #d̪ʁit̪# {GOLD: #d̪ʁwat̪#}
179    | #d̪irˈɛxt̪o# | #d̪rˈit̪# | #d̪rˈit̪# | #d̪rˈit̪# | #d̪ʁi# {GOLD: #d̪ʁwa#}
180    | #d̪ˌesʝen̪ˈɑrɛ# | #d̪ˌizn̪ˈie̯r# | #d̪ˌĩːn̪jˈer# | #d̪ˌiːn̪jˈer# | #d̪in̪je# {GOLD: #d̪in̪e#}
181    | #d̪ˌesˈord̪en̪ɛ# | #d̪ˌəzˈord̪rə# | #d̪ˌəzˈɔrd̪rə# | #d̪ˌəzˈɔrd̪rə# | #d̪əzɔʁd̪ʁ# {GOLD: #d̪ezɔʁd̪ʁ#}
182    | #ɟʝˌorn̪ˈɑt̪ɑ# | #d͡ʒˌorn̪ˈeːðə# | #ʒˌurn̪ˈeə# | #ʒˌurn̪ˈeː# | #ʒuʁn̪e# {GOLD: #ʒuʁn̪e#}
183    | #ɟʝˈorn̪os# | #d͡ʒˈors# | #ʒˈurs# | #ʒˈurs# | #ʒuʁ# {GOLD: #ʒuʁ#}
184    | #d̪ˌiβʷˈin̪o# | #d̪ˌəvˈin̪# | #d̪ˌəvˈĩn̪# | #d̪ˌəvˈẽː# | #d̪əvɛ̃# {GOLD: #d̪əvɛ̃#}
185    | #d̪ˌiβʝˈon̪ɛ# | #d̪ˌid͡ʒˈũn̪# | #d̪ˌiʒˈũn̪# | #d̪ˌiʒˈũː# | #d̪iʒɔ̃# {GOLD: #d̪iʒɔ̃#}
186    | #d̪ˌɔlˈorɛ# | #d̪ˌolˈowr# | #d̪ˌulˈør# | #d̪ˌulˈør# | #d̪ulœʁ# {GOLD: #d̪ulœʁ#}
187    | #d̪ˈɔlo# | #d̪ˈye̯l# | #d̪ˈøl# | #d̪ˈøl# | #d̪œl# {GOLD: #d̪œj#}
188    | #d̪ˈɔmen̪ɑ# | #d̪ˈũmə# | #d̪ˈũmə# | #d̪ˈũmə# | #d̪ɔm# {GOLD: #d̪am#}
189    | #d̪ˌɔmn̪ʝˈon̪ɛ# | #d̪ˌũmd͡ʒˈũn̪# | #d̪ˌũn̪ʒˈũn̪# | #d̪ˌũːʒˈũː# | #d̪ɔ̃ʒɔ̃# {GOLD: #d̪ɔ̃ʒɔ̃#}
190    | #d̪ˌɔmn̪ecˈɛllɑ# | #d̪ˌũmejzˈɛlə# | #d̪ˌũmwɛzˈɛlə# | #d̪ˌũmwɛzˈɛlə# | #d̪ɔmwazɛl# {GOLD: #d̪əmwazɛl#}
191    | #d̪ˈoɣɑ# | #d̪ˈuvə# | #d̪ˈuvə# | #d̪ˈuvə# | #d̪uv# {GOLD: #d̪uv#}
192    | #d̪ˌon̪ˈɑrɛ# | #d̪ˌũn̪ˈeːr# | #d̪ˌũn̪ˈer# | #d̪ˌũn̪ˈer# | #d̪ɔn̪e# {GOLD: #d̪ɔn̪e#}
193    | #d̪ˈon̪ɑt̪# | #d̪ˈũn̪əθ# | #d̪ˈũn̪ə# | #d̪ˈũn̪ə# | #d̪ɔn̪# {GOLD: #d̪ɔn̪#}
194    | #d̪ˈon̪o# | #d̪ˈũn̪# | #d̪ˈũn̪# | #d̪ˈũː# | #d̪ɔ̃# {GOLD: #d̪ɔ̃#}
195    | #d̪ˌɔrmˈirɛ# | #d̪ˌormˈir# | #d̪ˌurmˈir# | #d̪ˌurmˈir# | #d̪uʁmiʁ# {GOLD: #d̪ɔʁmiʁ#}
196    | #d̪ˈɔrmet̪# | #d̪ˈɔrt̪# | #d̪ˈɔrt̪# | #d̪ˈɔrt̪# | #d̪ɔʁ# {GOLD: #d̪ɔʁ#}
197    | #d̪ˌɔrmit̪ˈorʝo# | #d̪ˌɔrt̪ˈojr# | #d̪ˌɔrt̪wˈɛr# | #d̪ˌɔrt̪wˈɛr# | #d̪ɔʁt̪waʁ# {GOLD: #d̪ɔʁt̪waʁ#}
198    | #d̪ˈɔrso# | #d̪ˈɔrs# | #d̪ˈɔrs# | #d̪ˈɔrs# | #d̪ɔʁ# {GOLD: #d̪o#}
199    | #d̪rˈɑppos# | #d̪rˈas# | #d̪rˈas# | #d̪rˈas# | #d̪ʁa# {GOLD: #d̪ʁa#}
200    | #d̪rˈɑppo# | #d̪rˈap# | #d̪rˈap# | #d̪rˈap# | #d̪ʁa# {GOLD: #d̪ʁa#}
201    | #d̪ˈoβet̪o# | #d̪ˈot̪ə# | #d̪ˈut̪ə# | #d̪ˈut̪ə# | #d̪ut̪# {GOLD: #d̪ut̪#}
202    | #d̪ˈoɫcʝɑ# | #d̪ˈoɫt͡sʲə# | #d̪ˈusʲə# | #d̪ˈusə# | #d̪us# {GOLD: #d̪us#}
203    | #d̪ˈoɫcʝo# | #d̪ˈoɫt͡sʲ# | #d̪ˈusʲ# | #d̪ˈus# | #d̪u# {GOLD: #d̪u#}
204    | #d̪wˈos# | #d̪ˈows# | #d̪ˈøs# | #d̪ˈøs# | #d̪ø# {GOLD: #d̪ø#}
205    | #d̪ˈoplo# | #d̪ˈublə# | #d̪ˈublə# | #d̪ˈublə# | #d̪ubl# {GOLD: #d̪ubl#}
206    | #d̪ˈurɑ# | #d̪ˈyrə# | #d̪ˈyrə# | #d̪ˈyrə# | #d̪yʁ# {GOLD: #d̪yʁ#}
207    | #d̪ˈurɑs# | #d̪ˈyrəs# | #d̪ˈyrəs# | #d̪ˈyrə# | #d̪yʁ# {GOLD: #d̪yʁ#}
208    | #d̪ˈuros# | #d̪ˈyrs# | #d̪ˈyrs# | #d̪ˈyrs# | #d̪yʁ# {GOLD: #d̪yʁ#}
209    | #d̪ˈuro# | #d̪ˈyr# | #d̪ˈyr# | #d̪ˈyr# | #d̪yʁ# {GOLD: #d̪yʁ#}
210    | #ˈɛβrʝo# | #ˈivrə# | #ˈivrə# | #ˈivrə# | #ivʁ# {GOLD: #ivʁ#}
211    | #ˌɛɣo# | #ˌɛ# | #ˌɛ# | #ˌɛ# | #ɛ# {GOLD: #ʒə#}
212    | #ɛccʝˌɑk# | #t͡sʲˌa# | #sʲˌa# | #sˌa# | #sa# {GOLD: #sa#}
213    | #ɛccʝˌik# | #t͡sʲˌi# | #sʲˌi# | #sˌi# | #si# {GOLD: #si#}
214    | #ɛccʝˌɔk# | #t͡sʲˌo# | #sʲˌu# | #sˌu# | #su# {GOLD: #sə#}
215    | #ɛccʝˌellɑ# | #t͡sʲˌɛlə# | #sʲˌɛlə# | #sˌɛlə# | #sɛl# {GOLD: #sɛl#}
216    | #ɛccʝˌellɑs# | #t͡sʲˌɛləs# | #sʲˌɛləs# | #sˌɛlə# | #sɛl# {GOLD: #sɛl#}
217    | #ɛccʝˌellos# | #t͡sʲˌeɫs# | #sʲˌøs# | #sˌøs# | #sø# {GOLD: #sø#}
218    | #ɛccʝˌello# | #t͡sʲˌel# | #sʲˌø# | #sˌø# | #sø# {GOLD: #sə#}
219    | #ɛccʝˌest̪ɑ# | #t͡sʲˌest̪ə# | #sʲˌet̪ə# | #sˌet̪ə# | #sɛt̪# {GOLD: #sɛt̪#}
220    | #ɛccʝˌest̪o# | #t͡sʲˌest̪# | #sʲˌet̪# | #sˌet̪# | #se# {GOLD: #sə#}
221    | #ɛccʝˌest̪os# | #t͡sʲˌet͡s# | #sʲˌes# | #sˌes# | #se# {GOLD: #se#}
222    | #ˌɛxsˈɑʝʝo# | #ˌesˈaj# | #ˌesˈɛ# | #ˌesˈɛ# | #esɛ# {GOLD: #esɛ#}
223    | #ˌɛxsˈɑmɛ# | #ˌesˈãj̃n̪# | #ˌesˈɛ̃j̃n̪# | #ˌesˈɛ̃ː# | #esɛ̃# {GOLD: #esɛ̃#}
224    | #ˌɛsfrˌuxt̪ˈɑrɛ# | #ˌezfrˌyjt̪ʲˈie̯r# | #ˌefrˌyjt̪ʲjˈer# | #ˌefrˌyjt̪ˈer# | #efʁyjt̪e# {GOLD: #efʁit̪e#}
225    | #ˌɛskˈɔrt̪ekˈɑrɛ# | #ˌeskˈɔrt͡ʃˈie̯r# | #ˌekˈɔrʃjˈer# | #ˌekˈɔrʃˈer# | #ekɔʁʃe# {GOLD: #ekɔʁʃe#}
226    | #ˌɛst̪rˈɑn̪ʝo# | #ˌest̪rˈãj̃ɲ# | #ˌet̪rˈɛ̃j̃ɲ# | #ˌet̪rˈɛ̃ː# | #et̪ʁɛ̃# {GOLD: #et̪ʁɑ̃ʒ#}
227    | #ˈɛkwɑ# | #ˈivə# | #ˈivə# | #ˈivə# | #iv# {GOLD: #iv#}
228    | #ˈesʝɑ# | #ˈejzə# | #wˈɛzə# | #wˈɛzə# | #waz# {GOLD: #waz#}
229    | #ˌɛt̪# | #ˌeθ# | #ˌe# | #ˌe# | #e# {GOLD: #e#}
230    | #fˈɑβɑ# | #fˈeːvə# | #fˈevə# | #fˈevə# | #fɛv# {GOLD: #fɛv#}
231    | #fˈɑβrekɑ# | #fˈɔːrd͡ʒə# | #fˈɔrʒə# | #fˈɔrʒə# | #fɔʁʒ# {GOLD: #fɔʁʒ#}
232    | #fˈɑɣo# | #fˈɔw# | #fˈu# | #fˈu# | #fu# {GOLD: #fu#}
233    | #fˈɑɫsɑ# | #fˈaɫsə# | #fˈawsə# | #fˈoːsə# | #fos# {GOLD: #fos#}
234    | #fˈɑɫso# | #fˈaɫs# | #fˈaws# | #fˈoːs# | #fo# {GOLD: #fo#}
235    | #fˈɑkrɛ# | #fˈajrə# | #fˈɛrə# | #fˈɛrə# | #fɛʁ# {GOLD: #fɛʁ#}
236    | #fˈɑccʝɑ# | #fˈat͡sʲə# | #fˈasʲə# | #fˈasə# | #fɑs# {GOLD: #fas#}
237    | #fˈɑccʝɑ# | #fˈat͡sʲə# | #fˈasʲə# | #fˈasə# | #fɑs# {GOLD: #fas#}
238    | #fˌɑxt͡sʲʝˈon̪ɛ# | #fˌat͡sʲˈũn̪# | #fˌasʲˈũn̪# | #fˌasˈũː# | #fasɔ̃# {GOLD: #fasɔ̃#}
239    | #fˈɑxt̪o# | #fˈajt̪# | #fˈɛt̪# | #fˈɛt̪# | #fɛ# {GOLD: #fɛ#}
240    | #fˈɑmɛ# | #fˈãj̃n̪# | #fˈɛ̃j̃n̪# | #fˈɛ̃ː# | #fɛ̃# {GOLD: #fɛ̃#}
241    | #fˌɑsʝˈɑn̪o# | #fˌajzˈãj̃n̪# | #fˌɛzˈɛ̃j̃n̪# | #fˌɛzˈɛ̃ː# | #fɛzɛ̃# {GOLD: #fəzɑ̃#}
242    | #fˌɑscˈɛllo# | #fˌajsˈɛl# | #fˌɛse̯ˈaw# | #fˌɛsə̯ˈoː# | #fɛso# {GOLD: #fɛso#}
243    | #fˈɑscɛ# | #fˈajs# | #fˈɛs# | #fˈɛs# | #fɛ# {GOLD: #fɛ#}
244    | #fˌɑt̪ˈut̪o# | #fˌaðˈyθ# | #fˌəˈy# | #fə̯ˈy# | #fy# {GOLD: #fø#}
245    | #fˈɛβrɛ# | #fˈie̯vrə# | #fjˈevrə# | #fjˈevrə# | #fjɛvʁ# {GOLD: #fjɛvʁ#}
246    | #fˌɛβrwˈɑrʝo# | #fˌevrˈie̯r# | #fˌevrjˈer# | #fˌevrjˈer# | #fevʁije# {GOLD: #fevʁije#}
247    | #fˈɛl# | #fˈie̯l# | #fjˈel# | #fjˈel# | #fjɛl# {GOLD: #fjɛl#}
248    | #fˈemen̪ɑ# | #fˈẽmə# | #fˈãmə# | #fˈãmə# | #fam# {GOLD: #fam#}
249    | #fˈen̪o# | #fˈẽj̃n̪# | #fˈɛ̃j̃n̪# | #fˈɛ̃ː# | #fɛ̃# {GOLD: #fwɛ̃#}
250    | #fˈerʝɑ# | #fˈejrə# | #fwˈɛrə# | #fwˈɛrə# | #fwaʁ# {GOLD: #fwaʁ#}
251    | #fˈɛrɑ# | #fˈie̯rə# | #fjˈerə# | #fjˈerə# | #fjɛʁ# {GOLD: #fjɛʁ#}
252    | #fˈɛrro# | #fˈɛr# | #fˈɛr# | #fˈɛr# | #fɛʁ# {GOLD: #fɛʁ#}
253    | #fˈɛro# | #fˈie̯r# | #fjˈer# | #fjˈer# | #fjɛʁ# {GOLD: #fjɛʁ#}
254    | #fˈɛst̪ɑ# | #fˈɛst̪ə# | #fˈɛːt̪ə# | #fˈɛːt̪ə# | #fɛt̪# {GOLD: #fɛt̪#}
255    | #fˈekɑt̪o# | #fˈejəθ# | #fwˈɛə# | #fwˈɛː# | #fwa# {GOLD: #fwa#}
256    | #fˈed̪ɛ# | #fˈejθ# | #fwˈɛ# | #fwˈɛ# | #fwa# {GOLD: #fwa#}
257    | #fˈilʝɑ# | #fˈiʎə# | #fˈiʎə# | #fˈiʎə# | #fij# {GOLD: #fij#}
258    | #fˌilecˈɛllɑ# | #fˌiʎt͡sʲˈɛlə# | #fˌisʲˈɛlə# | #fˌisˈɛlə# | #fisɛl# {GOLD: #fisɛl#}
259    | #fˌilʝˈɔlɑ# | #fˌiʎˈye̯lə# | #fˌiʎˈølə# | #fˌiʎˈølə# | #fijœl# {GOLD: #fijœl#}
260    | #fˌilʝˈɔlo# | #fˌiʎˈye̯l# | #fˌiʎˈøl# | #fˌiʎˈøl# | #fijœl# {GOLD: #fijœl#}
261    | #fˈilo# | #fˈil# | #fˈil# | #fˈil# | #fil# {GOLD: #fil#}
262    | #fˌemˈɑrʝo# | #fˌəmˈie̯r# | #fˌəmjˈer# | #fˌømjˈer# | #fymje# {GOLD: #fymje#}
263    | #fˈen̪d̪ɛrɛ# | #fˈẽn̪d̪rə# | #fˈãn̪d̪rə# | #fˈãːd̪rə# | #fɑ̃d̪ʁ# {GOLD: #fɑ̃d̪ʁ#}
264    | #fˈen̪d̪et̪ɑ# | #fˈẽn̪t̪ə# | #fˈãn̪t̪ə# | #fˈãːt̪ə# | #fɑ̃t̪# {GOLD: #fɑ̃t̪#}
265    | #fˈin̪ɛ# | #fˈin̪# | #fˈĩn̪# | #fˈẽː# | #fɛ̃# {GOLD: #fɛ̃#}
266    | #fˈeŋt̪o# | #fˈẽj̃n̪t̪# | #fˈɛ̃j̃n̪t̪# | #fˈɛ̃ːt̪# | #fɛ̃# {GOLD: #fɛ̃#}
267    | #fˈermɑ# | #fˈermə# | #fˈɛrmə# | #fˈɛrmə# | #fɛʁm# {GOLD: #fɛʁm#}
268    | #fˌermˈɑrɛ# | #fˌermˈeːr# | #fˌɛrmˈer# | #fˌɛrmˈer# | #fɛʁme# {GOLD: #fɛʁme#}
269    | #flˌɑʝˈɛllos# | #flˌajˈɛɫs# | #flˌaje̯ˈaws# | #flˌajˈoːs# | #fleo# {GOLD: #fleo#}
270    | #flˌɑʝˈɛllo# | #flˌajˈɛl# | #flˌaje̯ˈaw# | #flˌajˈoː# | #fleo# {GOLD: #fleo#}
271    | #flˌɑɣrˈɑrɛ# | #flˌajrʲˈie̯r# | #flˌɛrʲjˈer# | #flˌɛrˈer# | #fleʁe# {GOLD: #flɛʁe#}
272    | #flˈɑwɑ# | #flˈɔwə# | #flˈuə# | #flˈuː# | #flu# {GOLD: #flu#}
273    | #flˈɑo# | #flˈɔw# | #flˈu# | #flˈu# | #flu# {GOLD: #flu#}
274    | #flˈeβelɛ# | #flˈeblə# | #flˈɛblə# | #flˈɛblə# | #flɛbl# {GOLD: #fɛbl#}
275    | #fˈɔlʝɑ# | #fˈye̯ʎə# | #fˈøʎə# | #fˈøʎə# | #fœj# {GOLD: #fœj#}
276    | #fˈɔllɛ# | #fˈɔl# | #fˈu# | #fˈu# | #fu# {GOLD: #fu#}
277    | #fˈɔlles# | #fˈɔɫs# | #fˈus# | #fˈus# | #fu# {GOLD: #fu#}
278    | #fˌɔcˈilɛ# | #fˌojd͡zʲˈil# | #fwˌɛzʲˈil# | #fwˌɛzˈi# | #fwazi# {GOLD: #fyzi#}
279    | #fˈɔko# | #fˈye̯w# | #fˈø# | #fˈø# | #fø# {GOLD: #fø#}
280    | #fˌɔn̪t̪ˈɑn̪ɑ# | #fˌũn̪t̪ˈãj̃n̪ə# | #fˌũn̪t̪ˈɛ̃j̃n̪ə# | #fˌũːt̪ˈɛ̃n̪ə# | #fɔ̃t̪ɛn̪# {GOLD: #fɔ̃t̪ɛn̪#}
281    | #fˌɔrˈɛst̪ɛ# | #fˌorˈɛst̪# | #fˌɔrˈɛːt̪# | #fˌɔrˈɛːt̪# | #fɔʁɛ# {GOLD: #fɔʁɛ#}
282    | #fˈɔrʝɑ# | #fˈyjrə# | #fˈyjrə# | #fˈyjrə# | #fyjʁ# {GOLD: #fwɑʁ#}
283    | #fˌɔrmˈɑt̪eko# | #fˌormˈad͡ʒə# | #fˌurmˈaʒə# | #fˌurmˈaʒə# | #fuʁmaʒ# {GOLD: #fʁomaʒ#}
284    | #fˌɔrmˈiko# | #fˌormˈi# | #fˌurmˈi# | #fˌurmˈi# | #fuʁmi# {GOLD: #fuʁmi#}
285    | #fˈɔrt̪ɛ# | #fˈɔrt̪# | #fˈɔrt̪# | #fˈɔrt̪# | #fɔʁ# {GOLD: #fɔʁ#}
286    | #fˈɔrt͡sʲʝɑ# | #fˈɔrt͡sʲə# | #fˈɔrsʲə# | #fˈɔrsə# | #fɔʁs# {GOLD: #fɔʁs#}
287    | #fˈɔssɑ# | #fˈɔsə# | #fˈɔsə# | #fˈɔsə# | #fɔs# {GOLD: #fos#}
288    | #fˌɔssˈɑt̪o# | #fˌɔsˈeːθ# | #fˌɔsˈe# | #fˌɔsˈe# | #fɔse# {GOLD: #fose#}
289    | #frˈɑʝelɛ# | #frˈajlə# | #frˈɛlə# | #frˈɛlə# | #fʁɛl# {GOLD: #fʁɛl#}
290    | #frˈɑŋkɑ# | #frˈãn̪t͡ʃə# | #frˈãn̪ʃə# | #frˈãːʃə# | #fʁɑ̃ʃ# {GOLD: #fʁɑ̃ʃ#}
291    | #frˈɑŋcʝɑ# | #frˈãn̪t͡sʲə# | #frˈãn̪sʲə# | #frˈãːsə# | #fʁɑ̃s# {GOLD: #fʁɑ̃s#}
292    | #frˈɑŋkos# | #frˈãn̪s# | #frˈãn̪s# | #frˈãːs# | #fʁɑ̃# {GOLD: #fʁɑ̃#}
293    | #frˈɑŋko# | #frˈãŋk# | #frˈãŋk# | #frˈãːk# | #fʁɑ̃# {GOLD: #fʁɑ̃#}
294    | #frˈɑxsen̪o# | #frˈajzn̪ə# | #frˈɛ̃j̃n̪ə# | #frˈɛ̃n̪ə# | #fʁɛn̪# {GOLD: #fʁɛn̪#}
295    | #frˈɑt̪rɛ# | #frˈeːðrə# | #frˈerə# | #frˈerə# | #fʁɛʁ# {GOLD: #fʁɛʁ#}
296    | #frˈeɡd̪ɑ# | #frˈejd̪ə# | #frwˈɛd̪ə# | #frwˈɛd̪ə# | #fʁwad̪# {GOLD: #fʁwad̪#}
297    | #frˈeɡd̪o# | #frˈejθ# | #frwˈɛ# | #frwˈɛ# | #fʁwa# {GOLD: #fʁwa#}
298    | #frˈixt͡sʲʝˈon̪ɛ# | #frˈit͡sʲˈũn̪# | #frˈisʲˈũn̪# | #frˈisˈũː# | #fʁisɔ̃# {GOLD: #fʁisɔ̃#}
299    | #frˈuxt̪o# | #frˈyjt̪# | #frˈyjt̪# | #frˈyjt̪# | #fʁyj# {GOLD: #fʁɥi#}
300    | #frˌost͡sʲʝˈɑrɛ# | #frˌojsʲˈie̯r# | #frwˌɛsʲjˈer# | #frwˌɛsˈer# | #fʁwase# {GOLD: #fʁwase#}
301    | #fˈuʝet̪ɑ# | #fˈyjt̪ə# | #fˈyjt̪ə# | #fˈyjt̪ə# | #fyjt̪# {GOLD: #fɥit̪#}
302    | #fˈoɫɟɛrɛ# | #fˈoɫd̪rə# | #fˈud̪rə# | #fˈud̪rə# | #fud̪ʁ# {GOLD: #fud̪ʁ#}
303    | #fˌumˈɑrɛ# | #fˌymˈeːr# | #fˌỹmˈer# | #fˌymˈer# | #fyme# {GOLD: #fyme#}
304    | #fˌon̪d̪ˈɑrɛ# | #fˌũn̪d̪ˈeːr# | #fˌũn̪d̪ˈer# | #fˌũːd̪ˈer# | #fɔ̃d̪e# {GOLD: #fɔ̃d̪e#}
305    | #fˈon̪d̪os# | #fˈũn̪t͡s# | #fˈũn̪s# | #fˈũːs# | #fɔ̃# {GOLD: #fɔ̃#}
306    | #fˈust̪ɛ# | #fˈyst̪# | #fˈyːt̪# | #fˈyːt̪# | #fy# {GOLD: #fy#}
307    | #ɡˈɑɫben̪o# | #d͡ʒˈaɫn̪ə# | #ʒˈawn̪ə# | #ʒˈoːn̪ə# | #ʒon̪# {GOLD: #ʒon̪#}
308    | #ɡˈɑmbɑ# | #d͡ʒˈãmbə# | #ʒˈãn̪bə# | #ʒˈãːbə# | #ʒɑ̃b# {GOLD: #ʒɑ̃b#}
309    | #ɡˌɑrd̪ˈin̪o# | #d͡ʒˌard̪ˈin̪# | #ʒˌard̪ˈĩn̪# | #ʒˌard̪ˈẽː# | #ʒaʁd̪ɛ̃# {GOLD: #ʒaʁd̪ɛ̃#}
310    | #ɡˈɑwʝʝɑ# | #d͡ʒˈɔjə# | #ʒwˈɛə# | #ʒwˈɛː# | #ʒwa# {GOLD: #ʒwɑ#}
311    | #ɡˈɑwt̪ɑ# | #d͡ʒˈɔwðə# | #ʒˈuə# | #ʒˈuː# | #ʒu# {GOLD: #ʒu#}
312    | #ɟˌɛmˈɛllos# | #d͡ʒˌəmˈɛɫs# | #ʒˌəme̯ˈaws# | #ʒˌømə̯ˈoːs# | #ʒymo# {GOLD: #ʒymo#}
313    | #ɟˈɛn̪ro# | #d͡ʒˈɛ̃n̪d̪rə# | #ʒˈãn̪d̪rə# | #ʒˈãːd̪rə# | #ʒɑ̃d̪ʁ# {GOLD: #ʒɑ̃d̪ʁ#}
314    | #ɟˈɛn̪t̪ɛ# | #d͡ʒˈɛ̃n̪t̪# | #ʒˈãn̪t̪# | #ʒˈãːt̪# | #ʒɑ̃# {GOLD: #ʒɑ̃#}
315    | #ɟˈɛn̪t̪es# | #d͡ʒˈɛ̃n̪t͡s# | #ʒˈãn̪s# | #ʒˈãːs# | #ʒɑ̃# {GOLD: #ʒɑ̃#}
316    | #ɟˌɛn̪ˈoklos# | #d͡ʒˌən̪ˈoɫt͡sʲ# | #ʒˌən̪ˈusʲ# | #ʒˌən̪ˈus# | #ʒən̪u# {GOLD: #ʒən̪u#}
317    | #ɟˌɛn̪ˈoklo# | #d͡ʒˌən̪ˈoʎ# | #ʒˌən̪ˈuʎ# | #ʒˌən̪ˈu# | #ʒən̪u# {GOLD: #ʒən̪u#}
318    | #ɟʝˈɔrɟʝos# | #d͡ʒˈɔrd͡ʒəs# | #ʒˈɔrʒəs# | #ʒˈɔrʒə# | #ʒɔʁʒ# {GOLD: #ʒɔʁʒ#}
319    | #ɡlˈɑccʝɑ# | #ɡlˈat͡sʲə# | #ɡlˈasʲə# | #ɡlˈasə# | #ɡlɑs# {GOLD: #ɡlas#}
320    | #ɡlˈut̪ɛ# | #ɡlˈyθ# | #ɡlˈy# | #ɡlˈy# | #ɡly# {GOLD: #ɡly#}
321    | #ɡrˈɑkelɛ# | #ɡrˈajlə# | #ɡrˈɛlə# | #ɡrˈɛlə# | #ɡʁɛl# {GOLD: #ɡʁɛl#}
322    | #ɡrˈɑn̪ɑ# | #ɡrˈãj̃n̪ə# | #ɡrˈɛ̃j̃n̪ə# | #ɡrˈɛ̃n̪ə# | #ɡʁɛn̪# {GOLD: #ɡʁɛn̪#}
323    | #ɡrˈɑn̪d̪ɛ# | #ɡrˈãn̪t̪# | #ɡrˈãn̪t̪# | #ɡrˈãːt̪# | #ɡʁɑ̃# {GOLD: #ɡʁɑ̃#}
324    | #ɡrˈɑn̪ekɑ# | #ɡrˈãn̪t͡ʃə# | #ɡrˈãn̪ʃə# | #ɡrˈãːʃə# | #ɡʁɑ̃ʃ# {GOLD: #ɡʁɑ̃ʃ#}
