etID  | Input | Late Latin | Old French I | Old French II | Middle French  | Output {GOLD}
363    | #ɡrˈɑkilem# | *#ɡrˈɑkelɛ# | *#ɡrˈajlə# | *#ɡrˈɛlə# | *#ɡrˈɛlə# | *#ɡʁɛl# {GOLD: #ɡʁɛl#}
364    | #ɡrˈɑːn̪ɑ# | *#ɡrˈɑn̪ɑ# | *#ɡrˈãj̃n̪ə# | *#ɡrˈɛ̃j̃n̪ə# | *#ɡrˈɛ̃n̪ə# | *#ɡʁɛn̪# {GOLD: #ɡʁɛn̪#}
365    | #ɡrˈɑn̪d̪em# | *#ɡrˈɑn̪d̪ɛ# | *#ɡrˈãn̪t̪# | *#ɡrˈãn̪t̪# | *#ɡrˈãːt̪# | *#ɡʁɑ̃# {GOLD: #ɡʁɑ̃#}
366    | #ɡrˈɑːn̪ikɑm# | *#ɡrˈɑn̪ekɑ# | *#ɡrˈãn̪t͡ʃə# | *#ɡrˈãn̪ʃə# | *#ɡrˈãːʃə# | *#ɡʁɑ̃ʃ# {GOLD: #ɡʁɑ̃ʃ#}
367    | #ɡrˈɑːn̪um# | *#ɡrˈɑn̪o# | *#ɡrˈãj̃n̪# | *#ɡrˈɛ̃j̃n̪# | *#ɡrˈɛ̃ː# | *#ɡʁɛ̃# {GOLD: #ɡʁɛ̃#}
368    | #ɡrˈɑfium# | *#ɡrˈɑfʝo# | *#ɡrˈad͡ʒə# | *#ɡrˈaʒə# | *#ɡrˈaʒə# | *#ɡʁaʒ# {GOLD: #ɡʁɛf#}
369    | #ɡrˈɑːt̪um# | *#ɡrˈɑt̪o# | *#ɡrˈeːθ# | *#ɡrˈe# | *#ɡrˈe# | *#ɡʁe# {GOLD: #ɡʁe#}
370    | #ɡrˈossum# | *#ɡrˈɔsso# | *#ɡrˈɔs# | *#ɡrˈoːs# | *#ɡrˈoːs# | *#ɡʁo# {GOLD: #ɡʁo#}
371    | #ɡrˈuːɑ# | *#ɡrˈuɑ# | *#ɡrˈyə# | *#ɡrˈyə# | *#ɡrˈyː# | *#ɡʁy# {GOLD: #ɡʁy#}
372    | #ɡˈulɑm# | *#ɡˈolɑ# | *#ɡˈowlə# | *#ɡˈølə# | *#ɡˈølə# | *#ɡœl# {GOLD: #ɡœl#}
373    | #ɡˈulbiɑm# | *#ɡˈoɫbʝɑ# | *#ɡˈoɫd͡ʒə# | *#ɡˈuʒə# | *#ɡˈuʒə# | *#ɡuʒ# {GOLD: #ɡuʒ#}
374    | #ɡˈummɑ# | *#ɡˈommɑ# | *#ɡˈũmə# | *#ɡˈũmə# | *#ɡˈũmə# | *#ɡɔm# {GOLD: #ɡɔm#}
375    | #ɡˈust̪um# | *#ɡˈost̪o# | *#ɡˈost̪# | *#ɡˈuːt̪# | *#ɡˈuːt̪# | *#ɡu# {GOLD: #ɡu#}
376    | #ɡˈut̪t̪ɑm# | *#ɡˈot̪t̪ɑ# | *#ɡˈot̪ə# | *#ɡˈut̪ə# | *#ɡˈut̪ə# | *#ɡut̪# {GOLD: #ɡut̪#}
377    | #hˌɑbˈeːre# | *#hˌɑβˈerɛ# | *#ˌavˈojr# | *#ˌavwˈɛr# | *#ˌavwˈɛr# | *#avwaʁ# {GOLD: #avwaʁ#}
378    | #hˈɑbeo# | *#hˈɑbʝɔ# | *#ˈad͡ʒə# | *#ˈaʒə# | *#ˈaʒə# | *#aʒ# {GOLD: #e#}
379    | #heːmˈiːn̪ɑm# | *#hemˈin̪ɑ# | *#mˈin̪ə# | *#mˈĩn̪ə# | *#mˈin̪ə# | *#min̪# {GOLD: #min̪#}
380    | #hˈeːrem# | *#hˈerɛ# | *#ˈejr# | *#wˈɛr# | *#wˈɛr# | *#waʁ# {GOLD: #waʁ#}
381    | #hˈeri# | *#hˈɛre# | *#ˈie̯r# | *#jˈer# | *#jˈer# | *#jɛʁ# {GOLD: #jɛʁ#}
382    | #hˌiːbˈern̪um# | *#hˌiβˈɛrn̪o# | *#ˌivˈɛr# | *#ˌivˈɛr# | *#ˌivˈɛr# | *#ivɛʁ# {GOLD: #ivɛʁ#}
383    | #hiˌerˈoːn̪ymum# | *#hʝˌɛrˈon̪emo# | *#d͡ʒˌerˈũɫmə# | *#ʒˌerˈũmə# | *#ʒˌerˈũmə# | *#ʒeʁɔm# {GOLD: #ʒeʁom#}
384    | #hˈiːk# | *#hˈik# | *#ˈi# | *#ˈi# | *#ˈi# | *#i# {GOLD: #i#}
385    | #hˈod̪ieː# | *#hˈɔʝʝe# | *#ˈyj# | *#ɥˈi# | *#ɥˈi# | *#ɥi# {GOLD: #ɥi#}
386    | #hˈomin̪em# | *#hˈɔmen̪ɛ# | *#ˈũmə# | *#ˈũmə# | *#ˈũmə# | *#ɔm# {GOLD: #ɔm#}
387    | #hˌon̪ˈoːrem# | *#hˌɔn̪ˈorɛ# | *#ˌũn̪ˈowr# | *#ˌũn̪ˈør# | *#ˌũn̪ˈør# | *#ɔn̪œʁ# {GOLD: #ɔn̪œʁ#}
388    | #hˈoːrɑm# | *#hˈorɑ# | *#ˈowrə# | *#ˈørə# | *#ˈørə# | *#œʁ# {GOLD: #œʁ#}
389    | #hˈord̪eum# | *#hˈɔrɟʝo# | *#ˈɔrd͡ʒə# | *#ˈɔrʒə# | *#ˈɔrʒə# | *#ɔʁʒ# {GOLD: #ɔʁʒ#}
390    | #hˈospit̪em# | *#hˈɔspet̪ɛ# | *#ˈɔst̪ə# | *#ˈoːt̪ə# | *#ˈoːt̪ə# | *#ot̪# {GOLD: #ot̪#}
391    | #hˌospit̪ˈɑːle# | *#hˌɔspet̪ˈɑlɛ# | *#ˌɔst̪ˈeːl# | *#ˌoːt̪ˈel# | *#ˌoːt̪ˈel# | *#ot̪ɛl# {GOLD: #ot̪ɛl#}
392    | #iˈɑket̪# | *#ʝˈɑcɛt̪# | *#d͡ʒˈit͡sʲt̪# | *#ʒˈiːt̪# | *#ʒˈiːt̪# | *#ʒi# {GOLD: #ʒi#}
393    | #iˌɑːn̪uˈɑːrium# | *#ʝˌɑn̪wˈɑrʝo# | *#d͡ʒˌãn̪vˈie̯r# | *#ʒˌãn̪vjˈer# | *#ʒˌãːvjˈer# | *#ʒɑ̃vje# {GOLD: #ʒɑ̃vje#}
394    | #iˌeːiˈuːn̪ium# | *#ʝˌeʝˈun̪ʝo# | *#d͡ʒˌəˈyj̃ɲ# | *#ʒˌəɥˈĩɲ# | *#ʒə̯ɥˈẽː# | *#ʒɥɛ̃# {GOLD: #ʒœn̪#}
395    | #illˌɑk# | *#ellˌɑk# | *#lˌa# | *#lˌa# | *#lˌa# | *#la# {GOLD: #la#}
396    | #ˈillɑm# | *#ˈellɑ# | *#ˈelə# | *#ˈɛlə# | *#ˈɛlə# | *#ɛl# {GOLD: #ɛl#}
397    | #illˌɑm# | *#ellˌɑ# | *#lˌa# | *#lˌa# | *#lˌa# | *#la# {GOLD: #la#}
398    | #illɑːs# | *#ellɑs# | *#las# | *#las# | *#las# | *#la# {GOLD: #le#}
399    | #ˈilliː# | *#ˈelli# | *#ˈil# | *#ˈil# | *#ˈil# | *#il# {GOLD: #il#}
400    | #illˈoːrum# | *#ellˈoro# | *#lˈowr# | *#lˈør# | *#lˈør# | *#lœʁ# {GOLD: #lœʁ#}
401    | #illoːs# | *#ellos# | *#les# | *#les# | *#les# | *#le# {GOLD: #le#}
402    | #ˈilloːs# | *#ˈellos# | *#ˈeɫs# | *#ˈøːs# | *#ˈøːs# | *#ø# {GOLD: #ø#}
403    | #illˈuːi# | *#ellˈue# | *#lˈyj# | *#lɥˈi# | *#lɥˈi# | *#lɥi# {GOLD: #lɥi#}
404    | #illum# | *#ello# | *#lə# | *#lə# | *#lə# | *#lə# {GOLD: #lə#}
405    | #ˌimperɑːt̪ˈoːrem# | *#ˌempɛrɑt̪ˈorɛ# | *#ˌẽmprəðˈowr# | *#ˌãn̪prəˈør# | *#ˌãːprə̯ˈør# | *#ɑ̃pʁœʁ# {GOLD: #ɑ̃pʁœʁ#}
406    | #ˌin̪# | *#ˌen̪# | *#ˌẽn̪# | *#ˌãn̪# | *#ˌãː# | *#ɑ̃# {GOLD: #ɑ̃#}
407    | #ˌin̪d̪e# | *#ˌen̪d̪ɛ# | *#ˌẽn̪t̪# | *#ˌãn̪t̪# | *#ˌãːt̪# | *#ɑ̃# {GOLD: #ɑ̃#}
408    | #ˌin̪fˈern̪um# | *#ˌen̪fˈɛrn̪o# | *#ˌẽn̪fˈɛr# | *#ˌãn̪fˈɛr# | *#ˌãːfˈɛr# | *#ɑ̃fɛʁ# {GOLD: #ɑ̃fɛʁ#}
409    | #ˌin̪ɡˈen̪ioːs# | *#ˌeŋɟˈɛn̪ʝos# | *#ˌẽj̃ɲˈin̪t͡sʲ# | *#ˌɛ̃j̃ɲˈĩn̪sʲ# | *#ˌɛ̃ɲˈẽːs# | *#ɛɲɛ̃# {GOLD: #ɑ̃ʒɛ̃#}
410    | #ˌin̪ɡˈen̪ium# | *#ˌeŋɟˈɛn̪ʝo# | *#ˌẽj̃ɲˈie̯ɲ# | *#ˌɛ̃j̃ɲjˈẽɲ# | *#ˌɛ̃ɲjˈẽː# | *#ɛjɛ̃# {GOLD: #ɑ̃ʒɛ̃#}
411    | #ˌin̪kˈɑn̪t̪ɑːmˈen̪t̪um# | *#ˌeŋkˈɑn̪t̪ɑmˈɛn̪t̪o# | *#ˌẽn̪t͡ʃˈãn̪t̪əmˈɛ̃n̪t̪# | *#ˌãn̪ʃˈãn̪t̪əmˈãn̪t̪# | *#ˌãːʃˈãːt̪əmˈãːt̪# | *#ɑ̃ʃɑ̃t̪əmɑ̃# {GOLD: #ɑ̃ʃɑ̃t̪əmɑ̃#}
412    | #ˌin̪sˈiɡn̪iɑ# | *#ˌen̪sˈeŋn̪ʝɑ# | *#ˌẽn̪sˈẽj̃ɲə# | *#ˌãn̪sˈɛ̃j̃ɲə# | *#ˌãːsˈɛ̃ɲə# | *#ɑ̃sɛɲ# {GOLD: #ɑ̃sɛɲ#}
413    | #ˌin̪sˌimul# | *#ˌen̪sˌemol# | *#ˌẽn̪sˌẽmblə# | *#ˌãn̪sˌãn̪blə# | *#ˌãːsˌãːblə# | *#ɑ̃sɑ̃bl# {GOLD: #ɑ̃sɑ̃bl#}
414    | #ˈin̪sulɑ# | *#ˈisolɑ# | *#ˈizlə# | *#ˈilə# | *#ˈilə# | *#il# {GOLD: #il#}
415    | #ˈin̪t̪eɡrɑm# | *#ˌen̪t̪ˈɛɣrɑ# | *#ˌẽn̪t̪ˈie̯rə# | *#ˌãn̪t̪jˈerə# | *#ˌãːt̪jˈerə# | *#ɑ̃t̪jɛʁ# {GOLD: #ɑ̃t̪jɛʁ#}
416    | #ˈin̪t̪eɡrum# | *#ˌen̪t̪ˈɛɣro# | *#ˌẽn̪t̪ˈie̯r# | *#ˌãn̪t̪jˈer# | *#ˌãːt̪jˈer# | *#ɑ̃t̪je# {GOLD: #ɑ̃t̪je#}
417    | #ˌin̪t̪er# | *#ˌen̪t̪ɛr# | *#ˌẽn̪t̪rə# | *#ˌãn̪t̪rə# | *#ˌãːt̪rə# | *#ɑ̃t̪ʁ# {GOLD: #ɑ̃t̪ʁ#}
418    | #ˌin̪t̪rˈɑliɑ# | *#ˌen̪t̪rˈɑlʝɑ# | *#ˌẽn̪t̪rˈaʎə# | *#ˌãn̪t̪rˈaʎə# | *#ˌãːt̪rˈaʎə# | *#ɑ̃t̪ʁɑj# {GOLD: #ɑ̃t̪ʁɑj#}
419    | #iˈokum# | *#ʝˈɔko# | *#d͡ʒˈye̯w# | *#ʒˈø# | *#ʒˈø# | *#ʒø# {GOLD: #ʒø#}
420    | #iˈowisd̪ˈiːem# | *#ʝˈɔβʷesd̪ˈiɛ# | *#d͡ʒˈye̯wzd̪ˈi# | *#ʒˈød̪ˈi# | *#ʒˈød̪ˈi# | *#ʒød̪i# {GOLD: #ʒød̪i#}
421    | #iˈuːd̪ikem# | *#ʝˈud̪ecɛ# | *#d͡ʒˈyt͡sʲə# | *#ʒˈysʲə# | *#ʒˈysə# | *#ʒys# {GOLD: #ʒyʒ#}
422    | #iˈuɡum# | *#ʝˈoɣo# | *#d͡ʒˈow# | *#ʒˈø# | *#ʒˈø# | *#ʒø# {GOLD: #ʒu#}
423    | #iˌun̪ˈiːkiɑ# | *#ʝˌon̪ˈiccʝɑ# | *#d͡ʒˌũn̪ˈit͡sʲə# | *#ʒˌũn̪ˈisʲə# | *#ʒˌũn̪ˈisə# | *#ʒɔn̪is# {GOLD: #ʒen̪is#}
424    | #iˈuːn̪ium# | *#ʝˈun̪ʝo# | *#d͡ʒˈyj̃ɲ# | *#ʒɥˈĩɲ# | *#ʒɥˈẽː# | *#ʒɥɛ̃# {GOLD: #ʒɥɛ̃#}
425    | #iˈuːs# | *#ʝˈus# | *#d͡ʒˈys# | *#ʒˈyːs# | *#ʒˈyːs# | *#ʒy# {GOLD: #ʒy#}
426    | #iˈuwen̪em# | *#ʝˈoβʷɛn̪ɛ# | *#d͡ʒˈown̪ə# | *#ʒˈø̃n̪ə# | *#ʒˈø̃n̪ə# | *#ʒœn̪# {GOLD: #ʒœn̪#}
427    | #iˌuwen̪kˈellɑm# | *#ʝˌoβʷɛŋcˈɛllɑ# | *#d͡ʒˌovẽn̪t͡sʲˈɛlə# | *#ʒˌuvãn̪sʲˈɛlə# | *#ʒˌuvãːsˈɛlə# | *#ʒuvɑ̃sɛl# {GOLD: #ʒuvɑ̃sɛl#}
428    | #iˌuwen̪kˈellum# | *#ʝˌoβʷɛŋcˈɛllo# | *#d͡ʒˌovẽn̪t͡sʲˈɛl# | *#ʒˌuvãn̪sʲe̯ˈaw# | *#ʒˌuvãːsə̯ˈoː# | *#ʒuvɑ̃so# {GOLD: #ʒuvɑ̃so#}
429    | #kˌɑbɑllˈɑːrium# | *#kˌɑβɑllˈɑrʝo# | *#t͡ʃˌəvəlˈie̯r# | *#ʃˌəvəljˈer# | *#ʃˌəvljˈer# | *#ʃəvlije# {GOLD: #ʃəvalje#}
430    | #kˌɑbˈɑllikˈɑːre# | *#kˌɑβˈɑllekˈɑrɛ# | *#t͡ʃˌəvˈaɫd͡ʒˈie̯r# | *#ʃˌəvˈawʒjˈer# | *#ʃˌəvˈoːʒˈer# | *#ʃəvoʒe# {GOLD: #ʃəvoʃe#}
431    | #kˌɑbˈɑllikɑt̪# | *#kˌɑβˈɑllekɑt̪# | *#t͡ʃˌəvˈaɫt͡ʃəθ# | *#ʃˌəvˈawʃə# | *#ʃˌəvˈoːʃə# | *#ʃəvoʃ# {GOLD: #ʃəvoʃ#}
432    | #kˌɑbˈɑllikˈɑːtɑm# | *#kˌɑβˈɑllekˈɑtɑ# | *#t͡ʃˌəvˈaɫd͡ʒˈie̯?ə# | *#ʃˌəvˈawʒjˈe?ə# | *#ʃˌəvˈoːʒˈe?ə# | *#ʃəvoʒɛ?# {GOLD: #ʃəvoʃe#}
433    | #kˌɑbˈɑllum# | *#kˌɑβˈɑllo# | *#t͡ʃˌəvˈal# | *#ʃˌəvˈal# | *#ʃˌəvˈal# | *#ʃəval# {GOLD: #ʃəval#}
434    | #kˌɑbˈɑlloːs# | *#kˌɑβˈɑllos# | *#t͡ʃˌəvˈaɫs# | *#ʃˌəvˈaws# | *#ʃˌəvˈoːs# | *#ʃəvo# {GOLD: #ʃəvo#}
435    | #kˌɑd̪ˈen̪t̪iɑm# | *#kˌɑd̪ˈɛn̪t͡sʲʝɑ# | *#t͡ʃˌaðˈɛ̃n̪t͡sʲə# | *#ʃˌaˈãn̪sʲə# | *#ʃˈãːsə# | *#ʃɑ̃s# {GOLD: #ʃɑ̃s#}
436    | #kˈae̯kum# | *#cˈɛko# | *#t͡sʲˈie̯w# | *#sʲjˈø# | *#sjˈø# | *#sjø# {GOLD: #sjø#}
437    | #kˈae̯lum# | *#cˈɛlo# | *#t͡sʲˈie̯l# | *#sʲjˈel# | *#sˈel# | *#sɛl# {GOLD: #sjɛl#}
438    | #kˈae̯loːs# | *#cˈɛlos# | *#t͡sʲˈie̯ɫs# | *#sʲjˈøːs# | *#sjˈøːs# | *#sjø# {GOLD: #sjø#}
439    | #kˌae̯refˈolium# | *#cˌɛrɛfˈɔlʝo# | *#t͡sʲˌɛrfˈye̯ʎ# | *#sʲˌɛrfˈøʎ# | *#sˌɛrfˈøʎ# | *#sɛʁfœj# {GOLD: #sɛʁfœj#}
440    | #kˌɑkid̪ˈoːsum# | *#kˌɑced̪ˈoso# | *#t͡ʃˌajd͡zʲiðˈows# | *#ʃˌɛzʲiˈøːs# | *#ʃˌɛziˈøːs# | *#ʃɛziø# {GOLD: #ʃasjø#}
441    | #kˌɑkkˈiːt̪ɑm# | *#kˌɑccˈit̪ɑ# | *#t͡ʃˌat͡sʲˈiðə# | *#ʃˌasʲˈiə# | *#ʃˌasˈiː# | *#ʃasi# {GOLD: #ʃasi#}
442    | #kˌɑlˈeːre# | *#kˌɑlˈerɛ# | *#t͡ʃˌalˈejr# | *#ʃˌalwˈɛr# | *#ʃˌalwˈɛr# | *#ʃalwaʁ# {GOLD: #ʃalwaʁ#}
443    | #kˈɑlid̪um# | *#kˈɑld̪o# | *#t͡ʃˈaɫt̪# | *#ʃˈawt̪# | *#ʃˈoːt̪# | *#ʃo# {GOLD: #ʃo#}
444    | #kˈɑlid̪ɑm# | *#kˈɑled̪ɑ# | *#t͡ʃˈaɫd̪ə# | *#ʃˈawd̪ə# | *#ʃˈoːd̪ə# | *#ʃod̪# {GOLD: #ʃod̪#}
445    | #kˈɑlks# | *#kˈɑɫks# | *#t͡ʃˈaɫs# | *#ʃˈaws# | *#ʃˈoːs# | *#ʃo# {GOLD: #ʃo#}
446    | #kˌɑlˈoːrem# | *#kˌɑlˈorɛ# | *#t͡ʃˌalˈowr# | *#ʃˌalˈør# | *#ʃˌalˈør# | *#ʃalœʁ# {GOLD: #ʃalœʁ#}
447    | #kˈɑlwɑm# | *#kˈɑɫβʷɑ# | *#t͡ʃˈaɫvə# | *#ʃˈawvə# | *#ʃˈoːvə# | *#ʃov# {GOLD: #ʃov#}
448    | #kˌɑmˈellum# | *#kˌɑmˈɛllo# | *#t͡ʃˌãmˈɛl# | *#ʃˌãme̯ˈaw# | *#ʃˌãmə̯ˈoː# | *#ʃamo# {GOLD: #ʃamo#}
449    | #kˈɑmerɑm# | *#kˈɑmɛrɑ# | *#t͡ʃˈãmbrə# | *#ʃˈãn̪brə# | *#ʃˈãːbrə# | *#ʃɑ̃bʁ# {GOLD: #ʃɑ̃bʁ#}
450    | #kˌɑmˈiːsiɑm# | *#kˌɑmˈisʝɑ# | *#t͡ʃˌəmˈizə# | *#ʃˌəmˈizə# | *#ʃˌəmˈizə# | *#ʃəmiz# {GOLD: #ʃəmiz#}
451    | #kˌɑmmˈiːn̪um# | *#kˌɑmmˈin̪o# | *#t͡ʃˌãmˈin̪# | *#ʃˌãmˈĩn̪# | *#ʃˌãmˈẽː# | *#ʃamɛ̃# {GOLD: #ʃəmɛ̃#}
452    | #kˌɑmmiːn̪ˈɑːre# | *#kˌɑmmin̪ˈɑrɛ# | *#t͡ʃˌãmˈeːr# | *#ʃˌãmˈer# | *#ʃˌãmˈer# | *#ʃame# {GOLD: #ʃəmin̪e#}
453    | #kˌɑmˈoːxsum# | *#kˌɑmˈoxso# | *#t͡ʃˌãmˈojs# | *#ʃˌãmwˈɛːs# | *#ʃˌãmwˈɛːs# | *#ʃamwa# {GOLD: #ʃamwa#}
454    | #kˌɑmpˈɑːn̪iɑm# | *#kˌɑmpˈɑn̪ʝɑ# | *#t͡ʃˌãmpˈãɲə# | *#ʃˌãn̪pˈãɲə# | *#ʃˌãːpˈãɲə# | *#ʃɑ̃paɲ# {GOLD: #ʃɑ̃paɲ#}
455    | #kˌɑmpɑːn̪iˈolum# | *#kˌɑmpɑn̪ʝˈɔlo# | *#t͡ʃˌãmpiɲˈye̯l# | *#ʃˌãn̪pĩɲˈøl# | *#ʃˌãːpiɲˈøl# | *#ʃɑ̃piɲœl# {GOLD: #ʃɑ̃piɲœl#}
456    | #kˌɑmpɑːn̪iˈoːn̪em# | *#kˌɑmpɑn̪ʝˈon̪ɛ# | *#t͡ʃˌãmpiɲˈũn̪# | *#ʃˌãn̪pĩɲˈũn̪# | *#ʃˌãːpiɲˈũː# | *#ʃɑ̃piɲɔ̃# {GOLD: #ʃɑ̃piɲɔ̃#}
457    | #kˈɑmpum# | *#kˈɑmpo# | *#t͡ʃˈãmp# | *#ʃˈãn̪p# | *#ʃˈãːp# | *#ʃɑ̃# {GOLD: #ʃɑ̃#}
458    | #kˌɑn̪ˈɑːlem# | *#kˌɑn̪ˈɑlɛ# | *#t͡ʃˌən̪ˈal# | *#ʃˌən̪ˈal# | *#ʃˌən̪ˈal# | *#ʃən̪al# {GOLD: #ʃən̪al#}
459    | #kˈɑn̪ɑm# | *#kˈɑn̪ɑ# | *#t͡ʃˈie̯n̪ə# | *#ʃjˈẽn̪ə# | *#ʃjˈẽn̪ə# | *#ʃjɛn̪# {GOLD: #ʃjɛn̪#}
460    | #kˈɑn̪em# | *#kˈɑn̪ɛ# | *#t͡ʃˈie̯n̪# | *#ʃjˈẽn̪# | *#ʃjˈẽː# | *#ʃjɛ̃# {GOLD: #ʃjɛ̃#}
461    | #kˌɑn̪d̪elˈoːrum# | *#kˌɑn̪d̪ɛlˈoro# | *#t͡ʃˌãn̪d̪lˈowr# | *#ʃˌãn̪d̪lˈør# | *#ʃˌãːd̪lˈør# | *#ʃɑ̃d̪lœʁ# {GOLD: #ʃɑ̃d̪əlœʁ#}
462    | #kˌɑn̪kellˈɑːrium# | *#kˌɑŋcɛllˈɑrʝo# | *#t͡ʃˌãn̪t͡sʲelˈie̯r# | *#ʃˌãn̪sʲeljˈer# | *#ʃˌãːseljˈer# | *#ʃɑ̃sɛlje# {GOLD: #ʃɑ̃səlje#}
463    | #kˌɑːn̪ˈuːt̪um# | *#kˌɑn̪ˈut̪o# | *#t͡ʃˌən̪ˈyθ# | *#ʃˌən̪ˈy# | *#ʃˌən̪ˈy# | *#ʃən̪y# {GOLD: #ʃən̪y#}
464    | #kˌɑːn̪ˈuːt̪ɑm# | *#kˌɑn̪ˈut̪ɑ# | *#t͡ʃˌən̪ˈyðə# | *#ʃˌən̪ˈyə# | *#ʃˌən̪ˈyː# | *#ʃən̪y# {GOLD: #ʃən̪y#}
465    | #kˌɑpˈillum# | *#kˌɑpˈello# | *#t͡ʃˌəvˈel# | *#ʃˌəvˈø# | *#ʃˌəvˈø# | *#ʃəvø# {GOLD: #ʃəvø#}
466    | #kˌɑpˈilloːs# | *#kˌɑpˈellos# | *#t͡ʃˌəvˈeɫs# | *#ʃˌəvˈøːs# | *#ʃˌəvˈøːs# | *#ʃəvø# {GOLD: #ʃəvø#}
467    | #kˌɑpit̪ulˈɑːrium# | *#kˌɑpet̪olˈɑrʝo# | *#t͡ʃˌət̪iʎˈie̯r# | *#ʃˌət̪iʎjˈer# | *#ʃˌət̪iʎˈer# | *#ʃət̪ije# {GOLD: #ʃatwaje#}
468    | #kˈɑppɑm# | *#kˈɑppɑ# | *#t͡ʃˈapə# | *#ʃˈapə# | *#ʃˈapə# | *#ʃap# {GOLD: #ʃap#}
469    | #kˌɑppˈellɑm# | *#kˌɑppˈɛllɑ# | *#t͡ʃˌapˈɛlə# | *#ʃˌapˈɛlə# | *#ʃˌapˈɛlə# | *#ʃapɛl# {GOLD: #ʃapɛl#}
470    | #kˌɑppˈellum# | *#kˌɑppˈɛllo# | *#t͡ʃˌapˈɛl# | *#ʃˌape̯ˈaw# | *#ʃˌapə̯ˈoː# | *#ʃapo# {GOLD: #ʃapo#}
471    | #kˈɑprɑm# | *#kˈɑprɑ# | *#t͡ʃˈie̯vrə# | *#ʃjˈevrə# | *#ʃˈevrə# | *#ʃɛvʁ# {GOLD: #ʃɛvʁ#}
472    | #kˌɑpt̪iˈɑːre# | *#kˌɑpt͡sʲʝˈɑrɛ# | *#t͡ʃˌat͡sʲˈie̯r# | *#ʃˌasʲjˈer# | *#ʃˌasˈer# | *#ʃase# {GOLD: #ʃase#}
473    | #kˈɑpulum# | *#kˈɑplo# | *#t͡ʃˈie̯blə# | *#ʃjˈeblə# | *#ʃˈeblə# | *#ʃɛbl# {GOLD: #ʃabl#}
474    | #kˈɑpum# | *#kˈɑpo# | *#t͡ʃˈie̯f# | *#ʃjˈef# | *#ʃˈef# | *#ʃɛf# {GOLD: #ʃɛf#}
475    | #kˈɑrolus# | *#kˈɑrlos# | *#t͡ʃˈarləs# | *#ʃˈarləs# | *#ʃˈarlə# | *#ʃaʁl# {GOLD: #ʃaʁl#}
476    | #kˈɑrkerem# | *#kˈɑrcɛrɛ# | *#t͡ʃˈart̪rə# | *#ʃˈart̪rə# | *#ʃˈart̪rə# | *#ʃaʁt̪ʁ# {GOLD: #ʃaʁt̪ʁ#}
477    | #kˌɑrˈoːn̪eɑm# | *#kˌɑrˈon̪ʝɑ# | *#t͡ʃˌarˈũɲə# | *#ʃˌarˈũɲə# | *#ʃˌarˈũɲə# | *#ʃaʁɔɲ# {GOLD: #ʃaʁɔɲ#}
478    | #kˌɑrpen̪t̪ˈɑːrium# | *#kˌɑrpɛn̪t̪ˈɑrʝo# | *#t͡ʃˌarpẽn̪t̪ˈie̯r# | *#ʃˌarpãn̪t̪jˈer# | *#ʃˌarpãːt̪jˈer# | *#ʃaʁpɑ̃t̪je# {GOLD: #ʃaʁpɑ̃t̪je#}
479    | #kˈɑrpin̪um# | *#kˈɑrpen̪o# | *#t͡ʃˈarmə# | *#ʃˈarmə# | *#ʃˈarmə# | *#ʃaʁm# {GOLD: #ʃaʁm#}
480    | #kˌɑrrˈuːkɑm# | *#kˌɑrrˈukɑ# | *#t͡ʃˌarrˈyə# | *#ʃˌarˈyə# | *#ʃˌarˈyː# | *#ʃaʁy# {GOLD: #ʃaʁy#}
481    | #kʰˌɑrɑksˈɑːre# | *#kˌɑrɑxsˈɑrɛ# | *#t͡ʃˌarejsʲˈie̯r# | *#ʃˌarwɛsʲjˈer# | *#ʃˌarwɛsˈer# | *#ʃaʁwase# {GOLD: #ʒɛʁse#}
482    | #kˈɑːrɑm# | *#kˈɑrɑ# | *#t͡ʃˈie̯rə# | *#ʃjˈerə# | *#ʃˈerə# | *#ʃɛʁ# {GOLD: #ʃɛʁ#}
483    | #kˌɑːrit̪ˈɑːt̪em# | *#kˌɑret̪ˈɑt̪ɛ# | *#t͡ʃˌart̪ˈeːθ# | *#ʃˌart̪ˈe# | *#ʃˌart̪ˈe# | *#ʃaʁt̪e# {GOLD: #ʃɛʁt̪e#}
484    | #kˈɑrrikɑm# | *#kˈɑrrekɑ# | *#t͡ʃˈard͡ʒə# | *#ʃˈarʒə# | *#ʃˈarʒə# | *#ʃaʁʒ# {GOLD: #ʃaʁʒ#}
485    | #kˌɑrrikˈɑːre# | *#kˌɑrrekˈɑrɛ# | *#t͡ʃˌard͡ʒˈie̯r# | *#ʃˌarʒjˈer# | *#ʃˌarʒˈer# | *#ʃaʁʒe# {GOLD: #ʃaʁʒe#}
486    | #kˌɑrrikˈɑːt̪ɑm# | *#kˌɑrrekˈɑt̪ɑ# | *#t͡ʃˌard͡ʒˈie̯ðə# | *#ʃˌarʒjˈeə# | *#ʃˌarʒˈeː# | *#ʃaʁʒe# {GOLD: #ʃaʁʒe#}
487    | #kˈɑrrum# | *#kˈɑrro# | *#t͡ʃˈar# | *#ʃˈar# | *#ʃˈar# | *#ʃaʁ# {GOLD: #ʃaʁ#}
488    | #kˈɑrt̪un̪eːs# | *#kˈɑrt̪on̪es# | *#t͡ʃˈart̪rəs# | *#ʃˈart̪rəs# | *#ʃˈart̪rə# | *#ʃaʁt̪ʁ# {GOLD: #ʃaʁt̪ʁ#}
